,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
1,wilson911013,1,0.0,3,250.84000000000000,wilson911013,0.0,1.0,2.0,1.0
3,jdmonroyg,1,0.0,3,329.17,jdmonroyg,0.0,1.0,4.0,1.0
5,lizzyt10h,1,0.4,3,175.00000000000000,lizzyt10h,2.0,1.0,5.0,2.0
6,AFelipeGA,1,0.4,3,291.67,AFelipeGA,4.0,3.0,5.0,2.0
7,wapiravaguens,1,0.4,3,90.00000000000000,wapiravaguens,0.0,1.0,4.0,2.0
8,capinzor,1,0.4137931034482760,3,221.67000000000000,capinzor,0.0,0.0,2.0,2.0
9,lacardenasv,1,0.4246575342465750,3,142.50000000000000,lacardenasv,1.0,2.0,5.0,4.0
10,ncampuzano,1,0.4285714285714290,3,237.5,ncampuzano,1.0,3.0,4.0,2.0
11,afforeroc,1,0.4285714285714290,3,263.34000000000000,afforeroc,1.0,4.0,3.0,2.0
12,adriel62,1,0.43137254901960800,3,225.84000000000000,adriel62,1.0,3.0,5.0,2.0
13,spenas,1,0.4444444444444440,3,200.84,spenas,5.0,4.0,6.0,1.0
14,Chranium,1,0.5,3,284.17,Chranium,4.0,5.0,6.0,2.0
15,macuestap,1,0.5454545454545450,3,160.42000000000000,macuestap,0.0,1.0,4.0,1.0
16,ofnanezn,1,0.5909090909090910,3,316.67,ofnanezn,0.0,1.0,6.0,2.0
17,dagofonseca,1,0.5925925925925930,3,271.67,dagofonseca,0.0,0.0,2.0,2.0
18,davidh17,1,0.6164383561643840,3,173.34,davidh17,3.0,3.0,5.0,3.0
19,DianaNavarrete,1,0.625,3,229.17000000000000,DianaNavarrete,0.0,1.0,5.0,2.0
20,jumcorredorro,1,0.625,3,143.34,jumcorredorro,1.0,1.0,5.0,2.0
21,lgmoralesa,1,0.6304347826086960,3,192.50000000000000,lgmoralesa,2.0,2.0,4.0,3.0
22,dduartec,1,0.6666666666666670,3,287.5,dduartec,1.0,5.0,4.0,1.0
23,smarquezo,1,0.6666666666666670,3,230.0,smarquezo,0.0,0.0,2.0,0.0
24,juclopezso,1,0.6666666666666670,3,259.17,juclopezso,1.0,3.0,3.0,2.0
25,jmalvarezd,1,0.6964285714285710,3,0.0,jmalvarezd,3.0,3.0,5.0,2.0
