,Student,group,abs_perform_diff_best,phase,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
0,fffeelipe,0,201.65999999999997,1,fffeelipe,1.0,0.0,5.0,3.0
1,mnguzmanc,0,213.32999999999998,1,mnguzmanc,2.0,1.0,3.0,2.0
2,jmcuestasb,0,250.82999999999998,1,jmcuestasb,1.0,3.0,4.0,2.0
3,katherinsb,0,300.83,1,katherinsb,1.0,2.0,4.0,2.0
4,jjrodriguezn,0,300.83,1,jjrodriguezn,2.0,2.0,3.0,1.0
5,DglyP,0,300.83,1,DglyP,1.0,3.0,4.0,3.0
6,cap182,0,152.49999999999997,1,cap182,0.0,1.0,4.0,2.0
7,annumumozme,0,263.33,1,,,,,
8,Judgarciani,0,300.83,1,Judgarciani,3.0,3.0,4.0,2.0
9,sacastroc,0,225.82999999999998,1,sacastroc,1.0,2.0,4.0,2.0
10,pcberriop,0,223.32999999999998,1,pcberriop,0.0,1.0,3.0,2.0
11,hsmartineza,0,300.83,1,hsmartineza,0.0,1.0,3.0,2.0
12,Moimolcp,0,275.83,1,Moimolcp,1.0,1.0,5.0,1.0
13,CamiloRueda,0,300.83,1,CamiloRueda,3.0,3.0,6.0,1.0
14,juanescai,0,188.32999999999998,1,juanescai,1.0,2.0,5.0,2.0
15,JoseMolano,0,105.82999999999998,1,JoseMolano,1.0,5.0,4.0,4.0
16,maikellPardoA,0,213.32999999999998,1,maikellPardoA,3.0,3.0,3.0,2.0
17,NicolasZon,0,288.33,1,NicolasZon,3.0,3.0,3.0,1.0
18,camilo654,0,226.65999999999997,1,camilo654,0.0,1.0,4.0,2.0
19,CristianLozano,0,201.65999999999997,1,,,,,
20,jdsuarezj,0,138.32999999999998,1,jdsuarezj,1.0,3.0,3.0,2.0
21,pipemax85,0,205.82999999999998,1,pipemax85,1.0,3.0,5.0,2.0
22,juandavidro,0,0.0,1,juandavidro,1.0,2.0,2.0,2.0
23,UNhcrodriguezl,0,210.0,1,UNhcrodriguezl,3.0,3.0,5.0,3.0
24,camilo13152,0,271.65999999999997,1,camilo13152,3.0,5.0,5.0,2.0
25,leavendanoro,0,263.33,1,leavendanoro,0.0,1.0,4.0,1.0
