,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity
0,lemartinp,3,270.84000000000003,1,0.0,0.0,4.0,1.0,0.14634146341463414
1,juligarji,3,167.50000000000003,1,4.0,4.0,5.0,3.0,0.05732484076433121
2,nfmorenog,3,225.0,1,0.0,2.0,3.0,1.0,0.19047619047619047
3,AFelipeGA,3,291.67,1,4.0,3.0,5.0,2.0,0.003840614498319731
4,mballeng91,3,329.17,1,2.0,6.0,6.0,2.0,0.0048543689320388345
5,dduartec,3,287.5,1,1.0,5.0,4.0,1.0,0.09230769230769231
6,srmedinac,3,304.17,1,1.0,2.0,4.0,1.0,0.05952380952380952
7,wilson911013,3,250.84000000000003,1,0.0,1.0,2.0,1.0,0.0
8,wapiravaguens,3,90.00000000000003,1,0.0,1.0,4.0,2.0,0.20253164556962025
9,davidh17,3,173.34,1,3.0,3.0,5.0,3.0,0.11940298507462686
10,DianaNavarrete,3,229.17000000000002,1,0.0,1.0,5.0,2.0,0.08333333333333333
11,jdmonroyg,3,329.17,1,0.0,1.0,4.0,1.0,0.0
12,jorge52an,3,230.0,1,4.0,4.0,5.0,2.0,0.07407407407407407
13,jscastelblancoh,3,127.50000000000003,1,0.0,0.0,3.0,2.0,0.11864406779661017
14,juclopezso,3,259.17,1,1.0,3.0,3.0,2.0,0.08571428571428572
15,afforeroc,3,263.34000000000003,1,1.0,4.0,3.0,2.0,0.11428571428571428
16,dagofonseca,3,271.67,1,0.0,0.0,2.0,2.0,0.13333333333333333
17,lacardenasv,3,142.50000000000003,1,1.0,2.0,5.0,4.0,0.17391304347826086
18,oacastillol,3,237.5,1,2.0,1.0,5.0,1.0,0.07407407407407407
19,ncampuzano,3,237.5,1,1.0,3.0,4.0,2.0,0.16666666666666666
20,adriel62,3,225.84000000000003,1,1.0,3.0,5.0,2.0,0.125
21,capinzor,3,221.67000000000002,1,0.0,0.0,2.0,2.0,0.08333333333333333
22,ofnanezn,3,316.67,1,0.0,1.0,6.0,2.0,0.06315789473684211
23,macuestap,3,160.42000000000002,1,0.0,1.0,4.0,1.0,0.14285714285714285
24,spenas,3,200.84,1,5.0,4.0,6.0,1.0,0.08
25,kgbayala528,3,221.67000000000002,1,1.0,5.0,6.0,2.0,0.04918032786885246
26,lgmoralesa,3,192.50000000000003,1,2.0,2.0,4.0,3.0,0.171875
27,ronaldsg20,3,146.67000000000002,1,0.0,3.0,5.0,2.0,0.18181818181818182
28,cccristanchoc,3,255.0,1,1.0,1.0,4.0,1.0,0.08974358974358974
29,jmalvarezd,3,0.0,1,3.0,3.0,5.0,2.0,
30,smarquezo,3,230.0,1,0.0,0.0,2.0,0.0,0.058823529411764705
31,sarizag,3,221.67000000000002,1,4.0,3.0,6.0,2.0,0.17307692307692307
32,Chranium,3,284.17,1,4.0,5.0,6.0,2.0,0.08823529411764706
33,DavidQP,3,217.5,1,2.0,3.0,4.0,3.0,0.06779661016949153
34,afceballosr,3,209.17000000000002,1,1.0,3.0,5.0,2.0,0.07462686567164178
35,lizzyt10h,3,175.00000000000003,1,2.0,1.0,5.0,2.0,0.125
36,NicolasPrr,3,216.67000000000002,1,3.0,4.0,3.0,2.0,0.13043478260869565
37,jumcorredorro,3,143.34,1,1.0,1.0,5.0,2.0,0.109375
38,feartheGru,3,316.67,1,2.0,2.0,5.0,2.0,0.0
39,Danielsv9207,3,279.17,1,1.0,1.0,1.0,3.0,0.0
40,JhonEmmanuelTorres,3,329.17,1,5.0,4.0,5.0,2.0,0.0
41,lemartinp,3,201.66,2,0.0,0.0,4.0,1.0,0.125
42,juligarji,3,91.24999999999997,2,4.0,4.0,5.0,3.0,0.00276789244760775
43,nfmorenog,3,199.99999999999997,2,0.0,2.0,3.0,1.0,0.2465753424657534
44,AFelipeGA,3,180.82999999999998,2,4.0,3.0,5.0,2.0,0.003347680535628886
45,mballeng91,3,233.32999999999998,2,2.0,6.0,6.0,2.0,0.004694835680751174
46,dduartec,3,0.0,2,1.0,5.0,4.0,1.0,
47,srmedinac,3,217.5,2,1.0,2.0,4.0,1.0,0.043478260869565216
48,wilson911013,3,242.5,2,0.0,1.0,2.0,1.0,0.0
49,wapiravaguens,3,140.82999999999998,2,0.0,1.0,4.0,2.0,0.06956521739130435
50,davidh17,3,87.49999999999997,2,3.0,3.0,5.0,3.0,0.14772727272727273
51,DianaNavarrete,3,204.99999999999997,2,0.0,1.0,5.0,2.0,0.06976744186046512
52,jdmonroyg,3,320.83,2,0.0,1.0,4.0,1.0,0.0
53,jorge52an,3,145.82999999999998,2,4.0,4.0,5.0,2.0,0.023121387283236993
54,jscastelblancoh,3,69.15999999999997,2,0.0,0.0,3.0,2.0,0.09333333333333334
55,juclopezso,3,221.65999999999997,2,1.0,3.0,3.0,2.0,0.046511627906976744
56,afforeroc,3,230.0,2,1.0,4.0,3.0,2.0,0.09523809523809523
57,dagofonseca,3,143.32999999999998,2,0.0,0.0,2.0,2.0,0.05860805860805861
58,lacardenasv,3,69.15999999999997,2,1.0,2.0,5.0,4.0,0.0875
59,oacastillol,3,216.65999999999997,2,2.0,1.0,5.0,1.0,0.13793103448275862
60,ncampuzano,3,209.15999999999997,2,1.0,3.0,4.0,2.0,0.06956521739130435
61,adriel62,3,129.99999999999997,2,1.0,3.0,5.0,2.0,0.1791044776119403
62,capinzor,3,213.32999999999998,2,0.0,0.0,2.0,2.0,0.14772727272727273
63,ofnanezn,3,200.82999999999998,2,0.0,1.0,6.0,2.0,0.05434782608695652
64,macuestap,3,188.32999999999998,2,0.0,1.0,4.0,1.0,0.0784313725490196
65,spenas,3,217.5,2,5.0,4.0,6.0,1.0,0.03389830508474576
66,kgbayala528,3,210.0,2,1.0,5.0,6.0,2.0,0.13953488372093023
67,lgmoralesa,3,65.0,2,2.0,2.0,4.0,3.0,0.13953488372093023
68,ronaldsg20,3,171.66,2,0.0,3.0,5.0,2.0,0.08108108108108109
69,cccristanchoc,3,230.0,2,1.0,1.0,4.0,1.0,0.21052631578947367
70,jmalvarezd,3,134.99999999999997,2,3.0,3.0,5.0,2.0,0.2236842105263158
71,smarquezo,3,221.65999999999997,2,0.0,0.0,2.0,0.0,0.04878048780487805
72,sarizag,3,192.49999999999997,2,4.0,3.0,6.0,2.0,0.0967741935483871
73,Chranium,3,225.82999999999998,2,4.0,5.0,6.0,2.0,0.1
74,DavidQP,3,213.32999999999998,2,2.0,3.0,4.0,3.0,0.12857142857142856
75,afceballosr,3,230.0,2,1.0,3.0,5.0,2.0,0.136986301369863
