,len_match,Group,phase,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
0,0.0,0.0,1,mnguzmanc,2.0,1.0,3.0,2.0,0.0
1,0.0,0.0,1,DglyP,1.0,3.0,4.0,3.0,3.0
2,0.0,0.0,1,Judgarciani,3.0,3.0,4.0,2.0,3.0
3,0.0,0.0,1,sacastroc,1.0,2.0,4.0,2.0,3.0
4,0.0,0.0,1,pcberriop,0.0,1.0,3.0,2.0,3.0
5,2.0,0.0,1,hsmartineza,0.0,1.0,3.0,2.0,4.0
6,1.0,0.0,1,Moimolcp,1.0,1.0,5.0,1.0,2.0
7,0.0,0.0,1,JoseMolano,1.0,5.0,4.0,4.0,1.0
8,0.0,0.0,1,NicolasZon,3.0,3.0,3.0,1.0,1.0
9,0.0,0.0,1,camilo654,0.0,1.0,4.0,2.0,1.0
10,0.0,0.0,1,,,,,,1.0
11,0.0,0.0,1,jdsuarezj,1.0,3.0,3.0,2.0,3.0
12,0.0,0.0,1,pipemax85,1.0,3.0,5.0,2.0,2.0
13,0.0,0.0,1,juandavidro,1.0,2.0,2.0,2.0,1.0
14,1.0,0.0,1,UNhcrodriguezl,3.0,3.0,5.0,3.0,2.0
15,4.0,0.0,1,camilo13152,3.0,5.0,5.0,2.0,2.0
16,1.0,0.0,1,leavendanoro,0.0,1.0,4.0,1.0,7.0
17,0.0,0.0,1,cdcordobaa,2.0,4.0,5.0,2.0,2.0
18,0.0,0.0,1,capinillab,0.0,0.0,0.0,0.0,1.0
19,2.0,0.0,1,lfvalderrama,0.0,3.0,5.0,2.0,2.0
20,0.0,0.0,1,bsgarciac,0.0,3.0,4.0,2.0,2.0
21,1.0,0.0,1,odprietoh,4.0,4.0,5.0,2.0,0.0
22,28.0,0.0,2,mnguzmanc,2.0,1.0,3.0,2.0,4.0
23,0.0,0.0,2,jmcuestasb,1.0,3.0,4.0,2.0,6.0
24,3.0,0.0,2,jjrodriguezn,2.0,2.0,3.0,1.0,1.0
25,0.0,0.0,2,DglyP,1.0,3.0,4.0,3.0,5.0
26,1.0,0.0,2,Judgarciani,3.0,3.0,4.0,2.0,4.0
27,2.0,0.0,2,sacastroc,1.0,2.0,4.0,2.0,3.0
28,0.0,0.0,2,pcberriop,0.0,1.0,3.0,2.0,1.0
29,2.0,0.0,2,hsmartineza,0.0,1.0,3.0,2.0,3.0
30,1.0,0.0,2,Moimolcp,1.0,1.0,5.0,1.0,2.0
31,0.0,0.0,2,CamiloRueda,3.0,3.0,6.0,1.0,3.0
32,0.0,0.0,2,JoseMolano,1.0,5.0,4.0,4.0,1.0
33,0.0,0.0,2,NicolasZon,3.0,3.0,3.0,1.0,2.0
34,2.0,0.0,2,camilo654,0.0,1.0,4.0,2.0,1.0
35,0.0,0.0,2,,,,,,1.0
36,0.0,0.0,2,jdsuarezj,1.0,3.0,3.0,2.0,2.0
37,0.0,0.0,2,pipemax85,1.0,3.0,5.0,2.0,1.0
38,0.0,0.0,2,juandavidro,1.0,2.0,2.0,2.0,1.0
39,2.0,0.0,2,UNhcrodriguezl,3.0,3.0,5.0,3.0,1.0
40,0.0,0.0,2,camilo13152,3.0,5.0,5.0,2.0,5.0
41,3.0,0.0,2,leavendanoro,0.0,1.0,4.0,1.0,5.0
42,0.0,0.0,2,cdcordobaa,2.0,4.0,5.0,2.0,1.0
43,0.0,0.0,2,capinillab,0.0,0.0,0.0,0.0,1.0
44,2.0,0.0,2,lfvalderrama,0.0,3.0,5.0,2.0,2.0
