,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,jdsuarezj,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,lfvalderrama,bsgarciac,gabi04,annipi,jdsolanos,jcneivaa,fmbernalb,MogGy94,yocuervoc,odprietoh
mnguzmanc,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.031007751937984496,0.061946902654867256,0.05,0.10569105691056911,0.05555555555555555,0.0,0.0,0.02654867256637168,0.0,0.03278688524590164,0.02631578947368421,0.02654867256637168,0.03968253968253968,0.10743801652892562,0.1650485436893204,0.045454545454545456,0.0,0.05042016806722689,0.056451612903225805,0.034482758620689655,0.02654867256637168,0.11811023622047244,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04597701149425287
fffeelipe,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
jmcuestasb,0.0,1.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.03571428571428571,0.07246376811594203,0.052083333333333336,0.046511627906976744,0.04950495049504951,0.0,0.0,0.04477611940298507,0.0,0.03896103896103896,0.04411764705882353,0.04477611940298507,0.036585365853658534,0.08641975308641975,0.07777777777777778,0.045454545454545456,0.0,0.11267605633802817,0.04938271604938271,0.07246376811594203,0.04477611940298507,0.07865168539325842,0.0707070707070707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
katherinsb,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
jjrodriguezn,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.06,0.13513513513513514,0.13725490196078433,0.0,0.0,0.15789473684210525,0.0,0.10344827586206896,0.15,0.15789473684210525,0.1935483870967742,0.1111111111111111,0.04285714285714286,0.07317073170731707,0.0,0.10714285714285714,0.08823529411764706,0.13043478260869565,0.15789473684210525,0.17073170731707318,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
DglyP,0.008620689655172414,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.1,0.10714285714285714,0.13725490196078433,0.14634146341463414,0.16666666666666666,0.0,0.0,0.125,0.0,0.12121212121212122,0.12,0.125,0.2,0.18421052631578946,0.07857142857142857,0.13953488372093023,0.06666666666666667,0.09090909090909091,0.16666666666666666,0.19230769230769232,0.125,0.1276595744680851,0.14545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13414634146341464
cap182,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Judgarciani,0.031007751937984496,0.0,0.03571428571428571,0.0,0.05405405405405406,0.1,0.0,0.0,0.02702702702702703,0.41304347826086957,0.2,0.04477611940298507,0.0,0.0,0.0625,0.0,0.07317073170731707,0.06060606060606061,0.0625,0.06521739130434782,0.10638297872340426,0.0821917808219178,0.05660377358490566,0.0,0.04878048780487805,0.08888888888888889,0.08571428571428572,0.0625,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
sacastroc,0.061946902654867256,0.0,0.07246376811594203,0.0,0.0,0.10714285714285714,0.0,0.02702702702702703,0.0,0.08571428571428572,0.18181818181818182,0.08,0.0,0.0,0.07142857142857142,0.0,0.057692307692307696,0.06976744186046512,0.07142857142857142,0.05263157894736842,0.21153846153846154,0.12666666666666668,0.08064516129032258,0.0,0.125,0.07142857142857142,0.08888888888888889,0.07142857142857142,0.18333333333333332,0.1095890410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673076923076923
pcberriop,0.05,0.0,0.052083333333333336,0.0,0.06,0.13725490196078433,0.0,0.41304347826086957,0.08571428571428572,0.0,0.16923076923076924,0.06976744186046512,0.0,0.0,0.05660377358490566,0.0,0.06451612903225806,0.05555555555555555,0.05660377358490566,0.05970149253731343,0.1044776119402985,0.125,0.08333333333333333,0.0,0.04838709677419355,0.07575757575757576,0.09090909090909091,0.05660377358490566,0.18840579710144928,0.13580246913580246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07964601769911504
