,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,top2,djguzmanc,gsuarezc04,top5,gcantem,Semoralesga,jonatan360,top4,stevenbustos,jufcontrerasco,top1,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,bottom5,aldiazve,diegoaguevarar,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,top3,jcrubioa,joahernandezca,bottom2,bottom3,JairVillalba
adamantwharf,0.0,0.17647058823529413,1.0,0.0,0.0,0.25,0.0,0.14285714285714285,0.08823529411764706,0.0,0.02586206896551724,0.02654867256637168,0.6,0.04411764705882353,0.0,0.0,0.25,0.21428571428571427,0.1111111111111111,0.046875,0.012195121951219513,0.0,0.0,0.13043478260869565,0.09090909090909091,0.13636363636363635,0.022058823529411766,0.3333333333333333,0.02,0.0,1.0,0.0,0.11538461538461539,0.2727272727272727,0.075,0.008928571428571428,1.0,0.0,0.0,0.75
gasierram,0.17647058823529413,0.0,0.17647058823529413,0.0,0.0,0.20833333333333334,0.4444444444444444,0.15151515151515152,0.13333333333333333,0.0,0.047244094488188976,0.1111111111111111,0.2222222222222222,0.13333333333333333,0.07017543859649122,0.0,0.16,0.19230769230769232,0.15789473684210525,0.125,0.04365079365079365,0.0,0.0,0.08108108108108109,0.1875,0.21875,0.0851063829787234,0.18181818181818182,0.07741935483870968,0.0,0.17647058823529413,0.0,0.10256410256410256,0.4,0.16326530612244897,0.04129793510324484,0.17647058823529413,0.0,0.0,0.16666666666666666
bdcajicam,1.0,0.17647058823529413,0.0,0.0,0.0,0.25,0.0,0.14285714285714285,0.08823529411764706,0.0,0.02586206896551724,0.02654867256637168,0.6,0.04411764705882353,0.0,0.0,0.25,0.21428571428571427,0.1111111111111111,0.046875,0.012195121951219513,0.0,0.0,0.13043478260869565,0.09090909090909091,0.13636363636363635,0.022058823529411766,0.3333333333333333,0.02,0.0,1.0,0.0,0.11538461538461539,0.2727272727272727,0.075,0.008928571428571428,1.0,0.0,0.0,0.75
bottom4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
dfhincapiem,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,0.0,0.13636363636363635,0.08571428571428572,0.0,0.02564102564102564,0.02631578947368421,0.5,0.043478260869565216,0.0,0.0,0.23076923076923078,0.2,0.10714285714285714,0.046153846153846156,0.016260162601626018,0.0,0.0,0.125,0.08695652173913043,0.18181818181818182,0.021897810218978103,0.3,0.019867549668874173,0.0,0.75,0.0,0.1111111111111111,0.25,0.07317073170731707,0.008902077151335312,0.75,0.0,0.0,0.6
helmeraac,0.25,0.20833333333333334,0.25,0.0,0.23076923076923078,0.0,0.058823529411764705,0.13793103448275862,0.09722222222222222,0.0,0.05228758169934641,0.05333333333333334,0.06382978723404255,0.10784313725490197,0.022988505747126436,0.0,0.07547169811320754,0.07272727272727272,0.09090909090909091,0.04807692307692308,0.021052631578947368,0.0,0.0,0.0625,0.08196721311475409,0.08064516129032258,0.046242774566473986,0.08,0.0427807486631016,0.0,0.06666666666666667,0.0,0.07575757575757576,0.12,0.1038961038961039,0.024193548387096774,0.06666666666666667,0.0,0.0,0.06521739130434782
dasalgadob,0.0,0.4444444444444444,0.0,0.0,0.0,0.058823529411764705,0.0,0.034482758620689655,0.023809523809523808,0.0,0.008064516129032258,0.07017543859649122,0.0,0.04054054054054054,0.06,0.0,0.0,0.0,0.09090909090909091,0.08955223880597014,0.02,0.0,0.0,0.0,0.15384615384615385,0.10714285714285714,0.0661764705882353,0.0,0.06,0.0,0.0,0.0,0.029411764705882353,0.17647058823529413,0.06521739130434782,0.026785714285714284,0.0,0.0,0.0,0.0
top2,0.14285714285714285,0.15151515151515152,0.14285714285714285,0.0,0.13636363636363635,0.13793103448275862,0.034482758620689655,0.0,0.0045708481462671405,0.0,0.00980392156862745,0.013799901429275506,0.001541623843782117,0.013091641490433032,0.0035335689045936395,0.0,0.003076923076923077,0.002560163850486431,0.00254323499491353,0.004,0.027204502814258912,0.0,0.0,0.00408371618172537,0.004601226993865031,0.005626598465473146,0.016617790811339198,0.0035971223021582736,0.015518913676042677,0.0,0.0015432098765432098,0.0,0.004077471967380225,0.0015368852459016393,0.006085192697768763,0.034013605442176874,0.0015432098765432098,0.0,0.0,0.0015424164524421595
djguzmanc,0.08823529411764706,0.13333333333333333,0.08823529411764706,0.0,0.08571428571428572,0.09722222222222222,0.023809523809523808,0.0045708481462671405,0.0,0.0,0.13380281690140844,0.16176470588235295,0.08695652173913043,0.18947368421052632,0.011363636363636364,0.0,0.07547169811320754,0.07272727272727272,0.2,0.05825242718446602,0.028268551236749116,0.0,0.0,0.2830188679245283,0.047619047619047616,0.046875,0.12422360248447205,0.08,0.1206896551724138,0.0,0.06666666666666667,0.0,0.05970149253731343,0.09803921568627451,0.0759493670886076,0.06424581005586592,0.06666666666666667,0.0,0.0,0.06521739130434782
gsuarezc04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08275862068965517,0.07692307692307693,0.06976744186046512,0.11224489795918367,0.0,0.0,0.08163265306122448,0.1,0.23636363636363636,0.05,0.021352313167259787,0.0,0.0,0.12280701754385964,0.03333333333333333,0.10526315789473684,0.06626506024096386,0.1111111111111111,0.07303370786516854,0.0,0.07317073170731707,0.0,0.06349206349206349,0.061224489795918366,0.05194805194805195,0.030054644808743168,0.07317073170731707,0.0,0.0,0.07142857142857142
