,bdvegat,jusherrerama,Phoenixest,HashNick,bottom3,top4,top2,mdbelloc,diegocruz10,crarojasca,sagilm,idrojasf,raulramirezp,top1,jhriverasa,jhonsd1996,top3,Davsatu313,top5,jjmuesesq,jucjimenezmo,kancas,Gantiva,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,leguzman,luealfonsoru,oserasoa,lsfinite,xdanielsb,bottom4,bottom2,bottom1
bdvegat,0.0,0.08771929824561403,0.058823529411764705,0.04878048780487805,0.0,0.07272727272727272,0.14754098360655737,0.0967741935483871,0.10204081632653061,0.0,0.061224489795918366,0.00625,0.0392156862745098,0.045454545454545456,0.13333333333333333,0.02,0.078125,0.20967741935483872,0.06666666666666667,0.061224489795918366,0.0,0.140625,0.10344827586206896,0.18840579710144928,0.06896551724137931,0.0,0.0847457627118644,0.08928571428571429,0.05263157894736842,0.10810810810810811,0.03508771929824561,0.05172413793103448,0.04504504504504504,0.09523809523809523,0.0945945945945946,0.1111111111111111,0.05454545454545454,0.054187192118226604,0.0,0.08,0.058823529411764705
jusherrerama,0.08771929824561403,0.0,0.16666666666666666,0.06,0.0,0.04,0.038834951456310676,0.045454545454545456,0.041666666666666664,0.0,0.1875,0.001639344262295082,0.1111111111111111,0.09090909090909091,0.09375,0.0,0.125,0.13513513513513514,0.10714285714285714,0.1875,0.0,0.1111111111111111,0.10714285714285714,0.08888888888888889,0.0,0.0,0.10714285714285714,0.12,0.2857142857142857,0.08888888888888889,0.0,0.12,0.0375,0.09090909090909091,0.09090909090909091,0.08823529411764706,0.19047619047619047,0.022598870056497175,0.0,0.16666666666666666,0.16666666666666666
Phoenixest,0.058823529411764705,0.16666666666666666,0.0,0.07692307692307693,0.0,0.0,0.03225806451612903,0.05454545454545454,0.04918032786885246,0.0,0.6,0.0,0.2857142857142857,0.13636363636363635,0.14285714285714285,0.0,0.13636363636363635,0.10714285714285714,0.17647058823529413,0.6,0.0,0.11538461538461539,0.17647058823529413,0.08571428571428572,0.0,0.0,0.17647058823529413,0.21428571428571427,0.0,0.08571428571428572,0.0,0.21428571428571427,0.043478260869565216,0.13636363636363635,0.05714285714285714,0.08333333333333333,0.16666666666666666,0.017964071856287425,0.0,0.42857142857142855,0.42857142857142855
HashNick,0.04878048780487805,0.06,0.07692307692307693,0.0,0.0,0.016666666666666666,0.09230769230769231,0.11827956989247312,0.1111111111111111,0.0,0.058823529411764705,0.003105590062111801,0.057692307692307696,0.04411764705882353,0.06060606060606061,0.0,0.07575757575757576,0.06944444444444445,0.047619047619047616,0.058823529411764705,0.0,0.15384615384615385,0.047619047619047616,0.12,0.0,0.0,0.047619047619047616,0.05,0.0,0.3333333333333333,0.016666666666666666,0.14545454545454545,0.21649484536082475,0.09230769230769231,0.024691358024691357,0.09090909090909091,0.034482758620689655,0.023696682464454975,0.0,0.05660377358490566,0.05660377358490566
bottom3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
top4,0.07272727272727272,0.04,0.0,0.016666666666666666,0.0,0.0,0.10869565217391304,0.14285714285714285,0.12903225806451613,0.0,0.2727272727272727,0.0033112582781456954,0.15384615384615385,0.10714285714285714,0.2,0.08333333333333333,0.19230769230769232,0.37037037037037035,0.23809523809523808,0.2727272727272727,0.0,0.2962962962962963,0.3,0.2222222222222222,0.0,0.0,0.23809523809523808,0.21052631578947367,0.1,0.2571428571428571,0.05,0.15,0.0684931506849315,0.2916666666666667,0.13157894736842105,0.3333333333333333,0.1111111111111111,0.04142011834319527,0.0,0.3333333333333333,0.23076923076923078
top2,0.14754098360655737,0.038834951456310676,0.03225806451612903,0.09230769230769231,0.0,0.10869565217391304,0.0,0.2601626016260163,0.2578125,0.0,0.029411764705882353,0.010144927536231883,0.02912621359223301,0.025210084033613446,0.09009009009009009,0.009708737864077669,0.05172413793103448,0.14285714285714285,0.06363636363636363,0.029411764705882353,0.0,0.09565217391304348,0.08333333333333333,0.1440677966101695,0.013888888888888888,0.009259259259259259,0.044642857142857144,0.05555555555555555,0.008928571428571428,0.0975609756097561,0.027522935779816515,0.045871559633027525,0.06962025316455696,0.0990990990990991,0.03875968992248062,0.09821428571428571,0.01834862385321101,0.03488372093023256,0.0,0.038834951456310676,0.028846153846153848
mdbelloc,0.0967741935483871,0.045454545454545456,0.05454545454545454,0.11827956989247312,0.0,0.14285714285714285,0.2601626016260163,0.0,0.696969696969697,0.0,0.05660377358490566,0.006211180124223602,0.05555555555555555,0.04285714285714286,0.09090909090909091,0.0,0.07352941176470588,0.1791044776119403,0.11475409836065574,0.05660377358490566,0.0,0.2833333333333333,0.13333333333333333,0.16216216216216217,0.0,0.01694915254237288,0.07936507936507936,0.04838709677419355,0.015873015873015872,0.2463768115942029,0.03278688524590164,0.22641509433962265,0.21212121212121213,0.140625,0.04938271604938271,0.1935483870967742,0.03333333333333333,0.02830188679245283,0.0,0.05454545454545454,0.05454545454545454
diegocruz10,0.10204081632653061,0.041666666666666664,0.04918032786885246,0.1111111111111111,0.0,0.12903225806451613,0.2578125,0.696969696969697,0.0,0.0,0.05660377358490566,0.004651162790697674,0.05555555555555555,0.04285714285714286,0.09090909090909091,0.0,0.057971014492753624,0.12857142857142856,0.046153846153846156,0.05660377358490566,0.0,0.26229508196721313,0.0967741935483871,0.13157894736842105,0.0,0.0,0.07936507936507936,0.04838709677419355,0.015873015873015872,0.1780821917808219,0.016129032258064516,0.16071428571428573,0.1650485436893204,0.07352941176470588,0.04938271604938271,0.21311475409836064,0.03333333333333333,0.02830188679245283,0.0,0.05454545454545454,0.05454545454545454
crarojasca,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sagilm,0.061224489795918366,0.1875,0.6,0.058823529411764705,0.0,0.2727272727272727,0.029411764705882353,0.05660377358490566,0.05660377358490566,0.0,0.0,0.001669449081803005,0.2857142857142857,0.13636363636363635,0.14285714285714285,0.0,0.13636363636363635,0.10714285714285714,0.17647058823529413,0.6,0.0,0.11538461538461539,0.17647058823529413,0.11764705882352941,0.0,0.0,0.17647058823529413,0.21428571428571427,0.0,0.08571428571428572,0.0,0.21428571428571427,0.058823529411764705,0.13636363636363635,0.05714285714285714,0.08333333333333333,0.2727272727272727,0.017964071856287425,0.0,0.42857142857142855,0.42857142857142855
idrojasf,0.00625,0.001639344262295082,0.0,0.003105590062111801,0.0,0.0033112582781456954,0.010144927536231883,0.006211180124223602,0.004651162790697674,0.0,0.001669449081803005,0.0,0.0016722408026755853,0.0,0.004909983633387889,0.0016778523489932886,0.004901960784313725,0.0048543689320388345,0.006600660066006601,0.0,0.0,0.0032414910858995136,0.0016420361247947454,0.0048,0.0,0.0016638935108153079,0.0016420361247947454,0.006633499170812604,0.001652892561983471,0.003194888178913738,0.0066555740432612314,0.0016501650165016502,0.016897081413210446,0.006546644844517185,0.01620745542949757,0.004893964110929853,0.0033222591362126247,0.011984021304926764,0.0,0.001669449081803005,0.0
raulramirezp,0.0392156862745098,0.1111111111111111,0.2857142857142857,0.057692307692307696,0.0,0.15384615384615385,0.02912621359223301,0.05555555555555555,0.05555555555555555,0.0,0.2857142857142857,0.0016722408026755853,0.0,0.01764705882352941,0.04242424242424243,0.0,0.03592814371257485,0.040697674418604654,0.043478260869565216,0.0196078431372549,0.0,0.059880239520958084,0.03067484662576687,0.0449438202247191,0.0,0.0,0.03067484662576687,0.024844720496894408,0.018633540372670808,0.0449438202247191,0.01875,0.018518518518518517,0.057692307692307696,0.03592814371257485,0.05714285714285714,0.041916167664670656,0.02531645569620253,0.035830618892508145,0.0,0.01935483870967742,0.025974025974025976
top1,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.04411764705882353,0.0,0.10714285714285714,0.025210084033613446,0.04285714285714286,0.04285714285714286,0.0,0.13636363636363635,0.0,0.01764705882352941,0.0,0.11666666666666667,0.0,0.046153846153846156,0.13846153846153847,0.05,0.0625,0.0,0.09090909090909091,0.10526315789473684,0.1095890410958904,0.0,0.0,0.10526315789473684,0.05263157894736842,0.017241379310344827,0.06578947368421052,0.017543859649122806,0.05263157894736842,0.06481481481481481,0.07936507936507936,0.03896103896103896,0.09523809523809523,0.03636363636363636,0.03902439024390244,0.0,0.06,0.06
jhriverasa,0.13333333333333333,0.09375,0.14285714285714285,0.06060606060606061,0.0,0.2,0.09009009009009009,0.09090909090909091,0.09090909090909091,0.0,0.14285714285714285,0.004909983633387889,0.04242424242424243,0.11666666666666667,0.0,0.04,0.1,0.16279069767441862,0.11428571428571428,0.125,0.0,0.23076923076923078,0.11428571428571428,0.14,0.0,0.0,0.18181818181818182,0.2,0.06060606060606061,0.14,0.0625,0.09090909090909091,0.07058823529411765,0.1891891891891892,0.12,0.18421052631578946,0.06451612903225806,0.04419889502762431,0.0,0.16,0.11538461538461539
jhonsd1996,0.02,0.0,0.0,0.0,0.0,0.08333333333333333,0.009708737864077669,0.0,0.0,0.0,0.0,0.0016778523489932886,0.0,0.0,0.04,0.0,0.13636363636363635,0.14814814814814814,0.17647058823529413,0.6,0.0,0.16,0.17647058823529413,0.08571428571428572,0.0,0.0,0.17647058823529413,0.3076923076923077,0.0,0.08571428571428572,0.0,0.21428571428571427,0.043478260869565216,0.13636363636363635,0.05714285714285714,0.08333333333333333,0.16666666666666666,0.017964071856287425,0.0,0.6666666666666666,0.42857142857142855
top3,0.078125,0.125,0.13636363636363635,0.07575757575757576,0.0,0.19230769230769232,0.05172413793103448,0.07352941176470588,0.057971014492753624,0.0,0.13636363636363635,0.004901960784313725,0.03592814371257485,0.046153846153846156,0.1,0.13636363636363635,0.0,0.004770164787510842,0.003044802087864289,0.0013094718463553033,0.0,0.004338394793926247,0.003044802087864289,0.005190311418685121,0.0004284490145672665,0.00043535045711797995,0.0021729682746631897,0.0013043478260869566,0.0013049151805132667,0.004755728491137051,0.0013054830287206266,0.002175805047867711,0.006831767719897523,0.0034737299174989146,0.0030224525043177895,0.004344048653344918,0.0008703220191470844,0.00862422997946612,0.0,0.0013083296990841692,0.0013083296990841692
Davsatu313,0.20967741935483872,0.13513513513513514,0.10714285714285714,0.06944444444444445,0.0,0.37037037037037035,0.14285714285714285,0.1791044776119403,0.12857142857142856,0.0,0.10714285714285714,0.0048543689320388345,0.040697674418604654,0.13846153846153847,0.16279069767441862,0.14814814814814814,0.004770164787510842,0.0,0.16666666666666666,0.1111111111111111,0.0,0.24390243902439024,0.2727272727272727,0.2765957446808511,0.0,0.030303030303030304,0.16666666666666666,0.11428571428571428,0.05555555555555555,0.2,0.05714285714285714,0.08333333333333333,0.06818181818181818,0.20512820512820512,0.11320754716981132,0.2972972972972973,0.09090909090909091,0.03783783783783784,0.0,0.14285714285714285,0.10344827586206896
top5,0.06666666666666667,0.10714285714285714,0.17647058823529413,0.047619047619047616,0.0,0.23809523809523808,0.06363636363636363,0.11475409836065574,0.046153846153846156,0.0,0.17647058823529413,0.006600660066006601,0.043478260869565216,0.05,0.11428571428571428,0.17647058823529413,0.003044802087864289,0.16666666666666666,0.0,0.046875,0.0,0.2054794520547945,0.11267605633802817,0.11494252873563218,0.0,0.014285714285714285,0.039473684210526314,0.05555555555555555,0.0,0.18292682926829268,0.05714285714285714,0.13432835820895522,0.1592920353982301,0.10526315789473684,0.043478260869565216,0.13333333333333333,0.028169014084507043,0.022321428571428572,0.0,0.045454545454545456,0.06153846153846154
jjmuesesq,0.061224489795918366,0.1875,0.6,0.058823529411764705,0.0,0.2727272727272727,0.029411764705882353,0.05660377358490566,0.05660377358490566,0.0,0.6,0.0,0.0196078431372549,0.0625,0.125,0.6,0.0013094718463553033,0.1111111111111111,0.046875,0.0,0.0,0.125,0.2,0.09090909090909091,0.0,0.0,0.2,0.25,0.0,0.09090909090909091,0.0,0.25,0.04477611940298507,0.15,0.06060606060606061,0.09090909090909091,0.2,0.01818181818181818,0.0,0.6,0.6
jucjimenezmo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.07692307692307693,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0,0.07692307692307693,0.0,0.16666666666666666,0.0410958904109589,0.11538461538461539,0.05128205128205128,0.07142857142857142,0.125,0.017543859649122806,0.0,0.2727272727272727,0.2727272727272727
