,juligarji,lemartinp,nfmorenog,AFelipeGA,bottom3,top1,srmedinac,bottom2,wapiravaguens,davidh17,DianaNavarrete,jdmonroyg,jorge52an,top4,juclopezso,afforeroc,dagofonseca,lacardenasv,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,spenas,kgbayala528,top3,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,Chranium,DavidQP,afceballosr,bottom1,bottom4,top2
juligarji,0.0,0.10714285714285714,0.056338028169014086,0.029850746268656716,0.003355704697986577,0.026845637583892617,0.04918032786885246,0.0,0.022222222222222223,0.041666666666666664,0.014492753623188406,0.0,0.020689655172413793,0.04,0.0379746835443038,0.03676470588235294,0.026490066225165563,0.02054794520547945,0.04819277108433735,0.041916167664670656,0.043478260869565216,0.03355704697986577,0.021897810218978103,0.01935483870967742,0.02142857142857143,0.026785714285714284,0.03896103896103896,0.047619047619047616,0.007142857142857143,0.05732484076433121,0.014925373134328358,0.02702702702702703,0.022058823529411766,0.03643724696356275,0.03205128205128205,0.022222222222222223,0.047619047619047616,0.037267080745341616
lemartinp,0.10714285714285714,0.0,0.2916666666666667,0.1875,0.0,0.1724137931034483,0.15873015873015872,0.0,0.11764705882352941,0.19230769230769232,0.10526315789473684,0.06666666666666667,0.11538461538461539,0.23333333333333334,0.125,0.2222222222222222,0.2,0.07142857142857142,0.1,0.2222222222222222,0.19047619047619047,0.12903225806451613,0.10526315789473684,0.08333333333333333,0.2,0.05714285714285714,0.17142857142857143,0.12903225806451613,0.047619047619047616,0.14634146341463414,0.13333333333333333,0.1,0.17647058823529413,0.07874015748031496,0.2,0.11764705882352941,0.16666666666666666,0.23076923076923078
nfmorenog,0.056338028169014086,0.2916666666666667,0.0,0.09302325581395349,0.0,0.21568627450980393,0.18823529411764706,0.0,0.06818181818181818,0.11320754716981132,0.0425531914893617,0.0,0.05555555555555555,0.14035087719298245,0.15873015873015872,0.1111111111111111,0.2549019607843137,0.05454545454545454,0.2028985507246377,0.22058823529411764,0.1276595744680851,0.08620689655172414,0.06521739130434782,0.046875,0.061224489795918366,0.12096774193548387,0.09523809523809523,0.10526315789473684,0.02040816326530612,0.19047619047619047,0.046511627906976744,0.07017543859649122,0.06666666666666667,0.12244897959183673,0.20689655172413793,0.06818181818181818,0.125,0.2459016393442623
AFelipeGA,0.029850746268656716,0.1875,0.09302325581395349,0.0,0.0,0.15,0.06896551724137931,0.0,0.6,0.25,0.25,0.0,0.2,0.18181818181818182,0.0967741935483871,0.5714285714285714,0.13636363636363635,0.11764705882352941,0.07317073170731707,0.1,0.4,0.2,0.42857142857142855,0.12,0.18181818181818182,0.030927835051546393,0.15384615384615385,0.09090909090909091,0.0,0.09090909090909091,0.5,0.15789473684210525,0.5,0.03278688524590164,0.06896551724137931,0.6,0.2,0.12121212121212122
bottom3,0.003355704697986577,0.0,0.0,0.0,0.0,0.0,0.008658008658008658,0.0,0.0,0.010582010582010581,0.0,0.0,0.0,0.00510204081632653,0.0,0.0055248618784530384,0.005128205128205128,0.005291005291005291,0.004672897196261682,0.0,0.005434782608695652,0.0,0.005555555555555556,0.031088082901554404,0.0,0.003703703703703704,0.005,0.015625,0.0,0.0048543689320388345,0.0,0.005208333333333333,0.00558659217877095,0.013651877133105802,0.004975124378109453,0.0,0.0,0.004830917874396135
top1,0.026845637583892617,0.1724137931034483,0.21568627450980393,0.15,0.0,0.0,0.18292682926829268,0.0,0.075,0.0784313725490196,0.046511627906976744,0.02564102564102564,0.06,0.1509433962264151,0.09523809523809523,0.09523809523809523,0.2765957446808511,0.058823529411764705,0.11267605633802817,0.2153846153846154,0.08888888888888889,0.05357142857142857,0.07142857142857142,0.06779661016949153,0.043478260869565216,0.1440677966101695,0.04838709677419355,0.07272727272727272,0.0,0.09230769230769231,0.05128205128205128,0.09615384615384616,0.1,0.1258741258741259,0.2692307692307692,0.075,0.07272727272727272,0.3333333333333333
srmedinac,0.04918032786885246,0.15873015873015872,0.18823529411764706,0.06896551724137931,0.008658008658008658,0.18292682926829268,0.0,0.0,0.05172413793103448,0.10606060606060606,0.03278688524590164,0.0,0.04411764705882353,0.0821917808219178,0.06097560975609756,0.10344827586206896,0.04,0.02857142857142857,0.05434782608695652,0.05434782608695652,0.08064516129032258,0.06944444444444445,0.05,0.038461538461538464,0.06451612903225806,0.0625,0.12162162162162163,0.06944444444444445,0.03225806451612903,0.05952380952380952,0.03508771929824561,0.041666666666666664,0.05084745762711865,0.05917159763313609,0.06329113924050633,0.05172413793103448,0.1,0.08433734939759036
bottom2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wapiravaguens,0.022222222222222223,0.11764705882352941,0.06818181818181818,0.6,0.0,0.075,0.05172413793103448,0.0,0.0,0.17647058823529413,0.25,0.0,0.2,0.13043478260869565,0.0967741935483871,0.375,0.13636363636363635,0.11764705882352941,0.07317073170731707,0.07317073170731707,0.2727272727272727,0.14285714285714285,0.42857142857142855,0.12,0.18181818181818182,0.030927835051546393,0.1111111111111111,0.09090909090909091,0.0,0.09090909090909091,0.5,0.15789473684210525,0.5,0.024390243902439025,0.03333333333333333,0.6,0.14285714285714285,0.08823529411764706
davidh17,0.041666666666666664,0.19230769230769232,0.11320754716981132,0.25,0.010582010582010581,0.0784313725490196,0.10606060606060606,0.0,0.17647058823529413,0.0,0.0425531914893617,0.0,0.07547169811320754,0.18181818181818182,0.12307692307692308,0.13636363636363635,0.2549019607843137,0.09433962264150944,0.09210526315789473,0.25757575757575757,0.15217391304347827,0.10526315789473684,0.08888888888888889,0.09836065573770492,0.061224489795918366,0.09448818897637795,0.09523809523809523,0.10526315789473684,0.02040816326530612,0.11940298507462686,0.046511627906976744,0.10909090909090909,0.06666666666666667,0.1956521739130435,0.2727272727272727,0.06818181818181818,0.10526315789473684,0.35714285714285715
DianaNavarrete,0.014492753623188406,0.10526315789473684,0.0425531914893617,0.25,0.0,0.046511627906976744,0.03278688524590164,0.0,0.25,0.0425531914893617,0.0,0.0,0.16666666666666666,0.11538461538461539,0.08823529411764706,0.2727272727272727,0.12,0.1,0.06818181818181818,0.06818181818181818,0.21428571428571427,0.125,0.3,0.10714285714285714,0.14285714285714285,0.03,0.1,0.08,0.0,0.08333333333333333,0.2857142857142857,0.13636363636363635,0.3333333333333333,0.023809523809523808,0.030303030303030304,0.375,0.125,0.08108108108108109
jdmonroyg,0.0,0.06666666666666667,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jorge52an,0.020689655172413793,0.11538461538461539,0.05555555555555555,0.2,0.0,0.06,0.04411764705882353,0.0,0.2,0.07547169811320754,0.16666666666666666,0.0,0.0,0.0547945205479452,0.04938271604938271,0.01639344262295082,0.07042253521126761,0.014492753623188406,0.05555555555555555,0.05555555555555555,0.031746031746031744,0.013513513513513514,0.016666666666666666,0.01282051282051282,0.0,0.02027027027027027,0.0125,0.041666666666666664,0.01639344262295082,0.07407407407407407,0.0,0.028169014084507043,0.01694915254237288,0.023121387283236993,0.0,0.017241379310344827,0.0273972602739726,0.047619047619047616
top4,0.04,0.23333333333333334,0.14035087719298245,0.18181818181818182,0.00510204081632653,0.1509433962264151,0.0821917808219178,0.0,0.13043478260869565,0.18181818181818182,0.11538461538461539,0.0,0.0547945205479452,0.0,0.12280701754385964,0.17142857142857143,0.12244897959183673,0.0425531914893617,0.08823529411764706,0.13846153846153847,0.15789473684210525,0.10204081632653061,0.08108108108108109,0.07407407407407407,0.075,0.056910569105691054,0.09090909090909091,0.125,0.0,0.11864406779661017,0.058823529411764705,0.10638297872340426,0.11428571428571428,0.0684931506849315,0.10909090909090909,0.08571428571428572,0.14893617021276595,0.13559322033898305
juclopezso,0.0379746835443038,0.125,0.15873015873015872,0.0967741935483871,0.0,0.09523809523809523,0.06097560975609756,0.0,0.0967741935483871,0.12307692307692308,0.08823529411764706,0.0,0.04938271604938271,0.12280701754385964,0.0,0.3,0.08,0.10526315789473684,0.045454545454545456,0.045454545454545456,0.23076923076923078,0.13043478260869565,0.2,0.07142857142857142,0.25,0.04081632653061224,0.10344827586206896,0.13043478260869565,0.0,0.08571428571428572,0.3333333333333333,0.09090909090909091,0.2222222222222222,0.024,0.06451612903225806,0.25,0.13043478260869565,0.05405405405405406
afforeroc,0.03676470588235294,0.2222222222222222,0.1111111111111111,0.5714285714285714,0.0055248618784530384,0.09523809523809523,0.10344827586206896,0.0,0.375,0.13636363636363635,0.2727272727272727,0.0,0.01639344262295082,0.17142857142857143,0.3,0.0,0.12,0.1,0.09302325581395349,0.09302325581395349,0.4166666666666667,0.22727272727272727,0.3,0.10714285714285714,0.23076923076923078,0.04040404040404041,0.17857142857142858,0.17391304347826086,0.0,0.11428571428571428,0.2857142857142857,0.13636363636363635,0.3333333333333333,0.04878048780487805,0.13333333333333333,0.375,0.22727272727272727,0.14285714285714285
dagofonseca,0.026490066225165563,0.2,0.2549019607843137,0.13636363636363635,0.005128205128205128,0.2765957446808511,0.04,0.0,0.13636363636363635,0.2549019607843137,0.12,0.0,0.07042253521126761,0.12244897959183673,0.08,0.12,0.0,0.0967741935483871,0.11320754716981132,0.3111111111111111,0.20833333333333334,0.08333333333333333,0.19047619047619047,0.075,0.07692307692307693,0.11650485436893204,0.07142857142857142,0.08333333333333333,0.0,0.13333333333333333,0.10526315789473684,0.12121212121212122,0.14285714285714285,0.1015625,0.21052631578947367,0.15,0.11428571428571428,0.3333333333333333
lacardenasv,0.02054794520547945,0.07142857142857142,0.05454545454545454,0.11764705882352941,0.005291005291005291,0.058823529411764705,0.02857142857142857,0.0,0.11764705882352941,0.09433962264150944,0.1,0.0,0.014492753623188406,0.0425531914893617,0.10526315789473684,0.1,0.0967741935483871,0.0,0.12790697674418605,0.5645161290322581,0.08064516129032258,0.0547945205479452,0.05,0.08,0.03125,0.09285714285714286,0.0375,0.06944444444444445,0.0,0.15584415584415584,0.03508771929824561,0.10294117647058823,0.05084745762711865,0.3161764705882353,0.16666666666666666,0.05172413793103448,0.0547945205479452,0.2328767123287671
oacastillol,0.04819277108433735,0.1,0.2028985507246377,0.07317073170731707,0.004672897196261682,0.11267605633802817,0.05434782608695652,0.0,0.07317073170731707,0.09210526315789473,0.06818181818181818,0.0,0.05555555555555555,0.08823529411764706,0.045454545454545456,0.09302325581395349,0.11320754716981132,0.12790697674418605,0.0,0.2,0.08433734939759036,0.05263157894736842,0.04878048780487805,0.0297029702970297,0.03488372093023256,0.11392405063291139,0.06,0.07526881720430108,0.011627906976744186,0.23076923076923078,0.025,0.053763440860215055,0.036585365853658534,0.14124293785310735,0.16304347826086957,0.037037037037037035,0.07526881720430108,0.17708333333333334
ncampuzano,0.041916167664670656,0.2222222222222222,0.22058823529411764,0.1,0.0,0.2153846153846154,0.05434782608695652,0.0,0.07317073170731707,0.25757575757575757,0.06818181818181818,0.0,0.05555555555555555,0.13846153846153847,0.045454545454545456,0.09302325581395349,0.3111111111111111,0.5645161290322581,0.2,0.0,0.10869565217391304,0.07017543859649122,0.06818181818181818,0.04838709677419355,0.041666666666666664,0.10483870967741936,0.08064516129032258,0.07017543859649122,0.043478260869565216,0.19672131147540983,0.04878048780487805,0.07272727272727272,0.06976744186046512,0.29365079365079366,0.19298245614035087,0.07142857142857142,0.10909090909090909,0.2982456140350877
adriel62,0.043478260869565216,0.19047619047619047,0.1276595744680851,0.4,0.005434782608695652,0.08888888888888889,0.08064516129032258,0.0,0.2727272727272727,0.15217391304347827,0.21428571428571427,0.0,0.031746031746031744,0.15789473684210525,0.23076923076923078,0.4166666666666667,0.20833333333333334,0.08064516129032258,0.08433734939759036,0.10869565217391304,0.0,0.1111111111111111,0.09523809523809523,0.0847457627118644,0.06521739130434782,0.11475409836065574,0.08196721311475409,0.07142857142857142,0.0,0.125,0.05,0.09433962264150944,0.07142857142857142,0.2558139534883721,0.19642857142857142,0.07317073170731707,0.1111111111111111,0.25862068965517243
capinzor,0.03355704697986577,0.12903225806451613,0.08620689655172414,0.2,0.0,0.05357142857142857,0.06944444444444445,0.0,0.14285714285714285,0.10526315789473684,0.125,0.0,0.013513513513513514,0.10204081632653061,0.13043478260869565,0.22727272727272727,0.08333333333333333,0.0547945205479452,0.05263157894736842,0.07017543859649122,0.1111111111111111,0.0,0.13043478260869565,0.1,0.11538461538461539,0.03571428571428571,0.5862068965517241,0.08108108108108109,0.0,0.08333333333333333,0.1,0.11764705882352941,0.13636363636363635,0.04411764705882353,0.09302325581395349,0.14285714285714285,0.14285714285714285,0.10416666666666667
ofnanezn,0.021897810218978103,0.10526315789473684,0.06521739130434782,0.42857142857142855,0.005555555555555556,0.07142857142857142,0.05,0.0,0.42857142857142855,0.08888888888888889,0.3,0.0,0.016666666666666666,0.08108108108108109,0.2,0.3,0.19047619047619047,0.05,0.04878048780487805,0.06818181818181818,0.09523809523809523,0.13043478260869565,0.0,0.08333333333333333,0.09090909090909091,0.05714285714285714,0.10810810810810811,0.16666666666666666,0.047619047619047616,0.3055555555555556,0.13333333333333333,0.1,0.17647058823529413,0.03787878787878788,0.05,0.1875,0.12903225806451613,0.14285714285714285
macuestap,0.01935483870967742,0.08333333333333333,0.046875,0.12,0.031088082901554404,0.06779661016949153,0.038461538461538464,0.0,0.12,0.09836065573770492,0.10714285714285714,0.0,0.01282051282051282,0.07407407407407407,0.07142857142857142,0.10714285714285714,0.075,0.08,0.0297029702970297,0.04838709677419355,0.0847457627118644,0.1,0.08333333333333333,0.0,0.13636363636363635,0.037037037037037035,0.16666666666666666,0.16129032258064516,0.045454545454545456,0.14285714285714285,0.125,0.25925925925925924,0.23529411764705882,0.078125,0.22857142857142856,0.17647058823529413,0.2,0.1951219512195122
spenas,0.02142857142857143,0.2,0.061224489795918366,0.18181818181818182,0.0,0.043478260869565216,0.06451612903225806,0.0,0.18181818181818182,0.061224489795918366,0.14285714285714285,0.0,0.0,0.075,0.25,0.23076923076923078,0.07692307692307693,0.03125,0.03488372093023256,0.041666666666666664,0.06521739130434782,0.11538461538461539,0.09090909090909091,0.13636363636363635,0.0,0.04424778761061947,0.5,0.10526315789473684,0.03571428571428571,0.08,0.09090909090909091,0.05263157894736842,0.08,0.02857142857142857,0.06521739130434782,0.08333333333333333,0.10526315789473684,0.057692307692307696
kgbayala528,0.026785714285714284,0.05714285714285714,0.12096774193548387,0.030927835051546393,0.003703703703703704,0.1440677966101695,0.0625,0.0,0.030927835051546393,0.09448818897637795,0.03,0.0,0.02027027027027027,0.056910569105691054,0.04081632653061224,0.04040404040404041,0.11650485436893204,0.09285714285714286,0.11392405063291139,0.10483870967741936,0.11475409836065574,0.03571428571428571,0.05714285714285714,0.037037037037037035,0.04424778761061947,0.0,0.042735042735042736,0.03571428571428571,0.00980392156862745,0.04918032786885246,0.020833333333333332,0.03636363636363636,0.030612244897959183,0.12953367875647667,0.11818181818181818,0.030927835051546393,0.05454545454545454,0.15178571428571427
