,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,top2,maikellPardoA,NicolasZon,camilo654,CristianLozano,top1,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,top4,top3,gabi04,annipi,bottom2,jcneivaa,bottom3,bottom4,yocuervoc,bottom1
mnguzmanc,0.0,0.1,0.005154639175257732,0.0,0.0043821209465381246,0.00525164113785558,0.0,0.009438009438009438,0.0073977371627502175,0.0078397212543554,0.007860262008733625,0.006530256856769699,0.0021598272138228943,0.0,0.007381676074685193,0.0013192612137203166,0.0026327336551118913,0.004384042086804033,0.0013175230566534915,0.008718395815170008,0.005256241787122208,0.022146507666098807,0.009879725085910653,0.0017520805957074025,0.0034980323567993005,0.005671902268760907,0.006584723441615452,0.00785683107813182,0.006965607313887679,0.009083044982698962,0.004776378636561007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fffeelipe,0.1,0.0,0.10227272727272728,0.0,0.1951219512195122,0.2558139534883721,0.0,0.0784313725490196,0.2,0.109375,0.1016949152542373,0.11290322580645161,0.04054054054054054,0.0,0.1323529411764706,0.0967741935483871,0.07692307692307693,0.2631578947368421,0.08823529411764706,0.109375,0.18181818181818182,0.06802721088435375,0.10204081632653061,0.1,0.061224489795918366,0.14814814814814814,0.19047619047619047,0.06451612903225806,0.1111111111111111,0.15384615384615385,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmcuestasb,0.005154639175257732,0.10227272727272728,0.0,0.0,0.06172839506172839,0.07058823529411765,0.0,0.05,0.09,0.04854368932038835,0.05154639175257732,0.04950495049504951,0.02702702702702703,0.0,0.05555555555555555,0.04411764705882353,0.039473684210526314,0.04938271604938271,0.04225352112676056,0.04854368932038835,0.08536585365853659,0.07777777777777778,0.050724637681159424,0.06578947368421052,0.09876543209876543,0.042105263157894736,0.0875,0.061855670103092786,0.07,0.06722689075630252,0.04854368932038835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
katherinsb,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jjrodriguezn,0.0043821209465381246,0.1951219512195122,0.06172839506172839,0.0,0.0,0.10869565217391304,0.0,0.12631578947368421,0.15,0.44680851063829785,0.2916666666666667,0.08196721311475409,0.04225352112676056,0.0,0.48,0.10714285714285714,0.11428571428571428,0.125,0.0967741935483871,0.2830188679245283,0.13953488372093023,0.18461538461538463,0.3125,0.05128205128205128,0.06521739130434782,0.11320754716981132,0.38235294117647056,0.05,0.21818181818181817,0.22535211267605634,0.11475409836065574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DglyP,0.00525164113785558,0.2558139534883721,0.07058823529411765,0.0,0.10869565217391304,0.0,0.0,0.10638297872340426,0.15789473684210525,0.1206896551724138,0.1346153846153846,0.16666666666666666,0.04411764705882353,0.0,0.12698412698412698,0.12,0.125,0.3125,0.10714285714285714,0.18181818181818182,0.1794871794871795,0.07857142857142857,0.13333333333333333,0.11764705882352941,0.06976744186046512,0.19148936170212766,0.2222222222222222,0.09090909090909091,0.10344827586206896,0.1506849315068493,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Judgarciani,0.009438009438009438,0.0784313725490196,0.05,0.0,0.12631578947368421,0.10638297872340426,0.0,0.0,0.08695652173913043,0.12987012987012986,0.12,0.13157894736842105,0.022727272727272728,0.0,0.10429447852760736,0.022388059701492536,0.050724637681159424,0.055944055944055944,0.021897810218978103,0.10828025477707007,0.06164383561643835,0.1111111111111111,0.10471204188481675,0.020833333333333332,0.019736842105263157,0.050955414012738856,0.10071942446043165,0.03680981595092025,0.0880503144654088,0.10285714285714286,0.06748466257668712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sacastroc,0.0073977371627502175,0.2,0.09,0.0,0.15,0.15789473684210525,0.0,0.08695652173913043,0.0,0.16494845360824742,0.16304347826086957,0.1326530612244898,0.02586206896551724,0.0,0.1782178217821782,0.0410958904109589,0.06329113924050633,0.0975609756097561,0.039473684210526314,0.15306122448979592,0.14634146341463414,0.13068181818181818,0.13636363636363635,0.075,0.06818181818181818,0.08333333333333333,0.1794871794871795,0.06930693069306931,0.16666666666666666,0.14782608695652175,0.0761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pcberriop,0.0078397212543554,0.109375,0.04854368932038835,0.0,0.44680851063829785,0.1206896551724138,0.0,0.12987012987012986,0.16494845360824742,0.0,0.35714285714285715,0.14285714285714285,0.03529411764705882,0.0,0.6296296296296297,0.07142857142857142,0.15217391304347827,0.09259259259259259,0.06666666666666667,0.4642857142857143,0.16666666666666666,0.2923076923076923,0.4166666666666667,0.0784313725490196,0.05,0.10606060606060606,0.32608695652173914,0.06944444444444445,0.208955223880597,0.24691358024691357,0.15492957746478872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
