,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,top2,djguzmanc,bottom5,oeroaq,gcantem,Semoralesga,top3,top1,stevenbustos,jufcontrerasco,top4,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,gfalbarracinr,aldiazve,top5,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,daandradec,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
adamantwharf,0.0,0.04918032786885246,1.0,0.0,0.75,0.06666666666666667,0.0,0.0015432098765432098,0.06666666666666667,0.07317073170731707,0.019867549668874173,0.02654867256637168,0.12,0.034482758620689655,0.0,0.2857142857142857,0.23076923076923078,0.08823529411764706,0.07692307692307693,0.03296703296703297,0.012195121951219513,0.0,0.0,0.05660377358490566,0.1,0.00205620287868403,0.021897810218978103,0.12,0.02,0.10526315789473684,1.0,0.0,0.012875536480686695,0.075,0.027522935779816515,0.008695652173913044,0.024390243902439025,0.0,0.0,0.13043478260869565
gasierram,0.04918032786885246,0.0,0.04918032786885246,0.0,0.06557377049180328,0.08163265306122448,0.12903225806451613,0.006526104417670682,0.23255813953488372,0.12087912087912088,0.10416666666666667,0.4262295081967213,0.2112676056338028,0.1746031746031746,0.004436860068259386,0.06349206349206349,0.07246376811594203,0.10465116279069768,0.2987012987012987,0.07801418439716312,0.04778156996587031,0.0,0.0,0.37349397590361444,0.10975609756097561,0.010638297872340425,0.38461538461538464,0.2463768115942029,0.36129032258064514,0.234375,0.04918032786885246,0.0,0.0425531914893617,0.32894736842105265,0.14093959731543623,0.16,0.4375,0.0,0.0,0.23529411764705882
bdcajicam,1.0,0.04918032786885246,0.0,0.0,0.08108108108108109,0.06578947368421052,0.022727272727272728,0.0045662100456621,0.2857142857142857,0.11594202898550725,0.0935672514619883,0.28448275862068967,0.2978723404255319,0.11818181818181818,0.0017164435290078957,0.07692307692307693,0.08888888888888889,0.1111111111111111,0.22950819672131148,0.032520325203252036,0.021739130434782608,0.0,0.0,0.3484848484848485,0.08196721311475409,0.006056527590847914,0.2357142857142857,0.32608695652173914,0.21568627450980393,0.2,0.08333333333333333,0.0,0.026717557251908396,0.26666666666666666,0.10687022900763359,0.09482758620689655,0.2619047619047619,0.0,0.0,0.3409090909090909
bottom4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
dfhincapiem,0.75,0.06557377049180328,0.08108108108108109,0.0,0.0,0.06521739130434782,0.0,0.0015424164524421595,0.06521739130434782,0.07142857142857142,0.019736842105263157,0.02631578947368421,0.11538461538461539,0.03409090909090909,0.0,0.25,0.21428571428571427,0.08571428571428572,0.075,0.03260869565217391,0.016260162601626018,0.0,0.0,0.05555555555555555,0.0967741935483871,0.002054794520547945,0.021739130434782608,0.11538461538461539,0.019867549668874173,0.1,0.75,0.0,0.01282051282051282,0.07317073170731707,0.02727272727272727,0.008670520231213872,0.024193548387096774,0.0,0.0,0.125
helmeraac,0.06666666666666667,0.08163265306122448,0.06578947368421052,0.0,0.06521739130434782,0.0,0.03333333333333333,0.008955223880597015,0.05737704918032787,0.05042016806722689,0.06334841628959276,0.06486486486486487,0.04807692307692308,0.06875,0.005423728813559322,0.034482758620689655,0.043010752688172046,0.08256880733944955,0.08849557522123894,0.08695652173913043,0.034482758620689655,0.0,0.0,0.06201550387596899,0.09615384615384616,0.011140235910878113,0.06763285024154589,0.05825242718446602,0.058823529411764705,0.04081632653061224,0.03571428571428571,0.0,0.02922077922077922,0.09734513274336283,0.0782122905027933,0.0412621359223301,0.06701030927835051,0.0,0.0,0.0594059405940594
dasalgadob,0.0,0.12903225806451613,0.022727272727272728,0.0,0.0,0.03333333333333333,0.0,0.0005122950819672131,0.018867924528301886,0.0,0.0,0.07017543859649122,0.0,0.03225806451612903,0.0013855213023900243,0.0,0.0,0.023809523809523808,0.06666666666666667,0.06382978723404255,0.02,0.0,0.0,0.03333333333333333,0.11428571428571428,0.0006816632583503749,0.06569343065693431,0.0,0.06,0.038461538461538464,0.0,0.0,0.01680672268907563,0.06521739130434782,0.04424778761061947,0.02608695652173913,0.07317073170731707,0.0,0.0,0.06666666666666667
top2,0.0015432098765432098,0.006526104417670682,0.0045662100456621,0.0,0.0015424164524421595,0.008955223880597015,0.0005122950819672131,0.0,0.005053057099545225,0.004046535154274153,0.015019379844961241,0.013799901429275506,0.003056546102903719,0.012462612163509471,0.023107907568369727,0.0015408320493066256,0.0030753459764223477,0.00508130081300813,0.005578093306288032,0.008924144769459593,0.027204502814258912,0.0,0.0,0.006045340050377834,0.007142857142857143,0.04804434862950416,0.016609672691744015,0.005104645227156712,0.015518913676042677,0.0010204081632653062,0.0015432098765432098,0.0,0.01114723641430562,0.004556962025316456,0.010832102412604629,0.03387533875338753,0.015225933202357564,0.0,0.0,0.004596527068437181
djguzmanc,0.06666666666666667,0.23255813953488372,0.2857142857142857,0.0,0.06521739130434782,0.05737704918032787,0.018867924528301886,0.005053057099545225,0.0,0.10975609756097561,0.11666666666666667,0.16428571428571428,0.29310344827586204,0.12295081967213115,0.0017082336863682953,0.07692307692307693,0.06779661016949153,0.10526315789473684,0.2361111111111111,0.07633587786259542,0.027777777777777776,0.0,0.0,0.2716049382716049,0.08108108108108109,0.007343124165554072,0.13333333333333333,0.2711864406779661,0.12359550561797752,0.1724137931034483,0.06,0.0,0.02909090909090909,0.2857142857142857,0.14388489208633093,0.0646900269541779,0.13071895424836602,0.0,0.0,0.25862068965517243
bottom5,0.07317073170731707,0.12087912087912088,0.11594202898550725,0.0,0.07142857142857142,0.05042016806722689,0.0,0.004046535154274153,0.10975609756097561,0.0,0.04918032786885246,0.07692307692307693,0.11864406779661017,0.0847457627118644,0.0010273972602739725,0.06818181818181818,0.08,0.08695652173913043,0.17647058823529413,0.08196721311475409,0.021352313167259787,0.0,0.0,0.14634146341463414,0.04411764705882353,0.006711409395973154,0.0658682634730539,0.17857142857142858,0.07303370786516854,0.11320754716981132,0.07317073170731707,0.0,0.022388059701492536,0.125,0.06382978723404255,0.029333333333333333,0.0718954248366013,0.0,0.0,0.10344827586206896
