,bdvegat,jusherrerama,Phoenixest,HashNick,bottom3,top4,top5,mdbelloc,diegocruz10,crarojasca,sagilm,idrojasf,raulramirezp,top1,top3,jhonsd1996,JuanitoAli,top2,cesarochoa2006,jjmuesesq,jucjimenezmo,kancas,Gantiva,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,leguzman,luealfonsoru,oserasoa,lsfinite,xdanielsb,bottom1,bottom4,bottom2
bdvegat,0.0,0.07575757575757576,0.06,0.07608695652173914,0.0,0.1568627450980392,0.13636363636363635,0.09782608695652174,0.10989010989010989,0.0,0.06,0.006259780907668232,0.05789473684210526,0.12941176470588237,0.16129032258064516,0.08163265306122448,0.005156854318865492,0.20967741935483872,0.08737864077669903,0.0625,0.05555555555555555,0.125,0.18055555555555555,0.1326530612244898,0.0,0.125,0.08064516129032258,0.08333333333333333,0.10606060606060606,0.1095890410958904,0.07407407407407407,0.017391304347826087,0.045454545454545456,0.125,0.1,0.12162162162162163,0.00348861071208701,0.0639269406392694,0.0,0.004357298474945534,0.14754098360655737
jusherrerama,0.07575757575757576,0.0,0.125,0.04285714285714286,0.0,0.2222222222222222,0.05982905982905983,0.08695652173913043,0.041666666666666664,0.0,0.125,0.004885993485342019,0.041666666666666664,0.09375,0.09523809523809523,0.125,0.004342162396873643,0.1951219512195122,0.075,0.13636363636363635,0.10714285714285714,0.12280701754385964,0.11320754716981132,0.08974358974358974,0.0,0.1935483870967742,0.17142857142857143,0.08333333333333333,0.23684210526315788,0.14583333333333334,0.05172413793103448,0.013761467889908258,0.1125,0.09333333333333334,0.08163265306122448,0.14,0.0018537590113285273,0.019704433497536946,0.0,0.0026396832380114386,0.07317073170731707
Phoenixest,0.06,0.125,0.0,0.05660377358490566,0.0,0.23076923076923078,0.028846153846153848,0.05454545454545454,0.05454545454545454,0.0,0.42857142857142855,0.0,0.025974025974025976,0.06,0.11538461538461539,0.42857142857142855,0.0013083296990841692,0.10344827586206896,0.045454545454545456,0.6,0.2727272727272727,0.06818181818181818,0.07692307692307693,0.046153846153846156,0.0,0.17647058823529413,0.14285714285714285,0.15789473684210525,0.1111111111111111,0.08571428571428572,0.047619047619047616,0.009501187648456057,0.043478260869565216,0.04838709677419355,0.03488372093023256,0.08108108108108109,0.0006193228736581337,0.016042780748663103,0.0,0.0013280212483399733,0.125
HashNick,0.07608695652173914,0.04285714285714286,0.05660377358490566,0.0,0.0,0.047619047619047616,0.08484848484848485,0.1016949152542373,0.1016949152542373,0.0,0.05128205128205128,0.004484304932735426,0.022222222222222223,0.06837606837606838,0.052083333333333336,0.0379746835443038,0.0038151759220008477,0.11827956989247312,0.08461538461538462,0.03896103896103896,0.03614457831325301,0.11214953271028037,0.07547169811320754,0.10236220472440945,0.0,0.045454545454545456,0.054945054945054944,0.044444444444444446,0.04081632653061224,0.23595505617977527,0.07407407407407407,0.02263374485596708,0.17073170731707318,0.12295081967213115,0.09523809523809523,0.10891089108910891,0.004697712418300653,0.031496062992125984,0.0,0.003870967741935484,0.08791208791208792
bottom3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
top4,0.1568627450980392,0.2222222222222222,0.23076923076923078,0.047619047619047616,0.0,0.0,0.1,0.14285714285714285,0.09090909090909091,0.0,0.14285714285714285,0.0032679738562091504,0.04878048780487805,0.09836065573770492,0.22857142857142856,0.2,0.004347826086956522,0.2777777777777778,0.07792207792207792,0.15789473684210525,0.12,0.17307692307692307,0.16666666666666666,0.1232876712328767,0.0,0.36,0.1875,0.125,0.1282051282051282,0.2682926829268293,0.11538461538461539,0.013856812933025405,0.075,0.14492753623188406,0.09574468085106383,0.22727272727272727,0.001442109600329625,0.04081632653061224,0.0,0.003085059497576025,0.17142857142857143
top5,0.13636363636363635,0.05982905982905983,0.028846153846153848,0.08484848484848485,0.0,0.1,0.0,0.19753086419753085,0.17575757575757575,0.0,0.02097902097902098,0.009602194787379973,0.038869257950530034,0.07386363636363637,0.07142857142857142,0.028169014084507043,0.006206040546131568,0.10526315789473684,0.17142857142857143,0.02127659574468085,0.02040816326530612,0.08928571428571429,0.09202453987730061,0.0967741935483871,0.0,0.061224489795918366,0.03896103896103896,0.039473684210526314,0.031055900621118012,0.07407407407407407,0.0650887573964497,0.023722627737226276,0.05583756345177665,0.21818181818181817,0.17801047120418848,0.1069182389937107,0.004434589800443459,0.03821656050955414,0.0,0.00587248322147651,0.05844155844155844
mdbelloc,0.09782608695652174,0.08695652173913043,0.05454545454545454,0.1016949152542373,0.0,0.14285714285714285,0.19753086419753085,0.0,0.65625,0.0,0.05454545454545454,0.006211180124223602,0.05102040816326531,0.08602150537634409,0.1,0.05454545454545454,0.006440532417346501,0.17647058823529413,0.4625,0.05660377358490566,0.05084745762711865,0.28378378378378377,0.125,0.11538461538461539,0.0,0.15254237288135594,0.09090909090909091,0.04477611940298507,0.0684931506849315,0.2463768115942029,0.22666666666666666,0.03728070175438596,0.21212121212121213,0.5915492957746479,0.4891304347826087,0.375,0.0030737704918032786,0.030303030303030304,0.0,0.004347826086956522,0.10294117647058823
diegocruz10,0.10989010989010989,0.041666666666666664,0.05454545454545454,0.1016949152542373,0.0,0.09090909090909091,0.17575757575757575,0.65625,0.0,0.0,0.05454545454545454,0.004651162790697674,0.05102040816326531,0.09782608695652174,0.1,0.05454545454545454,0.005577005577005577,0.1267605633802817,0.40963855421686746,0.05660377358490566,0.05084745762711865,0.25,0.0975609756097561,0.09433962264150944,0.0,0.0967741935483871,0.07462686567164178,0.04477611940298507,0.0684931506849315,0.1780821917808219,0.21052631578947367,0.02826086956521739,0.1650485436893204,0.527027027027027,0.5930232558139535,0.3968253968253968,0.0030737704918032786,0.034782608695652174,0.0,0.004347826086956522,0.10294117647058823
crarojasca,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
