,juligarji,lemartinp,nfmorenog,AFelipeGA,mballeng91,dduartec,srmedinac,wilson911013,wapiravaguens,davidh17,DianaNavarrete,jdmonroyg,jorge52an,jscastelblancoh,juclopezso,afforeroc,dagofonseca,lacardenasv,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,spenas,kgbayala528,lgmoralesa,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,Chranium,DavidQP,afceballosr,lizzyt10h,NicolasPrr,jumcorredorro,feartheGru,Danielsv9207,JhonEmmanuelTorres
juligarji,0.0,0.034722222222222224,0.0051444400474871385,0.028442437923250564,0.004889056036103798,0.00276789244760775,0.006304176516942475,0.0,0.007081038552321007,0.004746835443037975,0.0016,0.0,0.0015698587127158557,0.007563694267515924,0.001600640256102441,0.0020008003201280513,0.001991238550378335,0.005529225908372828,0.013986013986013986,0.0047430830039525695,0.003560126582278481,0.0019904458598726115,0.006274509803921568,0.0031936127744510976,0.0015904572564612327,0.006599378881987578,0.0035559067562228367,0.003988831272437176,0.005917159763313609,0.005522682445759369,0.0008003201280512205,0.00477326968973747,0.0012004801920768306,0.002776675922253074,0.003560126582278481,0.0023961661341853034,0.0035885167464114833,0.005152596115735236,0.0,0.0,0.0
lemartinp,0.034722222222222224,0.0,0.1836734693877551,0.002416626389560174,0.0,0.125,0.1076923076923077,0.0,0.08333333333333333,0.20833333333333334,0.1,0.0,0.04477611940298507,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.21428571428571427,0.16363636363636364,0.06666666666666667,0.1111111111111111,0.1956521739130435,0.12903225806451613,0.10526315789473684,0.24,0.12121212121212122,0.05714285714285714,0.23404255319148937,0.12903225806451613,0.15254237288135594,0.15517241379310345,0.11764705882352941,0.1891891891891892,0.17647058823529413,0.12195121951219512,0.14583333333333334,0.16666666666666666,0.16666666666666666,0.2,0.0,0.0,0.0
nfmorenog,0.0051444400474871385,0.1836734693877551,0.0,0.005238095238095238,0.004424778761061947,0.2465753424657534,0.05825242718446602,0.0,0.15,0.1728395061728395,0.05357142857142857,0.0,0.0594059405940594,0.10256410256410256,0.05454545454545454,0.09259259259259259,0.22413793103448276,0.16091954022988506,0.12244897959183673,0.1686746987951807,0.1794871794871795,0.07462686567164178,0.06140350877192982,0.0967741935483871,0.05714285714285714,0.11278195488721804,0.1875,0.1076923076923077,0.1797752808988764,0.25301204819277107,0.037037037037037035,0.14084507042253522,0.05555555555555555,0.136986301369863,0.08235294117647059,0.08333333333333333,0.1076923076923077,0.19736842105263158,0.0,0.0,0.0
AFelipeGA,0.028442437923250564,0.002416626389560174,0.005238095238095238,0.0,0.007668019846639603,0.003347680535628886,0.007139457401237506,0.0,0.007597340930674264,0.004780114722753346,0.0024260067928190197,0.0,0.0014211274277593558,0.004800768122899664,0.001454898157129001,0.001454192922927775,0.0028957528957528956,0.0076481835564053535,0.010702652396463471,0.0033381020505484026,0.003825920612147298,0.0019277108433734939,0.008530805687203791,0.0033849129593810446,0.000962000962000962,0.013164080865068171,0.002384358607534573,0.002894356005788712,0.00332541567695962,0.005238095238095238,0.0009704027171276079,0.005296100144439095,0.001941747572815534,0.0019175455417066154,0.00430622009569378,0.003875968992248062,0.002894356005788712,0.006235011990407674,0.0,0.0,0.0
mballeng91,0.004889056036103798,0.0,0.004424778761061947,0.007668019846639603,0.0,0.004694835680751174,0.013100436681222707,0.0,0.01276595744680851,0.009259259259259259,0.0,0.0,0.013215859030837005,0.004807692307692308,0.0,0.0055248618784530384,0.0051813471502590676,0.009009009009009009,0.006993006993006993,0.0045662100456621,0.004672897196261682,0.0,0.012448132780082987,0.0,0.00510204081632653,0.003703703703703704,0.0,0.015625,0.0,0.004424778761061947,0.0,0.009900990099009901,0.00558659217877095,0.0,0.009389671361502348,0.010752688172043012,0.0,0.004694835680751174,0.0,0.0,0.0
dduartec,0.00276789244760775,0.125,0.2465753424657534,0.003347680535628886,0.004694835680751174,0.0,0.03184713375796178,0.0,0.05660377358490566,0.08823529411764706,0.027522935779816515,0.0,0.02564102564102564,0.06923076923076923,0.01834862385321101,0.037037037037037035,0.11711711711711711,0.047619047619047616,0.10101010101010101,0.034482758620689655,0.09848484848484848,0.02459016393442623,0.04819277108433735,0.03418803418803419,0.016,0.09836065573770492,0.08823529411764706,0.041666666666666664,0.11267605633802817,0.13768115942028986,0.018691588785046728,0.05511811023622047,0.03773584905660377,0.088,0.08208955223880597,0.06306306306306306,0.041666666666666664,0.14285714285714285,0.0,0.0,0.0
srmedinac,0.006304176516942475,0.1076923076923077,0.05825242718446602,0.007139457401237506,0.013100436681222707,0.03184713375796178,0.0,0.0,0.061946902654867256,0.07526881720430108,0.04918032786885246,0.0,0.009009009009009009,0.10975609756097561,0.06779661016949153,0.10344827586206896,0.0410958904109589,0.10416666666666667,0.04294478527607362,0.0625,0.06593406593406594,0.06944444444444445,0.575,0.08955223880597014,0.05333333333333334,0.0625,0.08695652173913043,0.06944444444444445,0.0784313725490196,0.05825242718446602,0.03389830508474576,0.075,0.05084745762711865,0.047619047619047616,0.05434782608695652,0.07692307692307693,0.1,0.07865168539325842,0.0,0.0,0.0
wilson911013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
wapiravaguens,0.007081038552321007,0.08333333333333333,0.15,0.007597340930674264,0.01276595744680851,0.05660377358490566,0.061946902654867256,0.0,0.0,0.09482758620689655,0.03409090909090909,0.0,0.05303030303030303,0.08256880733944955,0.034482758620689655,0.07058823529411765,0.061855670103092786,0.13675213675213677,0.07650273224043716,0.11206896551724138,0.06896551724137931,0.050505050505050504,0.0625,0.08695652173913043,0.02912621359223301,0.046511627906976744,0.07627118644067797,0.09473684210526316,0.05384615384615385,0.15254237288135594,0.023255813953488372,0.1188118811881188,0.03488372093023256,0.036036036036036036,0.0782608695652174,0.06593406593406594,0.07216494845360824,0.08849557522123894,0.0,0.0,0.0
davidh17,0.004746835443037975,0.20833333333333334,0.1728395061728395,0.004780114722753346,0.009259259259259259,0.08823529411764706,0.07526881720430108,0.0,0.09482758620689655,0.0,0.045454545454545456,0.0,0.035398230088495575,0.12941176470588237,0.046153846153846156,0.09523809523809523,0.208955223880597,0.07766990291262135,0.12179487179487179,0.07,0.2289156626506024,0.07894736842105263,0.06504065040650407,0.14705882352941177,0.06329113924050633,0.0896551724137931,0.20689655172413793,0.09333333333333334,0.13861386138613863,0.16326530612244897,0.03125,0.1375,0.046875,0.10714285714285714,0.14606741573033707,0.10294117647058823,0.07894736842105263,0.2625,0.0,0.0,0.0
