,top4,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,top2,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,top3,janoguerab,lfvalderrama,top1,gabi04,annipi,bottom2,jcneivaa,fmbernalb,bottom4,bottom3,bottom1
top4,0.0,0.010620220900594732,0.005546075085324232,0.0,0.006516072980017376,0.005649717514124294,0.0,0.014231896190874843,0.011996572407883462,0.00865426222414539,0.01078981441519206,0.012398460880718255,0.002144082332761578,0.0,0.008189655172413794,0.0013094718463553033,0.002613240418118467,0.004351610095735422,0.0013077593722755014,0.012027491408934709,0.008264462809917356,0.004357298474945534,0.012340425531914894,0.012875536480686695,0.004325259515570935,0.00563014291901256,0.006974716652136007,0.00779896013864818,0.00902061855670103,0.012711864406779662,0.007725321888412017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fffeelipe,0.010620220900594732,0.0,0.0949367088607595,0.0,0.0390625,0.1016949152542373,0.0,0.06696428571428571,0.14102564102564102,0.05,0.046357615894039736,0.10843373493975904,0.026845637583892617,0.0,0.06896551724137931,0.028037383177570093,0.04424778761061947,0.09734513274336283,0.02727272727272727,0.04242424242424243,0.09836065573770492,0.03418803418803419,0.07142857142857142,0.06666666666666667,0.045454545454545456,0.06976744186046512,0.06779661016949153,0.05185185185185185,0.07142857142857142,0.07291666666666667,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmcuestasb,0.005546075085324232,0.0949367088607595,0.0,0.0,0.044444444444444446,0.07058823529411765,0.0,0.030927835051546393,0.0859375,0.04854368932038835,0.043859649122807015,0.050724637681159424,0.02702702702702703,0.0,0.05454545454545454,0.04411764705882353,0.039473684210526314,0.04938271604938271,0.04225352112676056,0.047244094488188976,0.07954545454545454,0.09333333333333334,0.04,0.04580152671755725,0.08791208791208792,0.042105263157894736,0.0875,0.061855670103092786,0.058823529411764705,0.050314465408805034,0.06837606837606838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
katherinsb,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,0.0,0.019867549668874173,0.03333333333333333,0.05084745762711865,0.057971014492753624,0.05319148936170213,0.0625,0.0,0.04477611940298507,0.13636363636363635,0.1,0.11428571428571428,0.12,0.06097560975609756,0.06521739130434782,0.125,0.03773584905660377,0.03409090909090909,0.08163265306122448,0.08163265306122448,0.1388888888888889,0.05555555555555555,0.03896103896103896,0.04310344827586207,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jjrodriguezn,0.006516072980017376,0.0390625,0.044444444444444446,0.09090909090909091,0.0,0.10638297872340426,0.0,0.08053691275167785,0.13636363636363635,0.4375,0.45454545454545453,0.04950495049504951,0.041666666666666664,0.0,0.4528301886792453,0.10344827586206896,0.1111111111111111,0.12195121951219512,0.09375,0.189873417721519,0.21739130434782608,0.30303030303030304,0.25806451612903225,0.30666666666666664,0.05263157894736842,0.1111111111111111,0.37142857142857144,0.04918032786885246,0.17567567567567569,0.14285714285714285,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DglyP,0.005649717514124294,0.1016949152542373,0.07058823529411765,0.125,0.10638297872340426,0.0,0.0,0.009152542372881356,0.010395010395010396,0.006278339727938612,0.008005569091541943,0.005159958720330237,0.0020797227036395147,0.0,0.006961364427427776,0.001054481546572935,0.001402524544179523,0.004210526315789474,0.001053370786516854,0.009365244536940686,0.006659656501927795,0.0038623595505617976,0.00859697386519945,0.006910850034554251,0.002789400278940028,0.004891684136967156,0.00597119775201967,0.005235602094240838,0.00798611111111111,0.009256085018854988,0.0062413314840499305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Judgarciani,0.014231896190874843,0.06696428571428571,0.030927835051546393,0.019867549668874173,0.08053691275167785,0.009152542372881356,0.0,0.0,0.1111111111111111,0.12578616352201258,0.1111111111111111,0.125,0.022099447513812154,0.0,0.1,0.02158273381294964,0.056338028169014086,0.05405405405405406,0.02112676056338028,0.12087912087912088,0.09933774834437085,0.07746478873239436,0.12376237623762376,0.14285714285714285,0.017964071856287425,0.04938271604938271,0.09722222222222222,0.03571428571428571,0.08241758241758242,0.10185185185185185,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sacastroc,0.011996572407883462,0.14102564102564102,0.0859375,0.03333333333333333,0.13636363636363635,0.010395010395010396,0.0,0.1111111111111111,0.0,0.12962962962962962,0.08130081300813008,0.11971830985915492,0.024,0.0,0.1206896551724138,0.036585365853658534,0.09411764705882353,0.08791208791208792,0.03529411764705882,0.09701492537313433,0.12371134020618557,0.054945054945054944,0.11842105263157894,0.11851851851851852,0.0761904761904762,0.0660377358490566,0.08602150537634409,0.09345794392523364,0.1111111111111111,0.09696969696969697,0.07751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pcberriop,0.00865426222414539,0.05,0.04854368932038835,0.05084745762711865,0.4375,0.006278339727938612,0.0,0.12578616352201258,0.12962962962962962,0.0,0.2967032967032967,0.058823529411764705,0.02727272727272727,0.0,0.35294117647058826,0.04477611940298507,0.08333333333333333,0.06329113924050633,0.04285714285714286,0.2336448598130841,0.13253012048192772,0.14084507042253522,0.27049180327868855,0.32038834951456313,0.031578947368421054,0.07692307692307693,0.19444444444444445,0.04081632653061224,0.12612612612612611,0.11409395973154363,0.08771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
