,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,falperezgo,djguzmanc,gsuarezc04,top1,gcantem,Semoralesga,top2,top3,stevenbustos,jufcontrerasco,dsbarrerag,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,bottom5,aldiazve,top5,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,top4,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
adamantwharf,0.0,0.04918032786885246,0.08333333333333333,0.0,0.75,0.03571428571428571,0.0,0.0015432098765432098,0.06,0.07317073170731707,0.004207573632538569,0.02654867256637168,0.0013198416190057193,0.03225806451612903,0.0,0.2857142857142857,0.23076923076923078,0.057692307692307696,0.013452914798206279,0.029411764705882353,0.012195121951219513,0.0,0.5,0.05555555555555555,0.1,0.00205620287868403,0.021897810218978103,0.061224489795918366,0.02,0.10526315789473684,0.42857142857142855,0.0,0.01195219123505976,0.058823529411764705,0.020689655172413793,0.008695652173913044,0.024390243902439025,0.0,0.0,0.09090909090909091
gasierram,0.04918032786885246,0.0,0.515625,0.0,0.06557377049180328,0.07407407407407407,0.12903225806451613,0.006526104417670682,0.23333333333333334,0.12087912087912088,0.032,0.4262295081967213,0.011703511053315995,0.16666666666666666,0.00436388049681101,0.06349206349206349,0.07246376811594203,0.08653846153846154,0.08812260536398467,0.08666666666666667,0.04778156996587031,0.0,0.046875,0.36904761904761907,0.10975609756097561,0.010638297872340425,0.38461538461538464,0.1827956989247312,0.36129032258064514,0.234375,0.046153846153846156,0.0,0.043478260869565216,0.28735632183908044,0.13186813186813187,0.16,0.4375,0.0,0.0,0.20512820512820512
bdcajicam,0.08333333333333333,0.515625,0.0,0.0,0.08108108108108109,0.043478260869565216,0.022727272727272728,0.0045662100456621,0.2647058823529412,0.11594202898550725,0.024623803009575923,0.28448275862068967,0.007417102966841187,0.11206896551724138,0.001688048615800135,0.07692307692307693,0.08888888888888889,0.08641975308641975,0.06147540983606557,0.045454545454545456,0.021739130434782608,0.0,0.07692307692307693,0.34328358208955223,0.08196721311475409,0.006056527590847914,0.2357142857142857,0.21428571428571427,0.21568627450980393,0.2,0.075,0.0,0.02867383512544803,0.22535211267605634,0.08383233532934131,0.09482758620689655,0.2619047619047619,0.0,0.0,0.2777777777777778
bottom4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
dfhincapiem,0.75,0.06557377049180328,0.08108108108108109,0.0,0.0,0.03529411764705882,0.0,0.0015424164524421595,0.058823529411764705,0.07142857142857142,0.004201680672268907,0.02631578947368421,0.0017597888253409592,0.031914893617021274,0.0,0.25,0.21428571428571427,0.05660377358490566,0.017937219730941704,0.02912621359223301,0.016260162601626018,0.0,0.42857142857142855,0.05454545454545454,0.0967741935483871,0.002054794520547945,0.021739130434782608,0.06,0.019867549668874173,0.1,0.375,0.0,0.011904761904761904,0.057692307692307696,0.02054794520547945,0.008670520231213872,0.024193548387096774,0.0,0.0,0.08823529411764706
helmeraac,0.03571428571428571,0.07407407407407407,0.043478260869565216,0.0,0.03529411764705882,0.0,0.03260869565217391,0.009448035803083043,0.0625,0.049586776859504134,0.020434227330779056,0.06417112299465241,0.007689021785561726,0.10493827160493827,0.007009345794392523,0.033707865168539325,0.042105263157894736,0.11290322580645161,0.04040404040404041,0.09302325581395349,0.0375,0.0,0.033707865168539325,0.07692307692307693,0.09433962264150944,0.012450851900393184,0.06698564593301436,0.046511627906976744,0.05829596412556054,0.04,0.03333333333333333,0.0,0.027439024390243903,0.0873015873015873,0.06944444444444445,0.043583535108958835,0.0663265306122449,0.0,0.0,0.05309734513274336
dasalgadob,0.0,0.12903225806451613,0.022727272727272728,0.0,0.0,0.03260869565217391,0.0,0.0005122950819672131,0.017241379310344827,0.0,0.004172461752433936,0.07017543859649122,0.001755926251097454,0.030303030303030304,0.0013623978201634877,0.0,0.0,0.016666666666666666,0.004329004329004329,0.0673076923076923,0.02,0.0,0.0,0.03278688524590164,0.11428571428571428,0.0006816632583503749,0.06569343065693431,0.0,0.06,0.038461538461538464,0.0,0.0,0.015625,0.05263157894736842,0.03355704697986577,0.02608695652173913,0.07317073170731707,0.0,0.0,0.05
falperezgo,0.0015432098765432098,0.006526104417670682,0.0045662100456621,0.0,0.0015424164524421595,0.009448035803083043,0.0005122950819672131,0.0,0.004894762604013705,0.003436426116838488,0.031914893617021274,0.013409961685823755,0.019308700834326578,0.017969888295288974,0.02471443406022845,0.0014955134596211367,0.0029850746268656717,0.00784698381559588,0.021569527306103717,0.010076775431861805,0.02647193062528526,0.0,0.0014955134596211367,0.006360078277886497,0.006934125804853888,0.046553808948004836,0.0166270783847981,0.004405286343612335,0.015087223008015087,0.0009905894006934125,0.0014947683109118087,0.0,0.03441945846718678,0.004892367906066536,0.009873060648801129,0.032996040475142985,0.014797136038186158,0.0,0.0,0.005432098765432099
djguzmanc,0.06,0.23333333333333334,0.2647058823529412,0.0,0.058823529411764705,0.0625,0.017241379310344827,0.004894762604013705,0.0,0.09278350515463918,0.034574468085106384,0.15584415584415584,0.009935205183585313,0.12056737588652482,0.002677376171352075,0.05970149253731343,0.05405405405405406,0.08333333333333333,0.09090909090909091,0.0915032679738562,0.029801324503311258,0.0,0.04411764705882353,0.26595744680851063,0.07954545454545454,0.008603573792190603,0.14124293785310735,0.17525773195876287,0.13756613756613756,0.2028985507246377,0.043478260869565216,0.0,0.039473684210526314,0.2608695652173913,0.14130434782608695,0.07329842931937172,0.14634146341463414,0.0,0.0,0.2564102564102564
gsuarezc04,0.07317073170731707,0.12087912087912088,0.11594202898550725,0.0,0.07142857142857142,0.049586776859504134,0.0,0.003436426116838488,0.09278350515463918,0.0,0.012080536912751677,0.07692307692307693,0.004776378636561007,0.08064516129032258,0.0010104412260020209,0.06818181818181818,0.08,0.08139534883720931,0.060240963855421686,0.07518796992481203,0.021352313167259787,0.0,0.06818181818181818,0.14457831325301204,0.04411764705882353,0.006711409395973154,0.0658682634730539,0.125,0.07303370786516854,0.11320754716981132,0.06666666666666667,0.0,0.02456140350877193,0.12195121951219512,0.05084745762711865,0.029333333333333333,0.0718954248366013,0.0,0.0,0.08823529411764706
