,bdvegat,jusherrerama,Phoenixest,HashNick,bottom2,joaortizro,top4,mdbelloc,diegocruz10,crarojasca,sagilm,idrojasf,raulramirezp,top1,top2,jhonsd1996,top3,top5,cesarochoa2006,jjmuesesq,jucjimenezmo,kancas,Gantiva,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,leguzman,luealfonsoru,oserasoa,bottom1,xdanielsb,bottom3,bottom4,bottom5
bdvegat,0.0,0.07692307692307693,0.0024473813020068525,0.005215742057847321,0.0,0.00438382854359474,0.009708737864077669,0.0067243035542747355,0.0067243035542747355,0.0,0.0038910505836575876,0.03046875,0.02092050209205021,0.008547008547008548,0.0048543689320388345,0.0019569471624266144,0.025864095932283095,0.006280193236714976,0.014608859566446749,0.0014684287812041115,0.001953125,0.006760019314340898,0.008208594881699663,0.011893434823977164,0.000970873786407767,0.004375303840544483,0.00632295719844358,0.0034096444227959084,0.005811138014527845,0.0038684719535783366,0.009237875288683603,0.028250934773577065,0.011477761836441894,0.01330166270783848,0.01383587786259542,0.007718282682103232,0.04149064574532287,0.02474793767186068,0.0,0.026743075453677174,0.007295719844357977
jusherrerama,0.07692307692307693,0.0,0.125,0.03125,0.0,0.17142857142857143,0.04487179487179487,0.08695652173913043,0.041666666666666664,0.0,0.075,0.004885993485342019,0.041666666666666664,0.05102040816326531,0.08888888888888889,0.125,0.0029978586723768737,0.14814814814814814,0.06451612903225806,0.13636363636363635,0.10714285714285714,0.12280701754385964,0.09836065573770492,0.0707070707070707,0.0,0.15384615384615385,0.17073170731707318,0.08333333333333333,0.19148936170212766,0.14583333333333334,0.031446540880503145,0.013392857142857142,0.10588235294117647,0.10891089108910891,0.08333333333333333,0.11475409836065574,0.001846911553457829,0.018957345971563982,0.0,0.0026396832380114386,0.06382978723404255
Phoenixest,0.0024473813020068525,0.125,0.0,0.0379746835443038,0.0,0.14285714285714285,0.02097902097902098,0.05454545454545454,0.05454545454545454,0.0,0.13043478260869565,0.0,0.025974025974025976,0.03614457831325301,0.10344827586206896,0.42857142857142855,0.0012919896640826874,0.07142857142857142,0.026785714285714284,0.6,0.2727272727272727,0.06818181818181818,0.06382978723404255,0.03488372093023256,0.0,0.12,0.10714285714285714,0.15789473684210525,0.08333333333333333,0.08571428571428572,0.020833333333333332,0.009237875288683603,0.04054054054054054,0.03260869565217391,0.03571428571428571,0.0625,0.0006170300287947347,0.015384615384615385,0.0,0.0013280212483399733,0.1
HashNick,0.005215742057847321,0.03125,0.0379746835443038,0.0,0.0,0.04891304347826087,0.07876712328767123,0.0966183574879227,0.07075471698113207,0.0,0.08333333333333333,0.021248339973439574,0.04472843450479233,0.045081967213114756,0.03608247422680412,0.017045454545454544,0.016714227476559314,0.07,0.1225296442687747,0.017241379310344827,0.016666666666666666,0.08,0.095,0.09322033898305085,0.0,0.042328042328042326,0.0582010582010582,0.032432432432432434,0.050505050505050504,0.13736263736263737,0.0711864406779661,0.046632124352331605,0.15492957746478872,0.1092436974789916,0.11790393013100436,0.1,0.010234798314268514,0.039660056657223795,0.0,0.009970918155380142,0.035897435897435895
bottom2,0.0,0.0,0.0,0.0,0.0,0.10843373493975904,0.09743589743589744,0.18867924528301888,0.17757009345794392,0.0,0.175,0.007541478129713424,0.05116279069767442,0.09219858156028368,0.0989010989010989,0.05405405405405406,0.00419639110365086,0.1188118811881188,0.12269938650306748,0.0410958904109589,0.0379746835443038,0.21052631578947367,0.16831683168316833,0.11347517730496454,0.0,0.1566265060240964,0.1,0.046511627906976744,0.07,0.17777777777777778,0.1256544502617801,0.03483606557377049,0.12403100775193798,0.16428571428571428,0.15671641791044777,0.2268041237113402,0.004479739360619018,0.03501945525291829,0.0,0.003013344812742144,0.12222222222222222
joaortizro,0.00438382854359474,0.17142857142857143,0.14285714285714285,0.04891304347826087,0.10843373493975904,0.0,0.0738255033557047,0.14285714285714285,0.09090909090909091,0.0,0.1111111111111111,0.0032679738562091504,0.04878048780487805,0.06382978723404255,0.21052631578947367,0.2,0.003001715265866209,0.20408163265306123,0.05737704918032787,0.15789473684210525,0.12,0.17307692307692307,0.14285714285714285,0.10752688172043011,0.0,0.2727272727272727,0.21621621621621623,0.125,0.17777777777777778,0.2682926829268293,0.03870967741935484,0.015765765765765764,0.07058823529411765,0.11224489795918367,0.09782608695652174,0.2037037037037037,0.0014367816091954023,0.0392156862745098,0.0,0.003085059497576025,0.14634146341463414
top4,0.009708737864077669,0.04487179487179487,0.02097902097902098,0.07876712328767123,0.09743589743589744,0.0738255033557047,0.0,0.14798206278026907,0.13274336283185842,0.0,0.051643192488262914,0.020460358056265986,0.047058823529411764,0.06367041198501873,0.0502283105022831,0.0196078431372549,0.014067524115755627,0.0611353711790393,0.14652014652014653,0.014778325123152709,0.014354066985645933,0.07929515418502203,0.08296943231441048,0.0830188679245283,0.0,0.056074766355140186,0.06511627906976744,0.028037383177570093,0.048672566371681415,0.05357142857142857,0.0391566265060241,0.029173419773095625,0.08267716535433071,0.17670682730923695,0.14457831325301204,0.10176991150442478,0.008967716221602232,0.05319148936170213,0.0,0.01443298969072165,0.04524886877828054
mdbelloc,0.0067243035542747355,0.08695652173913043,0.05454545454545454,0.0966183574879227,0.18867924528301888,0.14285714285714285,0.14798206278026907,0.0,0.65625,0.0,0.2982456140350877,0.006211180124223602,0.05102040816326531,0.072,0.0958904109589041,0.05454545454545454,0.005508474576271186,0.14814814814814814,0.31451612903225806,0.05660377358490566,0.05084745762711865,0.28378378378378377,0.13953488372093023,0.096,0.0,0.16923076923076924,0.11267605633802817,0.04477611940298507,0.10126582278481013,0.2463768115942029,0.11428571428571428,0.04525862068965517,0.20192307692307693,0.4158415841584158,0.4673913043478261,0.39436619718309857,0.0038823048630976706,0.03361344537815126,0.0,0.004347826086956522,0.0945945945945946
diegocruz10,0.0067243035542747355,0.041666666666666664,0.05454545454545454,0.07075471698113207,0.17757009345794392,0.09090909090909091,0.13274336283185842,0.65625,0.0,0.0,0.3114754098360656,0.007704160246533128,0.04950495049504951,0.07692307692307693,0.08860759493670886,0.04918032786885246,0.006345177664974619,0.16470588235294117,0.2900763358778626,0.05084745762711865,0.046153846153846156,0.2625,0.14285714285714285,0.1,0.0,0.15492957746478872,0.1038961038961039,0.0410958904109589,0.09411764705882353,0.22666666666666666,0.1043956043956044,0.04025423728813559,0.19090909090909092,0.4056603773584906,0.6022727272727273,0.4583333333333333,0.004492546457014498,0.037037037037037035,0.0,0.005208333333333333,0.10126582278481013
crarojasca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
