,top1,lemartinp,nfmorenog,AFelipeGA,mballeng91,bottom3,srmedinac,bottom2,wapiravaguens,bottom1,DianaNavarrete,jdmonroyg,jorge52an,top3,juclopezso,afforeroc,dagofonseca,lacardenasv,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,spenas,kgbayala528,top2,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,bottom4,DavidQP,afceballosr,lizzyt10h,NicolasPrr,top4
top1,0.0,0.005579912315663611,0.006931074316519061,0.0015606710885680843,0.005139500734214391,0.005653976630229929,0.006144393241167435,0.0,0.001170046801872075,0.005747126436781609,0.001558846453624318,0.0,0.0029706646862235424,0.007733952049497293,0.0015594541910331384,0.001949317738791423,0.011506652283351312,0.0034775888717156105,0.007097497198356369,0.0038550501156515036,0.003469545104086353,0.0049770290964777945,0.0027226760015558148,0.0031116297160637884,0.0015497869043006587,0.007924528301886792,0.0038284839203675345,0.005793742757821553,0.0019470404984423676,0.005378409527468306,0.0007797270955165692,0.004651162790697674,0.0011695906432748538,0.003500583430571762,0.003464203233256351,0.0027269185820023374,0.0034965034965034965,0.0094948727687049
lemartinp,0.005579912315663611,0.0,0.16417910447761194,0.1111111111111111,0.005,0.048,0.09210526315789473,0.0,0.07142857142857142,0.14285714285714285,0.06451612903225806,0.0,0.025,0.13114754098360656,0.10344827586206896,0.13793103448275862,0.049429657794676805,0.1320754716981132,0.07432432432432433,0.17543859649122806,0.17857142857142858,0.1282051282051282,0.1388888888888889,0.16666666666666666,0.09090909090909091,0.08943089430894309,0.14864864864864866,0.08064516129032258,0.09090909090909091,0.14285714285714285,0.07142857142857142,0.2222222222222222,0.10714285714285714,0.2647058823529412,0.1111111111111111,0.12121212121212122,0.12195121951219512,0.1
nfmorenog,0.006931074316519061,0.16417910447761194,0.0,0.07692307692307693,0.004424778761061947,0.12949640287769784,0.05825242718446602,0.0,0.05660377358490566,0.15151515151515152,0.05357142857142857,0.0,0.03260869565217391,0.10465116279069768,0.05454545454545454,0.09259259259259259,0.055944055944055944,0.19444444444444445,0.14906832298136646,0.19230769230769232,0.1794871794871795,0.16326530612244897,0.17543859649122806,0.0967741935483871,0.05714285714285714,0.17647058823529413,0.15625,0.09411764705882353,0.06896551724137931,0.24705882352941178,0.037037037037037035,0.14084507042253522,0.05555555555555555,0.13114754098360656,0.07865168539325842,0.10526315789473684,0.1076923076923077,0.13953488372093023
AFelipeGA,0.0015606710885680843,0.1111111111111111,0.07692307692307693,0.0,0.0,0.02830188679245283,0.07017543859649122,0.0,0.6,0.06451612903225806,0.375,0.0,0.0070921985815602835,0.09302325581395349,0.25,0.5714285714285714,0.01195219123505976,0.08571428571428572,0.03007518796992481,0.0975609756097561,0.1,0.06451612903225806,0.1875,0.25,0.08333333333333333,0.027522935779816515,0.06779661016949153,0.07142857142857142,0.2727272727272727,0.07407407407407407,0.3333333333333333,0.13793103448275862,0.5,0.23529411764705882,0.043478260869565216,0.36363636363636365,0.2,0.042105263157894736
mballeng91,0.005139500734214391,0.005,0.004424778761061947,0.0,0.0,0.010676156583629894,0.012875536480686695,0.0,0.0,0.008368200836820083,0.0,0.0,0.009554140127388535,0.004524886877828055,0.0,0.005405405405405406,0.009411764705882352,0.009478672985781991,0.0064516129032258064,0.0,0.0045871559633027525,0.004166666666666667,0.010416666666666666,0.0,0.005,0.007017543859649123,0.004219409282700422,0.018518518518518517,0.0,0.004310344827586207,0.0,0.009708737864077669,0.00546448087431694,0.005128205128205128,0.00904977375565611,0.005291005291005291,0.0,0.007352941176470588
bottom3,0.005653976630229929,0.048,0.12949640287769784,0.02830188679245283,0.010676156583629894,0.0,0.03184713375796178,0.0,0.02830188679245283,0.08441558441558442,0.027522935779816515,0.0,0.02100840336134454,0.05714285714285714,0.01834862385321101,0.037037037037037035,0.05341246290801187,0.09448818897637795,0.07692307692307693,0.09774436090225563,0.09848484848484848,0.0915032679738562,0.043478260869565216,0.03418803418803419,0.016,0.0979381443298969,0.07894736842105263,0.07352941176470588,0.026785714285714284,0.1357142857142857,0.018691588785046728,0.05511811023622047,0.03773584905660377,0.05172413793103448,0.07971014492753623,0.04504504504504504,0.041666666666666664,0.09289617486338798
srmedinac,0.006144393241167435,0.09210526315789473,0.05825242718446602,0.07017543859649122,0.012875536480686695,0.03184713375796178,0.0,0.0,0.05263157894736842,0.07272727272727272,0.05,0.0,0.0051813471502590676,0.13793103448275862,0.06896551724137931,0.10526315789473684,0.016611295681063124,0.034482758620689655,0.03278688524590164,0.05434782608695652,0.06666666666666667,0.04424778761061947,0.05970149253731343,0.09090909090909091,0.05405405405405406,0.05806451612903226,0.07476635514018691,0.07777777777777778,0.06451612903225806,0.057692307692307696,0.034482758620689655,0.0759493670886076,0.05172413793103448,0.10606060606060606,0.05263157894736842,0.09836065573770492,0.10144927536231885,0.055944055944055944
bottom2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.003968253968253968,0.027777777777777776,0.007407407407407408,0.0,0.0,0.015625,0.058823529411764705,0.0,0.0,0.00909090909090909,0.0,0.047619047619047616,0.0,0.017857142857142856,0.0,0.0,0.0,0.05263157894736842,0.021739130434782608,0.07692307692307693,0.0,0.010309278350515464
wapiravaguens,0.001170046801872075,0.07142857142857142,0.05660377358490566,0.6,0.0,0.02830188679245283,0.05263157894736842,0.0,0.0,0.047619047619047616,0.375,0.0,0.0070921985815602835,0.06818181818181818,0.25,0.375,0.01195219123505976,0.08571428571428572,0.022388059701492536,0.07142857142857142,0.07317073170731707,0.047619047619047616,0.1875,0.17647058823529413,0.08333333333333333,0.027522935779816515,0.05,0.07142857142857142,0.2727272727272727,0.05454545454545454,0.3333333333333333,0.1,0.5,0.16666666666666666,0.02127659574468085,0.25,0.14285714285714285,0.03125
bottom1,0.005747126436781609,0.14285714285714285,0.15151515151515152,0.06451612903225806,0.008368200836820083,0.08441558441558442,0.07272727272727272,0.015625,0.047619047619047616,0.0,0.03225806451612903,0.0,0.02252252252252252,0.1,0.03260869565217391,0.06666666666666667,0.0761904761904762,0.14953271028037382,0.11,0.21495327102803738,0.205607476635514,0.1984126984126984,0.061224489795918366,0.09375,0.04716981132075472,0.09444444444444444,0.1746031746031746,0.0743801652892562,0.05319148936170213,0.1721311475409836,0.02197802197802198,0.102803738317757,0.03296703296703297,0.09278350515463918,0.10833333333333334,0.0989010989010989,0.06862745098039216,0.16455696202531644
