,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,top2,sacastroc,pcberriop,hsmartineza,top4,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,jdsuarezj,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,top1,top3,gabi04,bottom1,bottom3,bottom2,fmbernalb,MogGy94,yocuervoc,bottom4
mnguzmanc,0.0,0.0,0.021333333333333333,0.012012012012012012,0.03614457831325301,0.017385705086928525,0.0,0.04956268221574344,0.05585106382978723,0.0681198910081744,0.07977207977207977,0.03664921465968586,0.011142061281337047,0.0,0.05491329479768786,0.0,0.025,0.02976190476190476,0.009375,0.07605633802816901,0.05521472392638037,0.034375,0.060209424083769635,0.05774278215223097,0.028409090909090908,0.029585798816568046,0.05405405405405406,0.020289855072463767,0.07692307692307693,0.0825242718446602,0.059490084985835696,0.0,0.0,0.0,0.0,0.0,0.0,0.024657534246575342
fffeelipe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
jmcuestasb,0.021333333333333333,0.0,0.0,0.060240963855421686,0.04395604395604396,0.006221914967162115,0.0,0.04716981132075472,0.08029197080291971,0.043795620437956206,0.04838709677419355,0.05,0.02702702702702703,0.0,0.05454545454545454,0.0,0.039473684210526314,0.05434782608695652,0.04225352112676056,0.047244094488188976,0.07954545454545454,0.09333333333333334,0.04,0.04054054054054054,0.08653846153846154,0.042105263157894736,0.07368421052631578,0.061855670103092786,0.05737704918032787,0.06486486486486487,0.06837606837606838,0.0,0.0,0.0,0.0,0.0,0.0,0.06837606837606838
katherinsb,0.012012012012012012,0.0,0.060240963855421686,0.0,0.0038977912516240795,0.037171717171717175,0.0,0.0034393809114359416,0.009365687526607066,0.004244482173174873,0.005555555555555556,0.008081667375584857,0.0034349506225848005,0.0,0.006021505376344086,0.0,0.002613240418118467,0.004329004329004329,0.0013077593722755014,0.007268063274903805,0.0038977912516240795,0.001738374619730552,0.0071972904318374255,0.006776789495976281,0.007330746011211729,0.0038910505836575876,0.005622837370242215,0.005185825410544511,0.007280513918629551,0.012128816394813885,0.005136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.003847798204360838
jjrodriguezn,0.03614457831325301,0.0,0.04395604395604396,0.0038977912516240795,0.0,0.005244755244755245,0.0,0.07142857142857142,0.05660377358490566,0.13829787234042554,0.36231884057971014,0.04716981132075472,0.04,0.0,0.42857142857142855,0.0,0.10256410256410256,0.08928571428571429,0.08571428571428572,0.18292682926829268,0.20408163265306123,0.2777777777777778,0.25,0.24210526315789474,0.04054054054054054,0.10526315789473684,0.24528301886792453,0.046875,0.1625,0.1103448275862069,0.08536585365853659,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256
DglyP,0.017385705086928525,0.0,0.006221914967162115,0.037171717171717175,0.005244755244755245,0.0,0.0,0.0038346825734980826,0.010130856901646263,0.008445945945945946,0.007636826474331778,0.006310475389145982,0.0021240441801189465,0.0,0.008112724167378309,0.0,0.0017241379310344827,0.0038576939562794685,0.0012953367875647669,0.010195412064570943,0.007751937984496124,0.004749568221070812,0.009671993271656855,0.007559848803023939,0.007692307692307693,0.005577005577005577,0.007728638900815801,0.006429489927132447,0.008496176720475786,0.015806988352745424,0.005942275042444821,0.0,0.0,0.0,0.0,0.0,0.0,0.005089058524173028
cap182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
top2,0.04956268221574344,0.0,0.04716981132075472,0.0034393809114359416,0.07142857142857142,0.0038346825734980826,0.0,0.0,0.104,0.22018348623853212,0.09090909090909091,0.0703125,0.0297029702970297,0.0,0.08163265306122448,0.0,0.11290322580645161,0.27941176470588236,0.04918032786885246,0.07894736842105263,0.0759493670886076,0.058823529411764705,0.08148148148148149,0.06666666666666667,0.05102040816326531,0.07228915662650602,0.12195121951219512,0.056818181818181816,0.11214953271028037,0.07471264367816093,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456
sacastroc,0.05585106382978723,0.0,0.08029197080291971,0.009365687526607066,0.05660377358490566,0.010130856901646263,0.0,0.104,0.0,0.08333333333333333,0.05925925925925926,0.1111111111111111,0.024193548387096774,0.0,0.11206896551724138,0.0,0.09523809523809523,0.0891089108910891,0.03571428571428571,0.09774436090225563,0.125,0.05555555555555555,0.12666666666666668,0.11333333333333333,0.13513513513513514,0.06666666666666667,0.13861386138613863,0.09433962264150944,0.109375,0.10526315789473684,0.08661417322834646,0.0,0.0,0.0,0.0,0.0,0.0,0.06153846153846154
pcberriop,0.0681198910081744,0.0,0.043795620437956206,0.004244482173174873,0.13829787234042554,0.008445945945945946,0.0,0.22018348623853212,0.08333333333333333,0.0,0.11643835616438356,0.13924050632911392,0.027972027972027972,0.0,0.12878787878787878,0.0,0.06666666666666667,0.18181818181818182,0.028846153846153848,0.1773049645390071,0.13274336283185842,0.10576923076923077,0.14545454545454545,0.1910828025477707,0.03546099290780142,0.056,0.17391304347826086,0.046153846153846156,0.1095890410958904,0.14427860696517414,0.0896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.05333333333333334
