,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,falperezgo,top5,bottom5,top1,gcantem,Semoralesga,top2,top3,stevenbustos,jufcontrerasco,dsbarrerag,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,gfalbarracinr,aldiazve,diegoaguevarar,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,top4,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
adamantwharf,0.0,0.04918032786885246,0.08333333333333333,0.0,0.75,0.03488372093023256,0.0,0.0014977533699450823,0.046153846153846156,0.07317073170731707,0.0009646302250803858,0.017543859649122806,0.0013100436681222707,0.023622047244094488,0.0,0.09090909090909091,0.031578947368421054,0.05263157894736842,0.012711864406779662,0.025423728813559324,0.012605042016806723,0.0,0.5,0.04411764705882353,0.02830188679245283,0.0006647462884998893,0.021897810218978103,0.05357142857142857,0.02,0.05405405405405406,0.375,0.0,0.01195219123505976,0.05,0.01048951048951049,0.008695652173913044,0.024,0.0,0.0,0.08333333333333333
gasierram,0.04918032786885246,0.0,0.515625,0.0,0.06557377049180328,0.072992700729927,0.12903225806451613,0.006338371526084837,0.24752475247524752,0.12087912087912088,0.008908685968819599,0.11538461538461539,0.013362068965517242,0.15337423312883436,0.004632693580410324,0.10810810810810811,0.3333333333333333,0.08256880733944955,0.08394160583941605,0.08484848484848485,0.04912280701754386,0.0,0.046875,0.34375,0.07051282051282051,0.003950834064969272,0.38461538461538464,0.20618556701030927,0.36129032258064514,0.24358974358974358,0.06153846153846154,0.0,0.043478260869565216,0.32967032967032966,0.08099688473520249,0.16,0.4307692307692308,0.0,0.0,0.2125
bdcajicam,0.08333333333333333,0.515625,0.0,0.0,0.08108108108108109,0.042735042735042736,0.022727272727272728,0.004433497536945813,0.21686746987951808,0.11594202898550725,0.006397952655150352,0.08947368421052632,0.0073624945864010395,0.09395973154362416,0.00166333998669328,0.11764705882352941,0.27184466019417475,0.08139534883720931,0.058365758754863814,0.047619047619047616,0.022388059701492536,0.0,0.07692307692307693,0.2839506172839506,0.0364963503649635,0.002203128442388191,0.2357142857142857,0.19480519480519481,0.21568627450980393,0.2,0.07317073170731707,0.0,0.02867383512544803,0.2,0.045454545454545456,0.09482758620689655,0.2578125,0.0,0.0,0.2857142857142857
bottom4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
dfhincapiem,0.75,0.06557377049180328,0.08108108108108109,0.0,0.0,0.034482758620689655,0.0,0.0014970059880239522,0.045454545454545456,0.07142857142857142,0.0009643201542912247,0.01744186046511628,0.0017467248908296944,0.0234375,0.0,0.08695652173913043,0.03125,0.05172413793103448,0.01694915254237288,0.025210084033613446,0.01680672268907563,0.0,0.42857142857142855,0.043478260869565216,0.028037383177570093,0.000664599025254763,0.021739130434782608,0.05263157894736842,0.019867549668874173,0.05263157894736842,0.3333333333333333,0.0,0.011904761904761904,0.04918032786885246,0.010452961672473868,0.008670520231213872,0.023809523809523808,0.0,0.0,0.08108108108108109
helmeraac,0.03488372093023256,0.072992700729927,0.042735042735042736,0.0,0.034482758620689655,0.0,0.040268456375838924,0.014157621519584709,0.07106598984771574,0.03314917127071823,0.016229712858926344,0.11228070175438597,0.022670025188916875,0.10080645161290322,0.016612377850162865,0.07051282051282051,0.05240174672489083,0.0855614973262032,0.06406685236768803,0.12340425531914893,0.04065040650406504,0.0,0.020134228187919462,0.07537688442211055,0.125,0.006698357821953328,0.33490566037735847,0.041237113402061855,0.32142857142857145,0.08982035928143713,0.019867549668874173,0.0,0.033854166666666664,0.09574468085106383,0.08,0.16904761904761906,0.3482587064676617,0.0,0.0,0.04597701149425287
dasalgadob,0.0,0.12903225806451613,0.022727272727272728,0.0,0.0,0.040268456375838924,0.0,0.0004972650422675286,0.027777777777777776,0.0,0.0012841091492776886,0.011235955056179775,0.002179598953792502,0.03816793893129771,0.0013422818791946308,0.034482758620689655,0.050505050505050504,0.015384615384615385,0.004098360655737705,0.058333333333333334,0.02066115702479339,0.0,0.0,0.02666666666666667,0.05504587155963303,0.0004424778761061947,0.06569343065693431,0.0,0.06,0.046511627906976744,0.0,0.0,0.015625,0.09523809523809523,0.020761245674740483,0.02608695652173913,0.072,0.0,0.0,0.046511627906976744
falperezgo,0.0014977533699450823,0.006338371526084837,0.004433497536945813,0.0,0.0014970059880239522,0.014157621519584709,0.0004972650422675286,0.0,0.005332040717401842,0.0034263338228095936,0.027086677367576244,0.015843429636533086,0.019203413940256046,0.019570405727923627,0.02509255450431921,0.006944444444444444,0.0057361376673040155,0.008296730112249878,0.02464628023733455,0.012857142857142857,0.026496116948378255,0.0,0.0014910536779324055,0.0072744907856450046,0.013416387158600862,0.03016900963512873,0.016579819990525817,0.004377431906614786,0.015044663845792195,0.0063976377952755905,0.0014895729890764648,0.0,0.034324942791762014,0.007302823758519961,0.016836508639787327,0.03290917068889864,0.014740846409890632,0.0,0.0,0.0063976377952755905
top5,0.046153846153846156,0.24752475247524752,0.21686746987951808,0.0,0.045454545454545456,0.07106598984771574,0.027777777777777776,0.005332040717401842,0.0,0.09278350515463918,0.009860050890585241,0.1291866028708134,0.011597938144329897,0.10344827586206896,0.002638522427440633,0.08860759493670886,0.11888111888111888,0.07964601769911504,0.09057971014492754,0.08284023668639054,0.030612244897959183,0.0,0.04411764705882353,0.25471698113207547,0.062111801242236024,0.0037272527954395965,0.14124293785310735,0.19801980198019803,0.13756613756613756,0.20238095238095238,0.057971014492753624,0.0,0.039473684210526314,0.25,0.08,0.07329842931937172,0.14457831325301204,0.0,0.0,0.24691358024691357
bottom5,0.07317073170731707,0.12087912087912088,0.11594202898550725,0.0,0.07142857142857142,0.03314917127071823,0.0,0.0034263338228095936,0.09278350515463918,0.0,0.003822873526600828,0.06,0.00517464424320828,0.07006369426751592,0.0009956853634251576,0.05084745762711865,0.088,0.07692307692307693,0.05725190839694656,0.07432432432432433,0.02197802197802198,0.0,0.06818181818181818,0.11224489795918367,0.035211267605633804,0.002421307506053269,0.0658682634730539,0.1411764705882353,0.07303370786516854,0.08450704225352113,0.06521739130434782,0.0,0.02456140350877193,0.1348314606741573,0.0380952380952381,0.029333333333333333,0.07096774193548387,0.0,0.0,0.1
