,bdvegat,jusherrerama,Phoenixest,HashNick,ccvacad,joaortizro,top4,mdbelloc,diegocruz10,bottom5,sagilm,idrojasf,raulramirezp,fabianr23,jhriverasa,jhonsd1996,JuanitoAli,Davsatu313,top5,jjmuesesq,jucjimenezmo,kancas,top2,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,top3,luealfonsoru,oserasoa,lsfinite,top1,bottom1,bottom2,bottom3
bdvegat,0.0,0.003889158969372873,0.0024319066147859923,0.015482695810564663,0.010921177587844255,0.004356243949661181,0.01848512173128945,0.006682577565632458,0.007142857142857143,0.0,0.0038666022232962784,0.03110419906687403,0.029385574354407838,0.01586582048957389,0.009877704609595485,0.0019445794846864365,0.027121001390820583,0.006240998559769563,0.02050113895216401,0.0029069767441860465,0.008583690987124463,0.007684918347742555,0.00861656294877932,0.010387157695939566,0.000964785335262904,0.004352030947775629,0.006766553890768487,0.0033832769453842437,0.005314009661835749,0.0038443056222969728,0.016681299385425813,0.02809917355371901,0.0146295422369042,0.015065913370998116,0.013731060606060606,0.007670182166826462,0.041396959205178385,0.02696629213483146,0.0,0.00436046511627907,0.006277160791887977
jusherrerama,0.003889158969372873,0.0,0.125,0.0425531914893617,0.07954545454545454,0.17142857142857143,0.046511627906976744,0.08695652173913043,0.08,0.0,0.075,0.008156606851549755,0.045112781954887216,0.045454545454545456,0.046296296296296294,0.125,0.0029288702928870294,0.14814814814814814,0.035175879396984924,0.2,0.08,0.12280701754385964,0.08955223880597014,0.0707070707070707,0.0,0.10256410256410256,0.16666666666666666,0.07692307692307693,0.2702702702702703,0.14583333333333334,0.018050541516245487,0.013392857142857142,0.08411214953271028,0.08928571428571429,0.08080808080808081,0.11475409836065574,0.0018461538461538461,0.02032520325203252,0.0,0.11428571428571428,0.06382978723404255
Phoenixest,0.0024319066147859923,0.125,0.0,0.017045454545454544,0.04,0.14285714285714285,0.014634146341463415,0.05454545454545454,0.04918032786885246,0.0,0.13043478260869565,0.00333889816360601,0.01556420233463035,0.016042780748663103,0.03225806451612903,0.42857142857142855,0.0012620950778291964,0.07142857142857142,0.016129032258064516,0.1875,0.04918032786885246,0.06818181818181818,0.05660377358490566,0.03488372093023256,0.0,0.13043478260869565,0.10344827586206896,0.13636363636363635,0.1111111111111111,0.08571428571428572,0.011450381679389313,0.009237875288683603,0.03125,0.029411764705882353,0.034482758620689655,0.0625,0.0006167763157894736,0.012987012987012988,0.0,0.15789473684210525,0.1
HashNick,0.015482695810564663,0.0425531914893617,0.017045454545454544,0.0,0.07391304347826087,0.04891304347826087,0.08333333333333333,0.0966183574879227,0.08878504672897196,0.0,0.08333333333333333,0.02257636122177955,0.06435643564356436,0.0621301775147929,0.04330708661417323,0.017045454545454544,0.01070578905630452,0.07,0.08814589665653495,0.016216216216216217,0.08878504672897196,0.08,0.10294117647058823,0.08403361344537816,0.0,0.031746031746031744,0.05789473684210526,0.0374331550802139,0.05291005291005291,0.13736263736263737,0.10714285714285714,0.046632124352331605,0.16521739130434782,0.10483870967741936,0.12121212121212122,0.1,0.010230692076228686,0.0549738219895288,0.0,0.04371584699453552,0.041237113402061855
ccvacad,0.010921177587844255,0.07954545454545454,0.04,0.07391304347826087,0.0,0.09183673469387756,0.07380073800738007,0.19491525423728814,0.176,0.0,0.14736842105263157,0.0103397341211226,0.05846153846153846,0.06640625,0.09815950920245399,0.0449438202247191,0.0057166190281747655,0.10344827586206896,0.05426356589147287,0.0625,0.15748031496062992,0.1926605504587156,0.15833333333333333,0.10967741935483871,0.0,0.12371134020618557,0.09523809523809523,0.038461538461538464,0.0660377358490566,0.1523809523809524,0.1189710610932476,0.04,0.1518987341772152,0.16770186335403728,0.1610738255033557,0.2072072072072072,0.005280259951259139,0.03257328990228013,0.0,0.08247422680412371,0.11538461538461539
joaortizro,0.004356243949661181,0.17142857142857143,0.14285714285714285,0.04891304347826087,0.09183673469387756,0.0,0.052132701421800945,0.14285714285714285,0.13043478260869565,0.0,0.1111111111111111,0.004901960784313725,0.03773584905660377,0.04081632653061224,0.0891089108910891,0.2,0.002932551319648094,0.20408163265306123,0.025252525252525252,0.2222222222222222,0.09859154929577464,0.17307692307692307,0.12903225806451613,0.09574468085106383,0.0,0.21212121212121213,0.24324324324324326,0.11428571428571428,0.2222222222222222,0.2682926829268293,0.03333333333333333,0.015765765765765764,0.056074766355140186,0.10185185185185185,0.09473684210526316,0.2037037037037037,0.001436192039392696,0.03333333333333333,0.0,0.2413793103448276,0.14634146341463414
top4,0.01848512173128945,0.046511627906976744,0.014634146341463415,0.08333333333333333,0.07380073800738007,0.052132701421800945,0.0,0.14798206278026907,0.14912280701754385,0.0,0.051643192488262914,0.021739130434782608,0.07746478873239436,0.0807799442896936,0.05,0.0196078431372549,0.014960629921259842,0.0611353711790393,0.10256410256410256,0.02358490566037736,0.15418502202643172,0.07929515418502203,0.08085106382978724,0.0830188679245283,0.0,0.04672897196261682,0.06481481481481481,0.027649769585253458,0.05069124423963134,0.05357142857142857,0.11031175059952038,0.029173419773095625,0.0959409594095941,0.16988416988416988,0.14285714285714285,0.10176991150442478,0.008964143426294821,0.05365853658536585,0.0,0.047619047619047616,0.04524886877828054
mdbelloc,0.006682577565632458,0.08695652173913043,0.05454545454545454,0.0966183574879227,0.19491525423728814,0.14285714285714285,0.14798206278026907,0.0,0.696969696969697,0.0,0.2982456140350877,0.007763975155279503,0.05460750853242321,0.05309734513274336,0.06666666666666667,0.05454545454545454,0.005383022774327122,0.14814814814814814,0.10232558139534884,0.08064516129032258,0.5555555555555556,0.28378378378378377,0.13043478260869565,0.096,0.0,0.13846153846153847,0.1267605633802817,0.04285714285714286,0.11428571428571428,0.2463768115942029,0.17228464419475656,0.04525862068965517,0.1951219512195122,0.3783783783783784,0.45263157894736844,0.39436619718309857,0.003880718954248366,0.029197080291970802,0.0,0.09375,0.0945945945945946
diegocruz10,0.007142857142857143,0.08,0.04918032786885246,0.08878504672897196,0.176,0.13043478260869565,0.14912280701754385,0.696969696969697,0.0,0.0,0.3114754098360656,0.009244992295839754,0.05704697986577181,0.05627705627705628,0.06382978723404255,0.04918032786885246,0.0062009094667217855,0.16470588235294117,0.0945945945945946,0.07352941176470588,0.5324675324675324,0.2625,0.13402061855670103,0.1,0.0,0.1267605633802817,0.11688311688311688,0.039473684210526314,0.10526315789473684,0.22666666666666666,0.2037735849056604,0.04025423728813559,0.1953125,0.3706896551724138,0.5824175824175825,0.4583333333333333,0.0044907123902837316,0.03225806451612903,0.0,0.08571428571428572,0.10126582278481013
bottom5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
