,top3,lemartinp,nfmorenog,AFelipeGA,bottom3,dduartec,srmedinac,bottom1,wapiravaguens,davidh17,DianaNavarrete,jdmonroyg,jorge52an,top2,juclopezso,afforeroc,dagofonseca,top4,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,bottom4,kgbayala528,lgmoralesa,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,bottom2,DavidQP,afceballosr,lizzyt10h,top1,jumcorredorro
top3,0.0,0.005436893203883495,0.006920415224913495,0.0015582391897156214,0.005124450951683748,0.005645464809936018,0.005751533742331288,0.00038925652004671076,0.0011682242990654205,0.007587253414264037,0.0015564202334630351,0.0,0.014229811454998222,0.014417744916820702,0.0038669760247486465,0.001946282600233554,0.01254930082466834,0.011419870574800152,0.007073715562174236,0.003429878048780488,0.02358362699918677,0.029589934762348554,0.003472222222222222,0.003105590062111801,0.0015473887814313346,0.007912584777694047,0.004182509505703422,0.00677710843373494,0.001937984496124031,0.005370157268891446,0.0034897246994959287,0.004640371229698376,0.0011677695601401323,0.008039816232771823,0.004626060138781804,0.0027226760015558148,0.023982328810350267,0.012597258243793997
lemartinp,0.005436893203883495,0.0,0.16417910447761194,0.1111111111111111,0.004901960784313725,0.048,0.09333333333333334,0.0,0.07142857142857142,0.10576923076923077,0.06451612903225806,0.0,0.026490066225165563,0.0797872340425532,0.1,0.13793103448275862,0.05204460966542751,0.08411214953271028,0.0718954248366013,0.09523809523809523,0.0026010404161664665,0.006970509383378016,0.1111111111111111,0.16216216216216217,0.09090909090909091,0.08943089430894309,0.12359550561797752,0.064,0.07317073170731707,0.14285714285714285,0.20512820512820512,0.2127659574468085,0.10714285714285714,0.16455696202531644,0.14035087719298245,0.12121212121212122,0.023255813953488372,0.06077348066298342
nfmorenog,0.006920415224913495,0.16417910447761194,0.0,0.07692307692307693,0.004347826086956522,0.12949640287769784,0.058823529411764705,0.018518518518518517,0.05660377358490566,0.128,0.05357142857142857,0.0,0.02127659574468085,0.05045871559633028,0.15714285714285714,0.09259259259259259,0.061855670103092786,0.12698412698412698,0.14457831325301204,0.12380952380952381,0.003386454183266932,0.010615711252653927,0.13157894736842105,0.09523809523809523,0.05714285714285714,0.17647058823529413,0.13513513513513514,0.06711409395973154,0.06060606060606061,0.24705882352941178,0.140625,0.136986301369863,0.05555555555555555,0.09259259259259259,0.1518987341772152,0.10526315789473684,0.039886039886039885,0.09
AFelipeGA,0.0015582391897156214,0.1111111111111111,0.07692307692307693,0.0,0.0,0.02830188679245283,0.07142857142857142,0.0,0.6,0.0449438202247191,0.375,0.0,0.003484320557491289,0.022598870056497175,0.1,0.5714285714285714,0.011627906976744186,0.03296703296703297,0.028985507246376812,0.04477611940298507,0.0008024072216649949,0.0021598272138228943,0.08571428571428572,0.23529411764705882,0.08333333333333333,0.027522935779816515,0.05405405405405406,0.027777777777777776,0.15789473684210525,0.07407407407407407,0.19047619047619047,0.12903225806451613,0.5,0.06060606060606061,0.10256410256410256,0.36363636363636365,0.0058997050147492625,0.024096385542168676
bottom3,0.005124450951683748,0.004901960784313725,0.004347826086956522,0.0,0.0,0.010676156583629894,0.01293103448275862,0.0055248618784530384,0.0,0.011320754716981131,0.0,0.0,0.010917030567685589,0.011363636363636364,0.0,0.005405405405405406,0.01160092807424594,0.011278195488721804,0.006349206349206349,0.00823045267489712,0.004864759680871765,0.005445544554455445,0.009478672985781991,0.0,0.005,0.007017543859649123,0.003968253968253968,0.014184397163120567,0.0,0.004310344827586207,0.0,0.009615384615384616,0.00546448087431694,0.00823045267489712,0.004608294930875576,0.005291005291005291,0.013002364066193853,0.014705882352941176
dduartec,0.005645464809936018,0.048,0.12949640287769784,0.02830188679245283,0.010676156583629894,0.0,0.004616030214015947,0.0008550662676357417,0.0012825994014536127,0.009987515605493134,0.0012809564474807857,0.0,0.017462165308498253,0.015751211631663976,0.003391267486222976,0.0017086715079026058,0.015655577299412915,0.019311502938706968,0.012264922322158627,0.006278777731268313,0.015391014975041598,0.018721128130318503,0.006364022061943148,0.002981260647359455,0.0008481764206955047,0.013256006628003313,0.006257822277847309,0.009079653322327692,0.0012749681257968552,0.011416490486257928,0.0016985138004246285,0.0055178268251273345,0.0017101325352714834,0.007121910347716799,0.006350550381033023,0.0029888983774551663,0.02759795570698467,0.019543973941368076
srmedinac,0.005751533742331288,0.09333333333333334,0.058823529411764705,0.07142857142857142,0.01293103448275862,0.004616030214015947,0.0,0.017241379310344827,0.05263157894736842,0.0661764705882353,0.05,0.0,0.008902077151335312,0.05909090909090909,0.0625,0.10526315789473684,0.016233766233766232,0.028169014084507043,0.031914893617021274,0.03389830508474576,0.0027849612094688683,0.004739336492890996,0.046511627906976744,0.08955223880597014,0.05405405405405406,0.05806451612903226,0.06557377049180328,0.05161290322580645,0.05714285714285714,0.057692307692307696,0.11594202898550725,0.07407407407407407,0.05172413793103448,0.07017543859649122,0.07954545454545454,0.09836065573770492,0.022284122562674095,0.04225352112676056
bottom1,0.00038925652004671076,0.0,0.018518518518518517,0.0,0.0055248618784530384,0.0008550662676357417,0.017241379310344827,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.00558659217877095,0.0,0.1111111111111111,0.007751937984496124,0.010869565217391304,0.007142857142857143,0.0,0.00020052135552436334,0.0005393743257820927,0.027777777777777776,0.0,0.0,0.00909090909090909,0.0,0.018518518518518517,0.0,0.017857142857142856,0.0,0.0,0.0,0.029850746268656716,0.024390243902439025,0.07692307692307693,0.0029455081001472753,0.005952380952380952
wapiravaguens,0.0011682242990654205,0.07142857142857142,0.05660377358490566,0.6,0.0,0.0012825994014536127,0.05263157894736842,0.0,0.0,0.03333333333333333,0.375,0.0,0.003484320557491289,0.016853932584269662,0.1,0.375,0.011627906976744186,0.03296703296703297,0.02158273381294964,0.04477611940298507,0.0006016847172081829,0.0016189962223421479,0.08571428571428572,0.16666666666666666,0.08333333333333333,0.027522935779816515,0.04,0.027777777777777776,0.15789473684210525,0.05454545454545454,0.13636363636363635,0.09375,0.5,0.04477611940298507,0.075,0.25,0.004418262150220913,0.017964071856287425
davidh17,0.007587253414264037,0.10576923076923077,0.128,0.0449438202247191,0.011320754716981131,0.009987515605493134,0.0661764705882353,0.01098901098901099,0.03333333333333333,0.0,0.03260869565217391,0.0,0.019178082191780823,0.09053497942386832,0.10377358490566038,0.06741573033707865,0.078125,0.14102564102564102,0.10784313725490197,0.14925373134328357,0.00535077288941736,0.016238868517548456,0.08928571428571429,0.09375,0.047619047619047616,0.09497206703910614,0.18248175182481752,0.08333333333333333,0.04950495049504951,0.17355371900826447,0.07920792079207921,0.11214953271028037,0.03333333333333333,0.08450704225352113,0.14414414414414414,0.1,0.037940379403794036,0.1091703056768559
