,user1,similarity,group,phase,count,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
0,mnguzmanc,0.056,0,1,8.0,2.0,1.0,3.0,2.0
1,DglyP,0.016,0,1,11.0,1.0,3.0,4.0,3.0
2,Judgarciani,0.02877697841726619,0,1,7.0,3.0,3.0,4.0,2.0
3,sacastroc,0.056910569105691054,0,1,1.0,1.0,2.0,4.0,2.0
4,pcberriop,0.04666666666666667,0,1,2.0,0.0,1.0,3.0,2.0
5,hsmartineza,0.14960629921259844,0,1,2.0,0.0,1.0,3.0,2.0
6,Moimolcp,0.0728476821192053,0,1,2.0,1.0,1.0,5.0,1.0
7,JoseMolano,0.024390243902439025,0,1,1.0,1.0,5.0,4.0,4.0
8,NicolasZon,0.05426356589147287,0,1,2.0,3.0,3.0,3.0,1.0
9,camilo654,0.024193548387096774,0,1,1.0,0.0,1.0,4.0,2.0
10,CristianLozano,0.024390243902439025,0,1,1.0,,,,
11,jdsuarezj,0.06015037593984962,0,1,8.0,1.0,3.0,3.0,2.0
12,pipemax85,0.152,0,1,1.0,1.0,3.0,5.0,2.0
13,juandavidro,0.968503937007874,0,1,1.0,1.0,2.0,2.0,2.0
14,UNhcrodriguezl,0.03496503496503497,0,1,1.0,3.0,3.0,5.0,3.0
15,camilo13152,0.015503875968992248,0,1,2.0,3.0,5.0,5.0,2.0
16,leavendanoro,0.0546875,0,1,1.0,0.0,1.0,4.0,1.0
17,cdcordobaa,0.044444444444444446,0,1,1.0,2.0,4.0,5.0,2.0
18,capinillab,0.04,0,1,1.0,0.0,0.0,0.0,0.0
19,lfvalderrama,0.10144927536231885,0,1,1.0,0.0,3.0,5.0,2.0
20,bsgarciac,0.05194805194805195,0,1,4.0,0.0,3.0,4.0,2.0
21,odprietoh,0.054945054945054944,0,1,,4.0,4.0,5.0,2.0
22,mnguzmanc,0.16831683168316833,0,2,8.0,2.0,1.0,3.0,2.0
23,jmcuestasb,0.07954545454545454,0,2,1.0,1.0,3.0,4.0,2.0
24,jjrodriguezn,0.04411764705882353,0,2,1.0,2.0,2.0,3.0,1.0
25,DglyP,0.08088235294117647,0,2,11.0,1.0,3.0,4.0,3.0
26,Judgarciani,0.08450704225352113,0,2,7.0,3.0,3.0,4.0,2.0
27,sacastroc,0.13013698630136986,0,2,1.0,1.0,2.0,4.0,2.0
28,pcberriop,0.12101910828025478,0,2,2.0,0.0,1.0,3.0,2.0
29,hsmartineza,0.18796992481203006,0,2,2.0,0.0,1.0,3.0,2.0
30,Moimolcp,0.0728476821192053,0,2,2.0,1.0,1.0,5.0,1.0
