,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
0,odprietoh,yocuervoc,1,2,0.0,1,0,0.0,1.0,5.0,2.0,0.0
1,gabi04,katherinsb,1,2,0.0,1,0,1.0,2.0,4.0,2.0,0.0
2,gabi04,fmbernalb,1,2,0.0,1,0,1.0,2.0,2.0,1.0,0.0
3,gabi04,jcneivaa,1,2,0.0,1,0,0.0,0.0,4.0,2.0,0.0
4,gabi04,jdsolanos,1,2,0.0,1,0,1.0,1.0,5.0,2.0,0.0
5,gabi04,annipi,1,2,0.0,1,0,1.0,0.0,4.0,2.0,0.0
6,gabi04,juanescai,1,2,0.0,1,0,1.0,2.0,5.0,2.0,1.0
7,gabi04,cap182,1,2,0.0,1,0,0.0,1.0,4.0,2.0,0.0
8,CamiloRueda,odprietoh,1,2,0.0,1,0,4.0,4.0,5.0,2.0,0.0
9,gabi04,MogGy94,1,2,0.0,1,0,3.0,3.0,4.0,0.0,0.0
10,janoguerab,maikellPardoA,1,2,0.25,1,0,3.0,3.0,3.0,2.0,1.0
11,pcberriop,JoseMolano,1,2,0.3584905660377359,1,0,1.0,5.0,4.0,4.0,1.0
12,pcberriop,jdsuarezj,1,2,0.5,1,0,1.0,3.0,3.0,2.0,2.0
13,pcberriop,UNhcrodriguezl,1,2,0.5609756097560976,1,0,3.0,3.0,5.0,3.0,1.0
14,hsmartineza,capinillab,1,2,0.5666666666666667,1,0,0.0,0.0,0.0,0.0,1.0
15,hsmartineza,pcberriop,1,2,0.6086956521739131,1,0,0.0,1.0,3.0,2.0,1.0
16,hsmartineza,mnguzmanc,1,2,0.6285714285714286,1,0,2.0,1.0,3.0,2.0,4.0
17,pcberriop,hsmartineza,1,2,0.6363636363636364,1,0,0.0,1.0,3.0,2.0,3.0
18,sacastroc,pipemax85,1,2,0.6818181818181819,1,0,1.0,3.0,5.0,2.0,1.0
19,Judgarciani,Moimolcp,1,2,0.6833333333333333,1,0,1.0,1.0,5.0,1.0,2.0
20,jdsuarezj,NicolasZon,1,2,0.6956521739130435,1,0,3.0,3.0,3.0,1.0,2.0
21,pcberriop,juandavidro,1,2,0.7054263565891472,1,0,1.0,2.0,2.0,2.0,1.0
22,pcberriop,bsgarciac,1,2,0.75,1,0,0.0,3.0,4.0,2.0,1.0
23,UNhcrodriguezl,cdcordobaa,1,2,0.7608695652173914,1,0,2.0,4.0,5.0,2.0,1.0
24,hsmartineza,lfvalderrama,1,2,0.7647058823529411,1,0,0.0,3.0,5.0,2.0,2.0
25,pipemax85,sacastroc,1,2,0.7884615384615384,1,0,1.0,2.0,4.0,2.0,3.0
26,Moimolcp,Judgarciani,1,2,0.797979797979798,1,0,3.0,3.0,4.0,2.0,4.0
27,jdsuarezj,DglyP,1,2,0.8,1,0,1.0,3.0,4.0,3.0,5.0
28,jdsuarezj,jjrodriguezn,1,2,0.8064516129032258,1,0,2.0,2.0,3.0,1.0,1.0
29,pipemax85,fffeelipe,1,2,0.813953488372093,1,0,1.0,0.0,5.0,3.0,1.0
30,NicolasZon,gabi04,1,2,0.8260869565217391,1,0,0.0,0.0,5.0,2.0,4.0
31,janoguerab,camilo654,1,2,0.8333333333333334,1,0,0.0,1.0,4.0,2.0,1.0
32,capinillab,leavendanoro,1,2,0.84,1,0,0.0,1.0,4.0,1.0,5.0
33,leavendanoro,janoguerab,1,2,0.8571428571428572,1,0,3.0,3.0,4.0,2.0,1.0
34,JoseMolano,camilo13152,1,2,0.8666666666666667,1,0,3.0,5.0,5.0,2.0,5.0
35,leavendanoro,jmcuestasb,1,2,0.8873239436619719,1,0,1.0,3.0,4.0,2.0,6.0
36,janoguerab,CamiloRueda,1,2,0.9361702127659575,1,0,3.0,3.0,6.0,1.0,3.0
37,odprietoh,yocuervoc,2,3,0.0,2,0,0.0,1.0,5.0,2.0,0.0
38,jcneivaa,katherinsb,2,3,0.0,2,0,1.0,2.0,4.0,2.0,1.0
39,jcneivaa,juanescai,2,3,0.0,2,0,1.0,2.0,5.0,2.0,1.0
40,jcneivaa,annipi,2,3,0.0,2,0,1.0,0.0,4.0,2.0,0.0
41,jcneivaa,jdsolanos,2,3,0.0,2,0,1.0,1.0,5.0,2.0,0.0
42,jcneivaa,fmbernalb,2,3,0.0,2,0,1.0,2.0,2.0,1.0,0.0
43,jcneivaa,MogGy94,2,3,0.0,2,0,3.0,3.0,4.0,0.0,0.0
44,katherinsb,cap182,2,3,0.0,2,0,0.0,1.0,4.0,2.0,0.0
45,juanescai,odprietoh,2,3,0.0,2,0,4.0,4.0,5.0,2.0,0.0
46,juanescai,jcneivaa,2,3,0.0,2,0,0.0,0.0,4.0,2.0,0.0
47,JoseMolano,pcberriop,2,3,0.37037037037037035,2,0,0.0,1.0,3.0,2.0,4.0
48,pcberriop,JoseMolano,2,3,0.3928571428571429,2,0,1.0,5.0,4.0,4.0,1.0
49,capinillab,juandavidro,2,3,0.4782608695652174,2,0,1.0,2.0,2.0,2.0,1.0
50,JoseMolano,hsmartineza,2,3,0.5,2,0,0.0,1.0,3.0,2.0,4.0
51,mnguzmanc,capinillab,2,3,0.5,2,0,0.0,0.0,0.0,0.0,0.0
52,JoseMolano,camilo13152,2,3,0.5189873417721519,2,0,3.0,5.0,5.0,2.0,4.0
53,JoseMolano,jjrodriguezn,2,3,0.52,2,0,2.0,2.0,3.0,1.0,3.0
54,JoseMolano,UNhcrodriguezl,2,3,0.5833333333333333,2,0,3.0,3.0,5.0,3.0,6.0
55,CristianLozano,maikellPardoA,2,3,0.625,2,0,3.0,3.0,3.0,2.0,1.0
56,capinillab,pipemax85,2,3,0.6285714285714286,2,0,1.0,3.0,5.0,2.0,1.0
57,pcberriop,jdsuarezj,2,3,0.6625,2,0,1.0,3.0,3.0,2.0,8.0
58,jjrodriguezn,camilo654,2,3,0.6785714285714286,2,0,0.0,1.0,4.0,2.0,1.0
59,camilo654,DglyP,2,3,0.6875,2,0,1.0,3.0,4.0,3.0,3.0
60,hsmartineza,lfvalderrama,2,3,0.7297297297297297,2,0,0.0,3.0,5.0,2.0,1.0
61,camilo654,fffeelipe,2,3,0.736842105263158,2,0,1.0,0.0,5.0,3.0,1.0
62,maikellPardoA,NicolasZon,2,3,0.7692307692307692,2,0,3.0,3.0,3.0,1.0,0.0
63,DglyP,cdcordobaa,2,3,0.8085106382978724,2,0,2.0,4.0,5.0,2.0,1.0
64,hsmartineza,bsgarciac,2,3,0.8157894736842105,2,0,0.0,3.0,4.0,2.0,3.0
65,capinillab,sacastroc,2,3,0.8205128205128205,2,0,1.0,2.0,4.0,2.0,9.0
66,Judgarciani,Moimolcp,2,3,0.8382352941176471,2,0,1.0,1.0,5.0,1.0,3.0
67,Moimolcp,Judgarciani,2,3,0.868421052631579,2,0,3.0,3.0,4.0,2.0,8.0
68,NicolasZon,gabi04,2,3,0.8709677419354839,2,0,0.0,0.0,5.0,2.0,1.0
69,NicolasZon,janoguerab,2,3,0.8837209302325582,2,0,3.0,3.0,4.0,2.0,0.0
70,janoguerab,leavendanoro,2,3,0.8852459016393442,2,0,0.0,1.0,4.0,1.0,6.0
71,fffeelipe,jmcuestasb,2,3,0.8977272727272727,2,0,1.0,3.0,4.0,2.0,2.0
72,maikellPardoA,CamiloRueda,2,3,0.9375,2,0,3.0,3.0,6.0,1.0,0.0
73,juandavidro,mnguzmanc,2,3,0.9778534923339012,2,0,2.0,1.0,3.0,2.0,12.0
74,odprietoh,yocuervoc,3,4,0.0,3,0,0.0,1.0,5.0,2.0,0.0
75,jcneivaa,odprietoh,3,4,0.0,3,0,4.0,4.0,5.0,2.0,0.0
76,jcneivaa,cap182,3,4,0.0,3,0,0.0,1.0,4.0,2.0,0.0
77,katherinsb,annipi,3,4,0.0,3,0,1.0,0.0,4.0,2.0,0.0
78,jcneivaa,jdsolanos,3,4,0.0,3,0,1.0,1.0,5.0,2.0,0.0
79,jcneivaa,fmbernalb,3,4,0.0,3,0,1.0,2.0,2.0,1.0,0.0
80,jcneivaa,MogGy94,3,4,0.0,3,0,3.0,3.0,4.0,0.0,0.0
81,fmbernalb,juanescai,3,4,0.0,3,0,1.0,2.0,5.0,2.0,1.0
82,fmbernalb,jcneivaa,3,4,0.0,3,0,0.0,0.0,4.0,2.0,0.0
83,mnguzmanc,DglyP,3,4,0.21458478715980456,3,0,1.0,3.0,4.0,3.0,1.0
84,pcberriop,JoseMolano,3,4,0.3928571428571429,3,0,1.0,5.0,4.0,4.0,1.0
85,pcberriop,capinillab,3,4,0.41666666666666663,3,0,0.0,0.0,0.0,0.0,1.0
86,capinillab,juandavidro,3,4,0.4782608695652174,3,0,1.0,2.0,2.0,2.0,1.0
87,hsmartineza,jjrodriguezn,3,4,0.5454545454545454,3,0,2.0,2.0,3.0,1.0,0.0
