,Student,group,abs_perform_diff_best,phase
0,fffeelipe,0,201.65999999999997,1
1,mnguzmanc,0,213.32999999999998,1
2,jmcuestasb,0,250.82999999999998,1
3,katherinsb,0,300.83,1
4,jjrodriguezn,0,300.83,1
5,DglyP,0,300.83,1
6,cap182,0,152.49999999999997,1
7,annumumozme,0,263.33,1
8,Judgarciani,0,300.83,1
9,sacastroc,0,225.82999999999998,1
10,pcberriop,0,223.32999999999998,1
11,hsmartineza,0,300.83,1
12,Moimolcp,0,275.83,1
13,CamiloRueda,0,300.83,1
14,juanescai,0,188.32999999999998,1
15,JoseMolano,0,105.82999999999998,1
16,maikellPardoA,0,213.32999999999998,1
17,NicolasZon,0,288.33,1
18,camilo654,0,226.65999999999997,1
19,CristianLozano,0,201.65999999999997,1
20,jdsuarezj,0,138.32999999999998,1
21,pipemax85,0,205.82999999999998,1
22,juandavidro,0,0.0,1
23,UNhcrodriguezl,0,210.0,1
24,camilo13152,0,271.65999999999997,1
25,leavendanoro,0,263.33,1
26,cdcordobaa,0,210.0,1
27,capinillab,0,185.0,1
28,janoguerab,0,300.83,1
29,lfvalderrama,0,225.82999999999998,1
30,bsgarciac,0,193.32999999999998,1
31,gabi04,0,300.83,1
32,annipi,0,300.83,1
33,jdsolanos,0,238.32999999999998,1
34,jcneivaa,0,300.83,1
35,fmbernalb,0,300.83,1
36,MogGy94,0,288.33,1
37,yocuervoc,0,300.83,1
38,odprietoh,0,275.83,1
39,gasierram,1,134.17000000000002,1
40,adamantwharf,1,246.67000000000002,1
41,bdcajicam,1,304.17,1
42,andfsanchezlem,1,259.17,1
43,dfhincapiem,1,329.17,1
44,helmeraac,1,259.17,1
45,dasalgadob,1,229.17000000000002,1
46,falperezgo,1,72.5,1
47,djguzmanc,1,48.34000000000003,1
48,gsuarezc04,1,329.17,1
49,oeroaq,1,98.34,1
50,gcantem,1,0.0,1
51,Semoralesga,1,263.34000000000003,1
52,jonatan360,1,43.34000000000003,1
53,jesusfchavarro,1,80.84,1
54,stevenbustos,1,196.67000000000002,1
55,jufcontrerasco,1,237.5,1
56,dsbarrerag,1,103.34,1
57,wolfstain,1,255.0,1
58,miaborjaac,1,209.17000000000002,1
59,ivdgonzalezco,1,329.17,1
60,maikellPardo,1,241.67000000000002,1
61,Christian7sr,1,255.0,1
62,jsnarvaezb,1,155.00000000000003,1
63,gfalbarracinr,1,266.67,1
64,aldiazve,1,209.17000000000002,1
65,diegoaguevarar,1,241.67000000000002,1
66,fevargasmo,1,164.17000000000002,1
67,jmhurtadoc,1,166.67000000000002,1
68,anfmorenoso,1,231.67000000000002,1
69,nabautistal,1,271.67,1
70,crigar,1,259.17,1
71,jiapulidoar,1,110.00000000000003,1
72,jsviveroj,1,225.84000000000003,1
73,daandradec,1,191.67000000000002,1
74,jcrubioa,1,192.50000000000003,1
75,joahernandezca,1,179.17000000000002,1
76,ItsNavi,1,329.17,1
77,Zeugmax,1,329.17,1
78,kastellanos,1,329.17,1
79,JairVillalba,1,266.67,1
80,jusherrerama,2,177.5,1
81,bdvegat,2,260.0,1
82,Phoenixest,2,185.82999999999998,1
83,HashNick,2,260.0,1
84,ccvacad,2,260.0,1
85,joaortizro,2,152.5,1
86,juasmartinezbel,2,8.330000000000013,1
87,mdbelloc,2,168.32999999999998,1
88,diegocruz10,2,169.17000000000002,1
89,crarojasca,2,215.0,1
90,sagilm,2,210.0,1
91,idrojasf,2,52.5,1
92,raulramirezp,2,260.0,1
93,fabianr23,2,55.0,1
94,jhriverasa,2,117.08000000000001,1
95,jhonsd1996,2,160.0,1
96,JuanitoAli,2,160.0,1
97,Davsatu313,2,52.5,1
98,cesarochoa2006,2,173.32999999999998,1
99,jjmuesesq,2,177.5,1
100,jucjimenezmo,2,247.5,1
101,kancas,2,222.5,1
102,Gantiva,2,144.17000000000002,1
103,Dandarprox,2,154.57999999999998,1
104,debeltranc,2,97.5,1
105,ykchautai,2,98.33000000000001,1
106,ligibrial,2,126.66999999999999,1
107,davidrh195,2,260.0,1
108,JulianaNino,2,205.82999999999998,1
109,luegilca,2,130.83,1
110,Yelis3,2,28.330000000000013,1
111,begarzonf,2,102.5,1
112,kmendezp96,2,74.16999999999999,1
113,leguzman,2,106.66999999999999,1
114,luealfonsoru,2,105.83000000000001,1
115,oserasoa,2,205.82999999999998,1
116,lsfinite,2,197.5,1
117,xdanielsb,2,0.0,1
118,CSebasGomez,2,260.0,1
119,jhcardenasa,2,260.0,1
120,tres-iqus,2,260.0,1
121,jscontrerasp,2,260.0,1
122,lemartinp,3,270.84000000000003,1
123,juligarji,3,167.50000000000003,1
124,nfmorenog,3,225.0,1
125,AFelipeGA,3,291.67,1
126,mballeng91,3,329.17,1
127,dduartec,3,287.5,1
128,srmedinac,3,304.17,1
129,wilson911013,3,250.84000000000003,1
130,wapiravaguens,3,90.00000000000003,1
131,davidh17,3,173.34,1
132,DianaNavarrete,3,229.17000000000002,1
133,jdmonroyg,3,329.17,1
134,jorge52an,3,230.0,1
135,jscastelblancoh,3,127.50000000000003,1
136,juclopezso,3,259.17,1
137,afforeroc,3,263.34000000000003,1
138,dagofonseca,3,271.67,1
139,lacardenasv,3,142.50000000000003,1
140,oacastillol,3,237.5,1
141,ncampuzano,3,237.5,1
142,adriel62,3,225.84000000000003,1
143,capinzor,3,221.67000000000002,1
144,ofnanezn,3,316.67,1
145,macuestap,3,160.42000000000002,1
146,spenas,3,200.84,1
147,kgbayala528,3,221.67000000000002,1
148,lgmoralesa,3,192.50000000000003,1
149,ronaldsg20,3,146.67000000000002,1
150,cccristanchoc,3,255.0,1
151,jmalvarezd,3,0.0,1
152,smarquezo,3,230.0,1
153,sarizag,3,221.67000000000002,1
154,Chranium,3,284.17,1
155,DavidQP,3,217.5,1
156,afceballosr,3,209.17000000000002,1
157,lizzyt10h,3,175.00000000000003,1
158,NicolasPrr,3,216.67000000000002,1
159,jumcorredorro,3,143.34,1
160,feartheGru,3,316.67,1
161,Danielsv9207,3,279.17,1
162,JhonEmmanuelTorres,3,329.17,1
163,fffeelipe,0,75.0,2
164,mnguzmanc,0,27.5,2
165,jmcuestasb,0,106.66999999999999,2
166,katherinsb,0,235.0,2
167,jjrodriguezn,0,135.82999999999998,2
168,DglyP,0,124.17,2
169,cap182,0,214.17000000000002,2
170,annumumozme,0,144.17000000000002,2
171,Judgarciani,0,160.82999999999998,2
172,sacastroc,0,44.16999999999999,2
173,pcberriop,0,81.66999999999999,2
174,hsmartineza,0,160.82999999999998,2
175,Moimolcp,0,126.67,2
176,CamiloRueda,0,185.0,2
177,juanescai,0,185.0,2
178,JoseMolano,0,101.66999999999999,2
179,maikellPardoA,0,160.0,2
180,NicolasZon,0,147.5,2
181,camilo654,0,52.5,2
182,CristianLozano,0,144.17000000000002,2
183,jdsuarezj,0,122.5,2
184,pipemax85,0,144.17000000000002,2
185,juandavidro,0,119.16999999999999,2
186,UNhcrodriguezl,0,56.66999999999999,2
187,camilo13152,0,144.17000000000002,2
188,leavendanoro,0,135.0,2
189,cdcordobaa,0,56.66999999999999,2
190,capinillab,0,0.0,2
191,janoguerab,0,160.82999999999998,2
192,lfvalderrama,0,105.83000000000001,2
193,bsgarciac,0,15.830000000000013,2
194,gabi04,0,185.0,2
195,annipi,0,235.0,2
196,jdsolanos,0,235.0,2
197,jcneivaa,0,235.0,2
198,fmbernalb,0,235.0,2
199,MogGy94,0,235.0,2
200,yocuervoc,0,235.0,2
201,odprietoh,0,185.0,2
202,gasierram,1,192.49999999999997,2
203,adamantwharf,1,238.32999999999998,2
204,bdcajicam,1,238.32999999999998,2
205,andfsanchezlem,1,275.83,2
206,dfhincapiem,1,204.99999999999997,2
207,helmeraac,1,183.32999999999998,2
208,dasalgadob,1,258.33,2
209,falperezgo,1,3.329999999999984,2
210,djguzmanc,1,67.07999999999998,2
211,gsuarezc04,1,199.99999999999997,2
212,oeroaq,1,45.0,2
213,gcantem,1,81.66,2
214,Semoralesga,1,142.49999999999997,2
215,jonatan360,1,105.82999999999998,2
216,jesusfchavarro,1,44.15999999999997,2
217,stevenbustos,1,230.0,2
218,jufcontrerasco,1,225.0,2
219,dsbarrerag,1,0.0,2
220,wolfstain,1,142.49999999999997,2
221,miaborjaac,1,217.5,2
222,ivdgonzalezco,1,204.99999999999997,2
223,maikellPardo,1,270.83,2
224,Christian7sr,1,221.65999999999997,2
225,jsnarvaezb,1,125.82999999999998,2
226,gfalbarracinr,1,270.83,2
227,aldiazve,1,122.49999999999997,2
228,diegoaguevarar,1,114.16,2
229,fevargasmo,1,204.16,2
230,jmhurtadoc,1,245.82999999999998,2
231,anfmorenoso,1,217.5,2
232,nabautistal,1,234.15999999999997,2
233,crigar,1,238.32999999999998,2
234,jiapulidoar,1,76.65999999999997,2
235,jsviveroj,1,179.99999999999997,2
236,daandradec,1,20.0,2
237,jcrubioa,1,145.82999999999998,2
238,joahernandezca,1,258.33,2
239,ItsNavi,1,320.83,2
240,Zeugmax,1,320.83,2
241,kastellanos,1,333.33,2
242,JairVillalba,1,270.83,2
243,jusherrerama,2,168.33,2
244,bdvegat,2,235.0,2
245,Phoenixest,2,218.32999999999998,2
246,HashNick,2,221.67000000000002,2
247,ccvacad,2,317.5,2
248,joaortizro,2,61.670000000000016,2
249,juasmartinezbel,2,33.329999999999984,2
250,mdbelloc,2,205.0,2
251,diegocruz10,2,201.67,2
252,crarojasca,2,272.5,2
253,sagilm,2,259.17,2
254,idrojasf,2,161.67,2
255,raulramirezp,2,110.83000000000001,2
256,fabianr23,2,0.0,2
257,jhriverasa,2,105.83000000000001,2
258,jhonsd1996,2,255.0,2
259,JuanitoAli,2,45.829999999999984,2
260,Davsatu313,2,93.33000000000001,2
261,cesarochoa2006,2,74.16999999999999,2
262,jjmuesesq,2,143.33,2
263,jucjimenezmo,2,230.82999999999998,2
264,kancas,2,86.66999999999999,2
265,Gantiva,2,196.67,2
266,Dandarprox,2,194.17,2
267,debeltranc,2,255.0,2
268,ykchautai,2,210.0,2
269,ligibrial,2,221.67000000000002,2
270,davidrh195,2,210.0,2
