,len_match,Group,phase,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
0,0.0,0.0,1,fffeelipe,1.0,0.0,5.0,3.0,2.0
1,0.0,0.0,1,mnguzmanc,2.0,1.0,3.0,2.0,0.0
2,0.0,0.0,1,DglyP,1.0,3.0,4.0,3.0,3.0
3,0.0,0.0,1,Judgarciani,3.0,3.0,4.0,2.0,3.0
4,0.0,0.0,1,sacastroc,1.0,2.0,4.0,2.0,3.0
5,0.0,0.0,1,pcberriop,0.0,1.0,3.0,2.0,3.0
6,2.0,0.0,1,hsmartineza,0.0,1.0,3.0,2.0,4.0
7,1.0,0.0,1,Moimolcp,1.0,1.0,5.0,1.0,2.0
8,0.0,0.0,1,JoseMolano,1.0,5.0,4.0,4.0,1.0
9,0.0,0.0,1,maikellPardoA,3.0,3.0,3.0,2.0,1.0
10,0.0,0.0,1,NicolasZon,3.0,3.0,3.0,1.0,1.0
11,0.0,0.0,1,camilo654,0.0,1.0,4.0,2.0,1.0
12,0.0,0.0,1,,,,,,1.0
13,0.0,0.0,1,jdsuarezj,1.0,3.0,3.0,2.0,3.0
14,0.0,0.0,1,pipemax85,1.0,3.0,5.0,2.0,2.0
15,0.0,0.0,1,juandavidro,1.0,2.0,2.0,2.0,1.0
16,1.0,0.0,1,UNhcrodriguezl,3.0,3.0,5.0,3.0,2.0
17,4.0,0.0,1,camilo13152,3.0,5.0,5.0,2.0,2.0
18,1.0,0.0,1,leavendanoro,0.0,1.0,4.0,1.0,7.0
19,0.0,0.0,1,cdcordobaa,2.0,4.0,5.0,2.0,2.0
20,0.0,0.0,1,capinillab,0.0,0.0,0.0,0.0,1.0
21,2.0,0.0,1,lfvalderrama,0.0,3.0,5.0,2.0,2.0
22,0.0,0.0,1,bsgarciac,0.0,3.0,4.0,2.0,2.0
23,2.0,0.0,2,fffeelipe,1.0,0.0,5.0,3.0,1.0
24,1.0,0.0,2,mnguzmanc,2.0,1.0,3.0,2.0,4.0
25,0.0,0.0,2,jmcuestasb,1.0,3.0,4.0,2.0,6.0
26,3.0,0.0,2,jjrodriguezn,2.0,2.0,3.0,1.0,1.0
27,0.0,0.0,2,DglyP,1.0,3.0,4.0,3.0,5.0
28,0.0,0.0,2,Judgarciani,3.0,3.0,4.0,2.0,4.0
29,2.0,0.0,2,sacastroc,1.0,2.0,4.0,2.0,3.0
30,0.0,0.0,2,pcberriop,0.0,1.0,3.0,2.0,1.0
31,2.0,0.0,2,hsmartineza,0.0,1.0,3.0,2.0,3.0
32,1.0,0.0,2,Moimolcp,1.0,1.0,5.0,1.0,2.0
33,0.0,0.0,2,CamiloRueda,3.0,3.0,6.0,1.0,3.0
34,0.0,0.0,2,JoseMolano,1.0,5.0,4.0,4.0,1.0
35,0.0,0.0,2,maikellPardoA,3.0,3.0,3.0,2.0,1.0
36,0.0,0.0,2,NicolasZon,3.0,3.0,3.0,1.0,2.0
37,2.0,0.0,2,camilo654,0.0,1.0,4.0,2.0,1.0
38,0.0,0.0,2,,,,,,1.0
39,0.0,0.0,2,jdsuarezj,1.0,3.0,3.0,2.0,2.0
40,0.0,0.0,2,pipemax85,1.0,3.0,5.0,2.0,1.0
41,0.0,0.0,2,juandavidro,1.0,2.0,2.0,2.0,1.0
42,2.0,0.0,2,UNhcrodriguezl,3.0,3.0,5.0,3.0,1.0
43,0.0,0.0,2,camilo13152,3.0,5.0,5.0,2.0,5.0
44,3.0,0.0,2,leavendanoro,0.0,1.0,4.0,1.0,5.0
45,0.0,0.0,2,cdcordobaa,2.0,4.0,5.0,2.0,1.0
46,0.0,0.0,2,capinillab,0.0,0.0,0.0,0.0,1.0
47,2.0,0.0,2,lfvalderrama,0.0,3.0,5.0,2.0,2.0
48,0.0,0.0,2,bsgarciac,0.0,3.0,4.0,2.0,1.0
49,0.0,0.0,2,gabi04,0.0,0.0,5.0,2.0,4.0
50,2.0,0.0,3,fffeelipe,1.0,0.0,5.0,3.0,1.0
51,2.0,0.0,3,mnguzmanc,2.0,1.0,3.0,2.0,12.0
52,0.0,0.0,3,jmcuestasb,1.0,3.0,4.0,2.0,2.0
53,0.0,0.0,3,jjrodriguezn,2.0,2.0,3.0,1.0,3.0
54,0.0,0.0,3,DglyP,1.0,3.0,4.0,3.0,3.0
55,4.0,0.0,3,Judgarciani,3.0,3.0,4.0,2.0,8.0
56,2.0,0.0,3,sacastroc,1.0,2.0,4.0,2.0,9.0
57,0.0,0.0,3,pcberriop,0.0,1.0,3.0,2.0,4.0
58,0.0,0.0,3,hsmartineza,0.0,1.0,3.0,2.0,4.0
59,2.0,0.0,3,Moimolcp,1.0,1.0,5.0,1.0,3.0
60,0.0,0.0,3,CamiloRueda,3.0,3.0,6.0,1.0,0.0
61,0.0,0.0,3,JoseMolano,1.0,5.0,4.0,4.0,1.0
62,0.0,0.0,3,maikellPardoA,3.0,3.0,3.0,2.0,1.0
63,0.0,0.0,3,NicolasZon,3.0,3.0,3.0,1.0,0.0
64,2.0,0.0,3,camilo654,0.0,1.0,4.0,2.0,1.0
65,0.0,0.0,3,,,,,,0.0
66,0.0,0.0,3,jdsuarezj,1.0,3.0,3.0,2.0,8.0
67,0.0,0.0,3,pipemax85,1.0,3.0,5.0,2.0,1.0
68,0.0,0.0,3,juandavidro,1.0,2.0,2.0,2.0,1.0
69,0.0,0.0,3,UNhcrodriguezl,3.0,3.0,5.0,3.0,6.0
70,0.0,0.0,3,camilo13152,3.0,5.0,5.0,2.0,4.0
71,0.0,0.0,3,leavendanoro,0.0,1.0,4.0,1.0,6.0
72,0.0,0.0,3,cdcordobaa,2.0,4.0,5.0,2.0,1.0
73,0.0,0.0,3,capinillab,0.0,0.0,0.0,0.0,0.0
74,1.0,0.0,3,lfvalderrama,0.0,3.0,5.0,2.0,1.0
75,0.0,0.0,3,bsgarciac,0.0,3.0,4.0,2.0,3.0
76,0.0,0.0,3,gabi04,0.0,0.0,5.0,2.0,1.0
77,27.0,0.0,4,fffeelipe,1.0,0.0,5.0,3.0,3.0
78,6.0,0.0,4,mnguzmanc,2.0,1.0,3.0,2.0,7.0
79,0.0,0.0,4,jmcuestasb,1.0,3.0,4.0,2.0,1.0
80,9.0,0.0,4,katherinsb,1.0,2.0,4.0,2.0,0.0
81,1.0,0.0,4,jjrodriguezn,2.0,2.0,3.0,1.0,0.0
82,12.0,0.0,4,DglyP,1.0,3.0,4.0,3.0,1.0
83,8.0,0.0,4,Judgarciani,3.0,3.0,4.0,2.0,4.0
84,3.0,0.0,4,sacastroc,1.0,2.0,4.0,2.0,3.0
85,10.0,0.0,4,pcberriop,0.0,1.0,3.0,2.0,1.0
86,13.0,0.0,4,hsmartineza,0.0,1.0,3.0,2.0,2.0
87,1.0,0.0,4,Moimolcp,1.0,1.0,5.0,1.0,3.0
88,0.0,0.0,4,CamiloRueda,3.0,3.0,6.0,1.0,0.0
89,0.0,0.0,4,JoseMolano,1.0,5.0,4.0,4.0,1.0
90,0.0,0.0,4,maikellPardoA,3.0,3.0,3.0,2.0,0.0
91,0.0,0.0,4,NicolasZon,3.0,3.0,3.0,1.0,0.0
92,0.0,0.0,4,camilo654,0.0,1.0,4.0,2.0,1.0
93,0.0,0.0,4,,,,,,0.0
94,0.0,0.0,4,jdsuarezj,1.0,3.0,3.0,2.0,0.0
95,0.0,0.0,4,pipemax85,1.0,3.0,5.0,2.0,0.0
96,0.0,0.0,4,juandavidro,1.0,2.0,2.0,2.0,1.0
97,0.0,0.0,4,UNhcrodriguezl,3.0,3.0,5.0,3.0,1.0
98,11.0,0.0,4,camilo13152,3.0,5.0,5.0,2.0,3.0
99,2.0,0.0,4,leavendanoro,0.0,1.0,4.0,1.0,1.0
100,0.0,0.0,4,cdcordobaa,2.0,4.0,5.0,2.0,0.0
101,1.0,0.0,4,capinillab,0.0,0.0,0.0,0.0,1.0
102,2.0,0.0,4,lfvalderrama,0.0,3.0,5.0,2.0,1.0
103,15.0,0.0,4,bsgarciac,0.0,3.0,4.0,2.0,5.0
104,0.0,0.0,4,gabi04,0.0,0.0,5.0,2.0,0.0
105,34.0,0.0,5,fffeelipe,1.0,0.0,5.0,3.0,1.0
106,7.0,0.0,5,mnguzmanc,2.0,1.0,3.0,2.0,8.0
107,1.0,0.0,5,jmcuestasb,1.0,3.0,4.0,2.0,1.0
108,9.0,0.0,5,katherinsb,1.0,2.0,4.0,2.0,1.0
109,3.0,0.0,5,jjrodriguezn,2.0,2.0,3.0,1.0,1.0
110,30.0,0.0,5,DglyP,1.0,3.0,4.0,3.0,11.0
111,17.0,0.0,5,Judgarciani,3.0,3.0,4.0,2.0,7.0
112,6.0,0.0,5,sacastroc,1.0,2.0,4.0,2.0,1.0
113,15.0,0.0,5,pcberriop,0.0,1.0,3.0,2.0,2.0
114,13.0,0.0,5,hsmartineza,0.0,1.0,3.0,2.0,2.0
115,13.0,0.0,5,Moimolcp,1.0,1.0,5.0,1.0,2.0
116,0.0,0.0,5,CamiloRueda,3.0,3.0,6.0,1.0,0.0
117,0.0,0.0,5,JoseMolano,1.0,5.0,4.0,4.0,1.0
118,0.0,0.0,5,maikellPardoA,3.0,3.0,3.0,2.0,0.0
119,0.0,0.0,5,NicolasZon,3.0,3.0,3.0,1.0,0.0
120,0.0,0.0,5,camilo654,0.0,1.0,4.0,2.0,1.0
121,0.0,0.0,5,,,,,,0.0
122,0.0,0.0,5,jdsuarezj,1.0,3.0,3.0,2.0,0.0
123,0.0,0.0,5,pipemax85,1.0,3.0,5.0,2.0,0.0
124,0.0,0.0,5,juandavidro,1.0,2.0,2.0,2.0,1.0
125,0.0,0.0,5,UNhcrodriguezl,3.0,3.0,5.0,3.0,0.0
126,11.0,0.0,5,camilo13152,3.0,5.0,5.0,2.0,2.0
127,9.0,0.0,5,leavendanoro,0.0,1.0,4.0,1.0,1.0
128,0.0,0.0,5,cdcordobaa,2.0,4.0,5.0,2.0,0.0
129,13.0,0.0,5,capinillab,0.0,0.0,0.0,0.0,1.0
130,4.0,0.0,5,lfvalderrama,0.0,3.0,5.0,2.0,1.0
131,15.0,0.0,5,bsgarciac,0.0,3.0,4.0,2.0,4.0
132,4.0,0.0,5,gabi04,0.0,0.0,5.0,2.0,1.0
133,0.0,1.0,1,gasierram,3.0,4.0,5.0,4.0,3.0
134,0.0,1.0,1,,,,,,3.0
135,0.0,1.0,1,bdcajicam,0.0,2.0,5.0,2.0,0.0
136,0.0,1.0,1,helmeraac,5.0,4.0,6.0,4.0,2.0
137,0.0,1.0,1,dasalgadob,1.0,2.0,4.0,3.0,2.0
138,0.0,1.0,1,falperezgo,4.0,4.0,5.0,3.0,1.0
139,0.0,1.0,1,djguzmanc,0.0,5.0,6.0,3.0,2.0
140,1.0,1.0,1,oeroaq,4.0,4.0,5.0,3.0,3.0
141,0.0,1.0,1,gcantem,0.0,2.0,5.0,2.0,0.0
142,0.0,1.0,1,Semoralesga,4.0,3.0,4.0,2.0,2.0
143,3.0,1.0,1,jonatan360,4.0,4.0,6.0,4.0,0.0
144,1.0,1.0,1,jesusfchavarro,4.0,3.0,6.0,3.0,0.0
145,1.0,1.0,1,jesusfchavarro,5.0,3.0,6.0,3.0,0.0
146,0.0,1.0,1,jufcontrerasco,0.0,0.0,5.0,2.0,10.0
147,1.0,1.0,1,dsbarrerag,0.0,4.0,5.0,2.0,1.0
148,0.0,1.0,1,wolfstain,3.0,3.0,6.0,0.0,6.0
149,6.0,1.0,1,miaborjaac,0.0,0.0,4.0,1.0,6.0
150,0.0,1.0,1,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0
151,0.0,1.0,1,Christian7sr,3.0,3.0,3.0,2.0,2.0
152,2.0,1.0,1,jsnarvaezb,0.0,1.0,3.0,2.0,7.0
153,3.0,1.0,1,gfalbarracinr,1.0,1.0,5.0,2.0,2.0
154,3.0,1.0,1,aldiazve,0.0,3.0,6.0,3.0,2.0
155,0.0,1.0,1,diegoaguevarar,0.0,1.0,5.0,2.0,4.0
156,0.0,1.0,1,fevargasmo,2.0,3.0,4.0,4.0,3.0
157,0.0,1.0,1,jmhurtadoc,6.0,6.0,6.0,2.0,4.0
158,0.0,1.0,1,nabautistal,0.0,0.0,3.0,1.0,1.0
159,0.0,1.0,1,crigar,1.0,0.0,2.0,4.0,1.0
160,0.0,1.0,1,jiapulidoar,4.0,4.0,5.0,2.0,2.0
161,0.0,1.0,1,jsviveroj,1.0,3.0,4.0,2.0,3.0
162,1.0,1.0,1,daandradec,2.0,2.0,6.0,2.0,0.0
163,0.0,1.0,1,jcrubioa,0.0,0.0,5.0,2.0,3.0
164,0.0,1.0,1,joahernandezca,1.0,1.0,0.0,0.0,2.0
165,0.0,1.0,1,JairVillalba,1.0,1.0,3.0,2.0,3.0
166,0.0,1.0,2,gasierram,3.0,4.0,5.0,4.0,1.0
167,0.0,1.0,2,,,,,,0.0
168,0.0,1.0,2,bdcajicam,0.0,2.0,5.0,2.0,0.0
169,0.0,1.0,2,dfhincapiem,4.0,1.0,5.0,1.0,1.0
170,0.0,1.0,2,helmeraac,5.0,4.0,6.0,4.0,2.0
171,0.0,1.0,2,dasalgadob,1.0,2.0,4.0,3.0,0.0
172,0.0,1.0,2,falperezgo,4.0,4.0,5.0,3.0,2.0
173,2.0,1.0,2,djguzmanc,0.0,5.0,6.0,3.0,3.0
174,0.0,1.0,2,gsuarezc04,1.0,1.0,3.0,2.0,1.0
175,3.0,1.0,2,oeroaq,4.0,4.0,5.0,3.0,5.0
176,0.0,1.0,2,gcantem,0.0,2.0,5.0,2.0,0.0
177,0.0,1.0,2,Semoralesga,4.0,3.0,4.0,2.0,1.0
178,9.0,1.0,2,jonatan360,4.0,4.0,6.0,4.0,0.0
179,9.0,1.0,2,jesusfchavarro,4.0,3.0,6.0,3.0,7.0
180,9.0,1.0,2,jesusfchavarro,5.0,3.0,6.0,3.0,7.0
181,0.0,1.0,2,stevenbustos,0.0,1.0,0.0,1.0,1.0
182,0.0,1.0,2,jufcontrerasco,0.0,0.0,5.0,2.0,1.0
183,1.0,1.0,2,dsbarrerag,0.0,4.0,5.0,2.0,1.0
184,0.0,1.0,2,wolfstain,3.0,3.0,6.0,0.0,3.0
185,0.0,1.0,2,miaborjaac,0.0,0.0,4.0,1.0,2.0
186,0.0,1.0,2,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0
187,0.0,1.0,2,Christian7sr,3.0,3.0,3.0,2.0,2.0
