,Student,Group,added_sum,stage
0,fffeelipe,0.0,0,1
1,mnguzmanc,0.0,0,1
2,sacastroc,0.0,0,1
3,Moimolcp,0.0,0,1
4,lfvalderrama,0.0,0,1
5,oeroaq,1.0,0,1
6,jesusfchavarro,1.0,0,1
7,dsbarrerag,1.0,0,1
8,gfalbarracinr,1.0,0,1
9,aldiazve,1.0,0,1
10,anfmorenoso,1.0,0,1
11,daandradec,1.0,0,1
12,raulramirezp,2.0,0,1
13,JuanitoAli,2.0,0,1
14,davidrh195,2.0,0,1
15,Yelis3,2.0,0,1
16,leguzman,2.0,0,1
17,xdanielsb,2.0,0,1
18,juligarji,3.0,0,1
19,mballeng91,3.0,0,1
20,wapiravaguens,3.0,0,1
21,jorge52an,3.0,0,1
22,lacardenasv,3.0,0,1
23,oacastillol,3.0,0,1
24,ncampuzano,3.0,0,1
25,adriel62,3.0,0,1
26,smarquezo,3.0,0,1
27,afceballosr,3.0,0,1
28,fffeelipe,0.0,0,2
29,mnguzmanc,0.0,1,2
30,sacastroc,0.0,2,2
31,Moimolcp,0.0,2,2
32,lfvalderrama,0.0,1,2
33,oeroaq,1.0,396,2
34,jesusfchavarro,1.0,5,2
35,dsbarrerag,1.0,0,2
36,gfalbarracinr,1.0,0,2
37,aldiazve,1.0,0,2
38,anfmorenoso,1.0,0,2
39,daandradec,1.0,2,2
40,raulramirezp,2.0,0,2
41,JuanitoAli,2.0,1,2
42,davidrh195,2.0,0,2
43,Yelis3,2.0,10,2
44,leguzman,2.0,3,2
45,xdanielsb,2.0,3,2
46,juligarji,3.0,9,2
47,mballeng91,3.0,0,2
48,wapiravaguens,3.0,5,2
49,jorge52an,3.0,8,2
50,lacardenasv,3.0,0,2
51,oacastillol,3.0,0,2
52,ncampuzano,3.0,11,2
53,adriel62,3.0,0,2
54,smarquezo,3.0,0,2
55,afceballosr,3.0,4,2
56,fffeelipe,0.0,27,3
57,mnguzmanc,0.0,5,3
58,sacastroc,0.0,3,3
59,Moimolcp,0.0,1,3
60,lfvalderrama,0.0,1,3
61,oeroaq,1.0,211,3
62,jesusfchavarro,1.0,0,3
63,dsbarrerag,1.0,2,3
64,gfalbarracinr,1.0,3,3
65,aldiazve,1.0,1748,3
66,anfmorenoso,1.0,1,3
67,daandradec,1.0,76,3
68,raulramirezp,2.0,47,3
69,JuanitoAli,2.0,62,3
70,davidrh195,2.0,2,3
71,Yelis3,2.0,36,3
72,leguzman,2.0,8,3
73,xdanielsb,2.0,7,3
74,juligarji,3.0,64,3
75,mballeng91,3.0,3,3
76,wapiravaguens,3.0,6,3
77,jorge52an,3.0,75,3
78,lacardenasv,3.0,61,3
79,oacastillol,3.0,12,3
80,ncampuzano,3.0,7,3
81,adriel62,3.0,3939,3
82,smarquezo,3.0,2,3
83,afceballosr,3.0,7,3
84,fffeelipe,0.0,7,4
85,mnguzmanc,0.0,3,4
86,sacastroc,0.0,3,4
87,Moimolcp,0.0,12,4
88,lfvalderrama,0.0,3,4
89,oeroaq,1.0,16,4
90,jesusfchavarro,1.0,16,4
91,dsbarrerag,1.0,7,4
92,gfalbarracinr,1.0,5,4
93,aldiazve,1.0,1,4
94,anfmorenoso,1.0,26,4
95,daandradec,1.0,0,4
96,raulramirezp,2.0,13,4
97,JuanitoAli,2.0,0,4
98,davidrh195,2.0,0,4
99,Yelis3,2.0,59,4
100,leguzman,2.0,3,4
101,xdanielsb,2.0,9,4
102,juligarji,3.0,7,4
103,mballeng91,3.0,0,4
104,wapiravaguens,3.0,3,4
105,jorge52an,3.0,35,4
106,lacardenasv,3.0,5,4
107,oacastillol,3.0,0,4
108,ncampuzano,3.0,7,4
109,adriel62,3.0,14,4
110,smarquezo,3.0,5,4
111,afceballosr,3.0,3,4
