,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,improve-ur,improve-vis,improve-total,improve-novel,improve-tech
0,juanescai,fffeelipe,1,2,0.0,1,0,1.0,0.0,5.0,3.0,1.0,40.0,8.329999999999998,73.33,0.0,25.0
1,annipi,jdsolanos,1,2,0.0,1,0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,-50.0,0.0,-50.0
2,jdsolanos,annipi,1,2,0.0,1,0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,12.5,0.0,12.5
3,jdsolanos,jcneivaa,1,2,0.0,1,0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,12.5,0.0,12.5
4,katherinsb,juanescai,1,2,0.0,1,0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,-50.0,-37.5,-12.5
5,katherinsb,maikellPardoA,1,2,0.0,1,0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
6,jdsolanos,fmbernalb,1,2,0.0,1,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,12.5,0.0,12.5
7,MogGy94,yocuervoc,1,2,0.0,1,0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,12.5,0.0,12.5
8,jdsolanos,MogGy94,1,2,0.0,1,0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,jcneivaa,katherinsb,1,2,0.0,1,0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,12.5,0.0,12.5
10,jcneivaa,cap182,1,2,0.0,1,0,0.0,1.0,4.0,2.0,0.0,-40.0,-12.5,-115.00000000000001,-75.0,12.5
11,hsmartineza,capinillab,1,2,0.5666666666666667,1,0,0.0,0.0,0.0,0.0,1.0,40.0,4.170000000000002,131.67000000000002,87.5,0.0
12,hsmartineza,jdsuarezj,1,2,0.5777777777777777,1,0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,-37.5,-50.0,12.5
13,pcberriop,Judgarciani,1,2,0.5869565217391304,1,0,3.0,3.0,4.0,2.0,4.0,20.0,29.17,86.67,0.0,37.5
14,Judgarciani,pcberriop,1,2,0.6481481481481481,1,0,0.0,1.0,3.0,2.0,1.0,-20.0,8.329999999999998,88.33000000000001,62.5,37.5
15,hsmartineza,JoseMolano,1,2,0.6538461538461539,1,0,1.0,5.0,4.0,4.0,1.0,-20.0,-16.67,-49.16999999999999,-12.5,0.0
16,sacastroc,pipemax85,1,2,0.6818181818181819,1,0,1.0,3.0,5.0,2.0,1.0,0.0,8.329999999999998,8.329999999999998,0.0,0.0
17,jdsuarezj,NicolasZon,1,2,0.6956521739130435,1,0,3.0,3.0,3.0,1.0,2.0,0.0,25.0,87.5,25.0,37.5
18,lfvalderrama,hsmartineza,1,2,0.72,1,0,0.0,1.0,3.0,2.0,3.0,20.0,29.17,86.67,0.0,37.5
19,juandavidro,UNhcrodriguezl,1,2,0.7345679012345678,1,0,3.0,3.0,5.0,3.0,1.0,0.0,0.0,100.00000000000001,62.5,37.5
20,UNhcrodriguezl,cdcordobaa,1,2,0.7608695652173914,1,0,2.0,4.0,5.0,2.0,1.0,0.0,0.0,100.00000000000001,62.5,37.5
21,hsmartineza,lfvalderrama,1,2,0.7647058823529411,1,0,0.0,3.0,5.0,2.0,2.0,0.0,41.67,66.66999999999999,25.0,0.0
