,user1,similarity,group,phase,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
0,fffeelipe,0.03731343283582089,0,1,fffeelipe,1.0,0.0,5.0,3.0,2.0
1,mnguzmanc,0.01652892561983471,0,1,mnguzmanc,2.0,1.0,3.0,2.0,0.0
2,DglyP,0.016666666666666666,0,1,DglyP,1.0,3.0,4.0,3.0,3.0
3,Judgarciani,0.05333333333333334,0,1,Judgarciani,3.0,3.0,4.0,2.0,3.0
4,sacastroc,0.05042016806722689,0,1,sacastroc,1.0,2.0,4.0,2.0,3.0
5,pcberriop,0.17037037037037037,0,1,pcberriop,0.0,1.0,3.0,2.0,3.0
6,hsmartineza,0.09302325581395349,0,1,hsmartineza,0.0,1.0,3.0,2.0,4.0
7,Moimolcp,0.039735099337748346,0,1,Moimolcp,1.0,1.0,5.0,1.0,2.0
8,JoseMolano,0.01680672268907563,0,1,JoseMolano,1.0,5.0,4.0,4.0,1.0
9,maikellPardoA,0.016666666666666666,0,1,maikellPardoA,3.0,3.0,3.0,2.0,1.0
10,NicolasZon,0.031496062992125984,0,1,NicolasZon,3.0,3.0,3.0,1.0,1.0
11,camilo654,0.016666666666666666,0,1,camilo654,0.0,1.0,4.0,2.0,1.0
12,CristianLozano,0.01680672268907563,0,1,,,,,,1.0
13,jdsuarezj,0.03816793893129771,0,1,jdsuarezj,1.0,3.0,3.0,2.0,3.0
14,pipemax85,0.112,0,1,pipemax85,1.0,3.0,5.0,2.0,2.0
15,juandavidro,0.46706586826347307,0,1,juandavidro,1.0,2.0,2.0,2.0,1.0
16,UNhcrodriguezl,0.02142857142857143,0,1,UNhcrodriguezl,3.0,3.0,5.0,3.0,2.0
17,camilo13152,0.016129032258064516,0,1,camilo13152,3.0,5.0,5.0,2.0,2.0
18,leavendanoro,0.04,0,1,leavendanoro,0.0,1.0,4.0,1.0,7.0
19,cdcordobaa,0.03816793893129771,0,1,cdcordobaa,2.0,4.0,5.0,2.0,2.0
20,capinillab,0.02459016393442623,0,1,capinillab,0.0,0.0,0.0,0.0,1.0
21,lfvalderrama,0.05755395683453238,0,1,lfvalderrama,0.0,3.0,5.0,2.0,2.0
22,bsgarciac,0.039735099337748346,0,1,bsgarciac,0.0,3.0,4.0,2.0,2.0
23,fffeelipe,0.05714285714285714,0,2,fffeelipe,1.0,0.0,5.0,3.0,1.0
24,mnguzmanc,0.06716417910447761,0,2,mnguzmanc,2.0,1.0,3.0,2.0,4.0
