,dates
0,2
1,2
2,2
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,5
21,5
22,5
23,5
24,5
25,3
26,2
27,2
28,1
29,1
30,2
31,1
32,4
33,4
34,3
35,2
36,1
37,1
38,5
39,4
40,3
41,2
42,1
43,5
44,4
45,4
46,3
47,2
48,2
49,1
50,1
51,1
52,1
53,
54,
55,
56,
57,
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,4
70,3
71,3
72,3
73,2
74,2
75,2
76,2
77,2
78,1
79,1
80,1
81,2
82,1
83,1
84,4
85,3
86,3
87,3
88,2
89,1
90,1
91,1
92,5
93,5
94,5
95,5
96,5
97,5
98,4
99,4
100,4
101,4
102,3
103,3
104,3
105,3
106,3
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,1
115,1
116,1
117,5
118,4
119,3
120,2
121,1
122,
123,
124,
125,
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,2
161,2
162,2
163,2
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,4
179,4
180,4
181,4
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,2
191,2
192,2
193,2
194,1
195,1
196,1
197,5
198,4
199,3
200,2
201,1
202,5
203,5
204,4
205,4
206,4
207,3
208,3
209,3
210,2
211,2
212,1
213,1
214,5
215,4
216,4
217,4
218,3
219,1
220,1
221,2
222,2
223,1
224,1
225,1
226,5
227,4
228,3
229,3
230,2
231,1
232,1
233,4
234,3
235,3
236,3
237,3
238,3
239,3
240,2
241,1
242,1
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,4
251,4
252,4
253,3
254,3
255,3
256,3
257,2
258,1
259,1
260,5
261,4
262,3
263,2
264,2
265,1
266,1
267,1
268,1
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,3
286,3
287,2
288,2
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,5
297,3
298,3
299,3
300,2
301,1
302,1
303,5
304,5
305,5
306,4
307,4
308,4
309,4
310,4
311,4
312,3
313,2
314,2
315,2
316,2
317,1
318,1
319,4
320,3
321,2
322,1
323,1
324,5
325,4
326,4
327,3
328,2
329,2
330,1
331,1
332,
333,5
334,5
335,4
336,4
337,4
338,3
339,3
340,2
341,2
342,1
343,3
344,3
345,3
346,1
347,3
348,2
349,1
350,5
351,5
352,5
353,5
354,4
355,4
356,4
357,4
358,4
359,3
360,3
361,3
362,2
363,1
364,1
365,5
366,5
367,4
368,4
369,4
370,3
371,3
372,3
373,3
374,2
375,2
376,2
377,2
378,2
379,1
380,1
381,5
382,4
383,3
384,2
385,1
386,5
387,4
388,2
389,1
390,5
391,5
392,5
393,5
394,5
395,5
396,4
397,3
398,1
399,1
400,5
401,4
402,3
403,2
404,1
405,1
406,5
407,4
408,3
409,2
410,1
411,1
412,5
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,4
421,4
422,4
423,4
424,4
425,3
426,3
427,3
428,3
429,2
430,2
431,2
432,2
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,5
441,5
442,5
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,4
471,5
472,5
473,4
474,3
475,3
476,2
477,1
478,1
479,1
480,3
481,3
482,3
483,2
484,2
485,1
486,1
487,1
488,1
489,1
490,1
491,5
492,3
493,3
494,2
495,1
496,1
497,1
498,1
499,1
500,1
501,5
502,5
503,5
504,5
505,5
506,5
507,5
508,5
509,5
510,4
511,3
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,5
524,5
525,3
526,2
527,1
528,1
529,1
530,1
531,3
532,2
533,1
534,
535,4
536,4
537,4
538,4
539,4
540,4
541,3
542,3
543,3
544,2
545,2
546,2
547,1
548,1
549,2
