,email_name,additions,group2_additions,commits_count
32,dlsusp,16,16,1
33,dlsusp,1422,1438,2
34,dlsusp,649,2087,3
35,dlsusp,158,2245,4
36,dlsusp,29,2274,5
37,dlsusp,20750,23024,6
43,davsatu313,2,2,1
44,davsatu313,94,96,2
45,davsatu313,413,509,3
46,davsatu313,73,582,4
47,davsatu313,194,776,5
48,davsatu313,25,801,6
49,davsatu313,0,801,7
50,davsatu313,52,853,8
51,davsatu313,1,854,9
52,davsatu313,29,883,10
84,dsgantivac,132,132,1
85,dsgantivac,28,160,2
86,dsgantivac,0,160,3
87,dsgantivac,112,272,4
88,dsgantivac,204,476,5
89,dsgantivac,1,477,6
90,dsgantivac,0,477,7
91,dsgantivac,149,626,8
122,jcflorezv,11,11,1
123,jcflorezv,21,32,2
124,jcflorezv,0,32,3
125,jcflorezv,112918,112950,4
126,jcflorezv,5,112955,5
127,jcflorezv,37,112992,6
128,jcflorezv,156,113148,7
129,jcflorezv,1,113149,8
130,jcflorezv,160009,273158,9
131,jcflorezv,160009,433167,10
132,jcflorezv,8,433175,11
133,jcflorezv,1,433176,12
134,jcflorezv,91,433267,13
135,jcflorezv,105,433372,14
136,jcflorezv,3947,437319,15
137,jcflorezv,1418,438737,16
138,jcflorezv,1276,440013,17
139,jcflorezv,419,440432,18
140,jcflorezv,1709,442141,19
141,jcflorezv,304,442445,20
142,jcflorezv,68,442513,21
143,jcflorezv,10262,452775,22
144,jcflorezv,383,453158,23
145,jcflorezv,5,453163,24
146,jcflorezv,117379,570542,25
147,jcflorezv,4,570546,26
148,jcflorezv,93,570639,27
149,jcflorezv,16,570655,28
150,jcflorezv,1098,571753,29
151,jcflorezv,62,571815,30
152,jcflorezv,28,571843,31
153,jcflorezv,290,572133,32
154,jcflorezv,125,572258,33
155,jcflorezv,88,572346,34
156,jcflorezv,15600,587946,35
157,jcflorezv,24667,612613,36
158,jcflorezv,1519,614132,37
159,jcflorezv,20309,634441,38
160,jcflorezv,16942,651383,39
161,jcflorezv,3855,655238,40
162,jcflorezv,15,655253,41
163,jcflorezv,146,655399,42
164,jcflorezv,77571,732970,43
165,jcflorezv,149,733119,44
166,jcflorezv,58256,791375,45
167,jcflorezv,8,791383,46
168,jcflorezv,10,791393,47
169,jcflorezv,3,791396,48
170,jcflorezv,63,791459,49
197,jucninova,1,1,1
198,jucninova,86,87,2
199,jucninova,35,122,3
200,jucninova,85,207,4
201,jucninova,9677,9884,5
224,esdpename,8,8,1
225,esdpename,81,89,2
243,yatorresm,1,1,1
244,yatorresm,10,11,2
245,yatorresm,3,14,3
246,yatorresm,40,54,4
247,yatorresm,44538,44592,5
248,yatorresm,10159,54751,6
249,yatorresm,602,55353,7
250,yatorresm,58,55411,8
251,yatorresm,1558,56969,9
252,yatorresm,376,57345,10
253,yatorresm,3485,60830,11
254,yatorresm,53179,114009,12
255,yatorresm,168,114177,13
256,yatorresm,3839,118016,14
257,yatorresm,9431,127447,15
258,yatorresm,7,127454,16
259,yatorresm,1202916,1330370,17
344,bdvegat,4,4,1
345,bdvegat,52,56,2
346,bdvegat,80,136,3
347,begarzonf,220,220,1
348,begarzonf,4979,5199,2
349,begarzonf,63,5262,3
406,ccvacad,205,205,1
407,ccvacad,543,748,2
412,clochoac,191,191,1
413,clochoac,427,618,2
414,clochoac,3,621,3
415,clochoac,2386,3007,4
416,clochoac,787,3794,5
417,clochoac,0,3794,6
418,clochoac,316,4110,7
419,clochoac,214,4324,8
420,clochoac,869,5193,9
421,clochoac,6,5199,10
422,clochoac,401,5600,11
423,clochoac,244,5844,12
424,clochoac,153,5997,13
425,clochoac,8,6005,14
426,clochoac,26,6031,15
427,clochoac,91,6122,16
428,clochoac,775,6897,17
429,clochoac,329,7226,18
430,clochoac,42,7268,19
431,clochoac,298,7566,20
432,clochoac,293,7859,21
433,clochoac,46,7905,22
434,clochoac,3,7908,23
435,clochoac,4,7912,24
436,clochoac,58,7970,25
437,clochoac,3,7973,26
438,clochoac,171,8144,27
480,dfricoh,0,0,1
481,dfricoh,0,0,2
482,dfricoh,86,86,3
483,dfricoh,43,129,4
484,dfricoh,258,387,5
485,dfricoh,8,395,6
486,dfricoh,1,396,7
487,dfricoh,10484,10880,8
488,dfricoh,0,10880,9
489,dfricoh,16,10896,10
490,dfricoh,1,10897,11
501,debeltranc,239,239,1
502,debeltranc,54,293,2
503,debeltranc,25,318,3
504,debeltranc,20,338,4
505,debeltranc,1,339,5
506,debeltranc,102,441,6
507,debeltranc,9,450,7
508,debeltranc,51,501,8
