,fall2016-blackironhack-cg505,fall2016-blackironhack-analyst1001,fall2016-blackironhack-pptx,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-saul97,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-kathy789,fall2016-blackironhack-sauravn,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-rkp7,fall2016-blackironhack-drewatk,fall2016-blackironhack-danzheng
fall2016-blackironhack-cg505,0.0,1.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.3333333333333333,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-analyst1001,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.012195121951219513,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-pptx,0.0,0.5,0.0,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.008130081300813009,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-lennax,0.0,0.25,0.0,0.23529411764705882,0.0,0.0,0.0,0.08333333333333333,0.016260162601626018,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-emmyzhang,0.0,0.375,0.0,0.11320754716981132,0.0,0.0,0.0,0.125,0.01084010840108401,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-saul97,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.012195121951219513,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-thesoupgirl,0.0,0.5,0.0,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.008130081300813009,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-kathy789,0.0,0.3,0.0,0.12962962962962962,0.0,0.0,0.0,0.1,0.013550135501355014,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-sauravn,0.0,0.07894736842105263,0.0,0.43548387096774194,0.0,0.0,0.0,0.02631578947368421,0.051490514905149054,0.0,0.0,0.0,0.0,0.023255813953488372
fall2016-blackironhack-nathanamorin,0.0,0.011320754716981131,0.0,0.14909090909090908,0.0,0.0,0.0,0.0037735849056603774,0.35907859078590787,0.0,0.0,0.0,0.0,0.003703703703703704
fall2016-blackironhack-chriscoraggio,0.0,0.14285714285714285,0.0,0.22033898305084745,0.0,0.0,0.0,0.047619047619047616,0.028455284552845527,0.0,0.0,0.0,0.0,0.038461538461538464
fall2016-blackironhack-rkp7,0.0,0.5,0.0,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.008130081300813009,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-drewatk,0.0,0.42857142857142855,0.0,0.07407407407407407,0.0,0.0,0.0,0.14285714285714285,0.009485094850948509,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-danzheng,0.0,0.0,0.0,0.14545454545454545,0.0,0.0,0.0,0.0,0.2689189189189189,0.0,0.0,0.0,0.0,0.014705882352941176
