,fall2016-blackironhack-cg505,fall2016-blackironhack-analyst1001,fall2016-blackironhack-pptx,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-saul97,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-kathy789,fall2016-blackironhack-sauravn,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-rkp7,fall2016-blackironhack-drewatk,fall2016-blackironhack-danzheng
fall2016-blackironhack-cg505,0.0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-analyst1001,0.0,0.0,0.0,0.07692307692307693,0.0,0.14285714285714285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-pptx,0.0,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-lennax,0.0,0.0,0.0,0.2777777777777778,0.05,0.0625,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-emmyzhang,0.0,0.0,0.0,0.07142857142857142,0.625,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-saul97,0.0,0.0,0.0,0.07142857142857142,0.0,0.125,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-thesoupgirl,0.0,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-kathy789,0.0,0.0,0.0,0.07142857142857142,0.0,0.125,0.0,0.125,0.04878048780487805,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-sauravn,0.0,0.0,0.0,0.02531645569620253,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.15853658536585366,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-nathanamorin,0.0,0.0,0.0,0.031007751937984496,0.007692307692307693,0.007936507936507936,0.0,0.0,0.17518248175182483,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-chriscoraggio,0.0,0.0,0.0,0.04,0.0,0.05263157894736842,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-rkp7,0.0,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-drewatk,0.0,0.0,0.0,0.2,0.1111111111111111,0.2,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-danzheng,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.18691588785046728,0.0,0.0,0.0,0.0,0.0
