,fall2016-blackironhack-cg505,fall2016-blackironhack-analyst1001,fall2016-blackironhack-pptx,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-saul97,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-kathy789,fall2016-blackironhack-sauravn,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-rkp7,fall2016-blackironhack-drewatk,fall2016-blackironhack-danzheng
fall2016-blackironhack-cg505,1,0.3333333333333333,0.5,0.03636363636363636,0.1,0.3333333333333333,0.5,0.3,0.002577319587628866,0.011320754716981131,0.14285714285714285,0.5,0.42857142857142855,0.0
fall2016-blackironhack-analyst1001,0.3333333333333333,1,0.6666666666666666,0.03278688524590164,0.21428571428571427,1.0,0.6666666666666666,0.9,0.009009009009009009,0.026217228464419477,0.42857142857142855,0.6666666666666666,0.6,0.009433962264150943
fall2016-blackironhack-pptx,0.5,0.6666666666666666,1,0.034482758620689655,0.2727272727272727,0.6666666666666666,1.0,0.6,0.006443298969072165,0.022641509433962263,0.2857142857142857,1.0,0.8571428571428571,0.009569377990430622
fall2016-blackironhack-lennax,0.03636363636363636,0.03278688524590164,0.034482758620689655,1,0.05084745762711865,0.03278688524590164,0.034482758620689655,0.04918032786885246,0.05739795918367347,0.13120567375886524,0.041666666666666664,0.034482758620689655,0.05172413793103448,0.14096916299559473
fall2016-blackironhack-emmyzhang,0.1,0.21428571428571427,0.2727272727272727,0.05084745762711865,1,0.21428571428571427,0.2727272727272727,0.2,0.00902061855670103,0.01486988847583643,0.11538461538461539,0.2727272727272727,0.36363636363636365,0.009478672985781991
fall2016-blackironhack-saul97,0.3333333333333333,1.0,0.6666666666666666,0.03278688524590164,0.21428571428571427,1,0.6666666666666666,0.9,0.009009009009009009,0.026217228464419477,0.42857142857142855,0.6666666666666666,0.6,0.009433962264150943
fall2016-blackironhack-thesoupgirl,0.5,0.6666666666666666,1.0,0.034482758620689655,0.2727272727272727,0.6666666666666666,1,0.6,0.006443298969072165,0.022641509433962263,0.2857142857142857,1.0,0.8571428571428571,0.009569377990430622
fall2016-blackironhack-kathy789,0.3,0.9,0.6,0.04918032786885246,0.2,0.9,0.6,1,0.010296010296010296,0.026119402985074626,0.4090909090909091,0.6,0.5454545454545454,0.009389671361502348
fall2016-blackironhack-sauravn,0.002577319587628866,0.009009009009009009,0.006443298969072165,0.05739795918367347,0.00902061855670103,0.009009009009009009,0.006443298969072165,0.010296010296010296,1,0.33504492939666236,0.021822849807445442,0.006443298969072165,0.007731958762886598,0.2564102564102564
fall2016-blackironhack-nathanamorin,0.011320754716981131,0.026217228464419477,0.022641509433962263,0.13120567375886524,0.01486988847583643,0.026217228464419477,0.022641509433962263,0.026119402985074626,0.33504492939666236,1,0.02877697841726619,0.022641509433962263,0.026415094339622643,0.7028985507246377
fall2016-blackironhack-chriscoraggio,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.041666666666666664,0.11538461538461539,0.42857142857142855,0.2857142857142857,0.4090909090909091,0.021822849807445442,0.02877697841726619,1,0.2857142857142857,0.2727272727272727,0.013452914798206279
fall2016-blackironhack-rkp7,0.5,0.6666666666666666,1.0,0.034482758620689655,0.2727272727272727,0.6666666666666666,1.0,0.6,0.006443298969072165,0.022641509433962263,0.2857142857142857,1,0.8571428571428571,0.009569377990430622
fall2016-blackironhack-drewatk,0.42857142857142855,0.6,0.8571428571428571,0.05172413793103448,0.36363636363636365,0.6,0.8571428571428571,0.5454545454545454,0.007731958762886598,0.026415094339622643,0.2727272727272727,0.8571428571428571,1,0.009523809523809525
fall2016-blackironhack-danzheng,0.0,0.009433962264150943,0.009569377990430622,0.14096916299559473,0.009478672985781991,0.009433962264150943,0.009569377990430622,0.009389671361502348,0.2564102564102564,0.7028985507246377,0.013452914798206279,0.009569377990430622,0.009523809523809525,1
