,fall2016-blackironhack-cg505,fall2016-blackironhack-analyst1001,fall2016-blackironhack-pptx,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-saul97,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-kathy789,fall2016-blackironhack-sauravn,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-rkp7,fall2016-blackironhack-drewatk,fall2016-blackironhack-danzheng
fall2016-blackironhack-cg505,1,0.42857142857142855,0.75,0.25,0.1111111111111111,0.375,0.75,0.375,0.05128205128205128,0.022222222222222223,0.15789473684210525,0.75,0.6,0.0
fall2016-blackironhack-analyst1001,0.42857142857142855,1,0.5714285714285714,0.1875,0.16666666666666666,0.875,0.5714285714285714,0.875,0.046511627906976744,0.0364963503649635,0.3684210526315789,0.5714285714285714,0.5,0.004830917874396135
fall2016-blackironhack-pptx,0.75,0.5714285714285714,1,0.23076923076923078,0.2222222222222222,0.5,1.0,0.5,0.05,0.02962962962962963,0.21052631578947367,1.0,0.8,0.004901960784313725
fall2016-blackironhack-lennax,0.25,0.1875,0.23076923076923078,1,0.11764705882352941,0.17647058823529413,0.23076923076923078,0.25,0.13636363636363635,0.0425531914893617,0.10714285714285714,0.23076923076923078,0.3076923076923077,0.009478672985781991
fall2016-blackironhack-emmyzhang,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.11764705882352941,1,0.15384615384615385,0.2222222222222222,0.15384615384615385,0.0975609756097561,0.02158273381294964,0.08333333333333333,0.2222222222222222,0.3333333333333333,0.004830917874396135
fall2016-blackironhack-saul97,0.375,0.875,0.5,0.17647058823529413,0.15384615384615385,1,0.5,0.7777777777777778,0.045454545454545456,0.036231884057971016,0.35,0.5,0.4444444444444444,0.00966183574879227
fall2016-blackironhack-thesoupgirl,0.75,0.5714285714285714,1.0,0.23076923076923078,0.2222222222222222,0.5,1,0.5,0.05,0.02962962962962963,0.21052631578947367,1.0,0.8,0.004901960784313725
fall2016-blackironhack-kathy789,0.375,0.875,0.5,0.25,0.15384615384615385,0.7777777777777778,0.5,1,0.045454545454545456,0.036231884057971016,0.35,0.5,0.4444444444444444,0.004807692307692308
fall2016-blackironhack-sauravn,0.05128205128205128,0.046511627906976744,0.05,0.13636363636363635,0.0975609756097561,0.045454545454545456,0.05,0.045454545454545456,1,0.1610738255033557,0.1875,0.05,0.075,0.10138248847926268
fall2016-blackironhack-nathanamorin,0.022222222222222223,0.0364963503649635,0.02962962962962963,0.0425531914893617,0.02158273381294964,0.036231884057971016,0.02962962962962963,0.036231884057971016,0.1610738255033557,1,0.04054054054054054,0.02962962962962963,0.037037037037037035,0.5774647887323944
fall2016-blackironhack-chriscoraggio,0.15789473684210525,0.3684210526315789,0.21052631578947367,0.10714285714285714,0.08333333333333333,0.35,0.21052631578947367,0.35,0.1875,0.04054054054054054,1,0.21052631578947367,0.2,0.009174311926605505
fall2016-blackironhack-rkp7,0.75,0.5714285714285714,1.0,0.23076923076923078,0.2222222222222222,0.5,1.0,0.5,0.05,0.02962962962962963,0.21052631578947367,1,0.8,0.004901960784313725
fall2016-blackironhack-drewatk,0.6,0.5,0.8,0.3076923076923077,0.3333333333333333,0.4444444444444444,0.8,0.4444444444444444,0.075,0.037037037037037035,0.2,0.8,1,0.004878048780487805
fall2016-blackironhack-danzheng,0.0,0.004830917874396135,0.004901960784313725,0.009478672985781991,0.004830917874396135,0.00966183574879227,0.004901960784313725,0.004807692307692308,0.10138248847926268,0.5774647887323944,0.009174311926605505,0.004901960784313725,0.004878048780487805,1
