,fall2016-blackironhack-saul97,fall2016-blackironhack-kathy789,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-pptx,fall2016-blackironhack-analyst1001,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-cg505,fall2016-blackironhack-rkp7,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-danzheng,fall2016-blackironhack-drewatk,fall2016-blackironhack-sauravn
fall2016-blackironhack-saul97,0.04717948717948718,0.027663934426229508,0.0,0.0,0.0,0.1076923076923077,0.0,0.029743589743589743,0.0,0.5406746031746031,0.27192118226600986,0.14747474747474748,0.0,0.10146465718531097
fall2016-blackironhack-kathy789,0.046890927624872576,0.02854230377166157,0.0,0.0,0.0,0.10703363914373089,0.0,0.029561671763506627,0.0,0.5359605911330049,0.2703232125367287,0.1465863453815261,0.0,0.10198450599596731
fall2016-blackironhack-thesoupgirl,0.052095130237825596,0.030542986425339366,0.0,0.0,0.0,0.11891279728199321,0.0,0.03284258210645526,0.0,0.5915032679738562,0.2990249187432286,0.16129032258064516,0.0,0.0920479881091411
fall2016-blackironhack-pptx,0.052095130237825596,0.030542986425339366,0.0,0.0,0.0,0.11891279728199321,0.0,0.03284258210645526,0.0,0.5915032679738562,0.2990249187432286,0.16129032258064516,0.0,0.0920479881091411
fall2016-blackironhack-analyst1001,0.04930332261521972,0.028907922912205567,0.0,0.0,0.0,0.11254019292604502,0.0,0.031082529474812434,0.0,0.5609504132231405,0.28365878725590954,0.15279241306638566,0.0,0.09700700488219062
fall2016-blackironhack-chriscoraggio,0.026106696935300794,0.015314804310833806,0.0,0.0,0.0,0.05959137343927355,0.0,0.016458569807037457,0.0,0.3065326633165829,0.16024567280848687,0.08521444695259593,0.0,0.18273305084745764
fall2016-blackironhack-nathanamorin,0.00237272399030278,0.0013926139880338353,0.0,0.0,0.0,0.00541600041264765,0.0,0.00149584773301697,0.0,0.02922981750695948,0.01535686678691059,0.008304533966059732,0.0,0.46820337600081596
fall2016-blackironhack-cg505,0.4329896907216495,0.2872340425531915,0.0,0.0,0.0,0.7368421052631579,0.0,0.3118279569892473,0.0,0.15689655172413794,0.278125,0.5029585798816568,0.0,0.009783071033602722
fall2016-blackironhack-rkp7,0.052095130237825596,0.030542986425339366,0.0,0.0,0.0,0.11891279728199321,0.0,0.03284258210645526,0.0,0.5915032679738562,0.2990249187432286,0.16129032258064516,0.0,0.0920479881091411
fall2016-blackironhack-lennax,0.10574712643678161,0.06192660550458716,0.0,0.0,0.0,0.23006833712984054,0.0,0.06666666666666667,0.0,0.6855241264559068,0.5110663983903421,0.2928416485900217,0.0,0.04448455250026542
fall2016-blackironhack-emmyzhang,0.04193849021435228,0.02516309412861137,0.0,0.0,0.0,0.09794776119402986,0.0,0.027052238805970148,0.0,0.4959202175883953,0.2572463768115942,0.1343146274149034,0.0,0.11199575371549894
fall2016-blackironhack-danzheng,0.03183791606367583,0.01955104996379435,0.0,0.0,0.0,0.07142857142857142,0.0,0.021014492753623187,0.0,0.1182181610508281,0.11505588428665352,0.1150506512301013,0.0,0.14129974597798475
fall2016-blackironhack-drewatk,0.05,0.029315960912052116,0.0,0.0,0.0,0.11413043478260869,0.0,0.03152173913043478,0.0,0.570230607966457,0.29153605015673983,0.15491452991452992,0.0,0.09597621828219556
fall2016-blackironhack-sauravn,0.0016366029814636922,0.0009961931191518128,0.0,0.0,0.0,0.0037357241968192976,0.0,0.0010317714448358061,0.0,0.02031016575371701,0.011134827463536109,0.005728110435122923,0.0,0.32905786061014064
