,fall2016-blackironhack-saul97,fall2016-blackironhack-kathy789,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-pptx,fall2016-blackironhack-analyst1001,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-cg505,fall2016-blackironhack-rkp7,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-danzheng,fall2016-blackironhack-drewatk,fall2016-blackironhack-sauravn
fall2016-blackironhack-saul97,0.26691042047531993,0.20658135283363802,0.0,0.0,0.32541133455210236,0.10420475319926874,0.0,0.0,0.0,0.13168030813673567,0.0,0.29141607435757244,0.0,0.003428779179098864
fall2016-blackironhack-kathy789,0.24872231686541738,0.19250425894378195,0.0,0.0,0.303236797274276,0.09710391822827939,0.0,0.0,0.0,0.13884218111938507,0.0,0.29978354978354976,0.0,0.0036795125742797685
fall2016-blackironhack-thesoupgirl,0.7024390243902439,0.5265700483091788,0.0,0.0,0.8142857142857143,0.28078817733990147,0.0,0.0,0.0,0.048868560423688014,0.0,0.11001100110011001,0.0,0.0012724719805430886
fall2016-blackironhack-pptx,0.7024390243902439,0.5265700483091788,0.0,0.0,0.8142857142857143,0.28078817733990147,0.0,0.0,0.0,0.048868560423688014,0.0,0.11001100110011001,0.0,0.0012724719805430886
fall2016-blackironhack-analyst1001,0.6515837104072398,0.48878923766816146,0.0,0.0,0.7566371681415929,0.2602739726027397,0.0,0.0,0.0,0.05272026961964372,0.0,0.11696869851729819,0.0,0.00137276533861545
fall2016-blackironhack-chriscoraggio,0.13957934990439771,0.10803059273422562,0.0,0.0,0.1701720841300191,0.05449330783938815,0.0,0.0,0.0,0.25180548868560426,0.0,0.5548913043478261,0.0,0.0065566782839806435
fall2016-blackironhack-nathanamorin,0.03397719339073772,0.026297416802420294,0.0,0.0,0.04142424947637887,0.01326506865254829,0.0,0.0,0.0,0.8034571062740077,0.0,0.4223877123574587,0.0,0.026935034977308626
fall2016-blackironhack-cg505,0.6308724832214765,0.8260869565217391,0.0,0.0,0.5449438202247191,0.5555555555555556,0.0,0.0,0.0,0.023350987000481462,0.0,0.0517051705170517,0.0,0.0006080284833136926
fall2016-blackironhack-rkp7,0.7024390243902439,0.5265700483091788,0.0,0.0,0.8142857142857143,0.28078817733990147,0.0,0.0,0.0,0.048868560423688014,0.0,0.11001100110011001,0.0,0.0012724719805430886
fall2016-blackironhack-lennax,0.16572077185017026,0.1282633371169126,0.0,0.0,0.20204313280363223,0.06469920544835414,0.0,0.0,0.0,0.2106275547006492,0.0,0.45966432051976175,0.0,0.0055224030288594135
fall2016-blackironhack-emmyzhang,0.13683223992502344,0.10590440487347703,0.0,0.0,0.1668228678537957,0.053420805998125584,0.0,0.0,0.0,0.2568608570052961,0.0,0.5757244395844724,0.0,0.006688313316450618
fall2016-blackironhack-danzheng,0.008677563150074294,0.0067161961367013375,0.0,0.0,0.01051943420896232,0.003387815750371471,0.0,0.0,0.0,0.24556195452116605,0.0,0.10787518573551264,0.0,0.10546473434796781
fall2016-blackironhack-drewatk,0.5950413223140496,0.44672131147540983,0.0,0.0,0.6991869918699187,0.2375,0.0,0.0,0.0,0.05777563793933558,0.0,0.1297416162726773,0.0,0.001504400371085425
fall2016-blackironhack-sauravn,0.01451436524505418,0.011233721045829606,0.0,0.0,0.017695595983696192,0.0056665672532060845,0.0,0.0,0.0,0.4122615262321145,0.0,0.18043543095735162,0.0,0.06305318055311787
