,fall2016-blackironhack-saul97,fall2016-blackironhack-kathy789,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-pptx,fall2016-blackironhack-analyst1001,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-cg505,fall2016-blackironhack-rkp7,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-danzheng,fall2016-blackironhack-drewatk,fall2016-blackironhack-sauravn
fall2016-blackironhack-saul97,1,0.687843137254902,0.9492833517089305,0.9492833517089305,0.9307774227902024,0.5066358915175996,0.040266314013406905,0.1096045197740113,0.9492833517089305,0.800203873598369,0.5034965034965035,0.05210004158498188,0.9284188034188035,0.08148496240601504
fall2016-blackironhack-kathy789,0.687843137254902,1,0.696921862667719,0.696921862667719,0.7324388318863457,0.6909604519774011,0.05758971319137294,0.07655880031570639,0.696921862667719,0.6334600760456274,0.6925714285714286,0.07326333274010796,0.723404255319149,0.11728221031857908
fall2016-blackironhack-thesoupgirl,0.9492833517089305,0.696921862667719,1,1.0,0.9515086206896551,0.5115874855156431,0.04026998677429653,0.10985277463193659,1.0,0.7818181818181819,0.5137991779213154,0.05216874628639335,0.9576547231270358,0.08160195543856351
fall2016-blackironhack-pptx,0.9492833517089305,0.696921862667719,1.0,1,0.9515086206896551,0.5115874855156431,0.04026998677429653,0.10985277463193659,1.0,0.7818181818181819,0.5137991779213154,0.05216874628639335,0.9576547231270358,0.08160195543856351
fall2016-blackironhack-analyst1001,0.9307774227902024,0.7324388318863457,0.9515086206896551,0.9515086206896551,1,0.5376593279258401,0.04222718774225911,0.10452586206896551,0.9515086206896551,0.8071928071928072,0.5375146541617819,0.05459189735059997,0.9597030752916225,0.08552631578947369
fall2016-blackironhack-chriscoraggio,0.5066358915175996,0.6909604519774011,0.5115874855156431,0.5115874855156431,0.5376593279258401,1,0.07778182812357605,0.05619930475086906,0.5115874855156431,0.4695603156708005,0.9186763881099271,0.10088422052103732,0.5294797687861271,0.15867504926339496
fall2016-blackironhack-nathanamorin,0.040266314013406905,0.05758971319137294,0.04026998677429653,0.04026998677429653,0.04222718774225911,0.07778182812357605,1,0.004423769781547863,0.04026998677429653,0.03960982724827932,0.07651642892949916,0.48350049766480363,0.041957404113649836,0.4740059777194095
fall2016-blackironhack-cg505,0.1096045197740113,0.07655880031570639,0.10985277463193659,0.10985277463193659,0.10452586206896551,0.05619930475086906,0.004423769781547863,1,0.10985277463193659,0.11010215664018161,0.05598114319387154,0.005585928214879962,0.10543478260869565,0.009036995199096301
fall2016-blackironhack-rkp7,0.9492833517089305,0.696921862667719,1.0,1.0,0.9515086206896551,0.5115874855156431,0.04026998677429653,0.10985277463193659,1,0.7818181818181819,0.5137991779213154,0.05216874628639335,0.9576547231270358,0.08160195543856351
fall2016-blackironhack-lennax,0.800203873598369,0.6334600760456274,0.7818181818181819,0.7818181818181819,0.8071928071928072,0.4695603156708005,0.03960982724827932,0.11010215664018161,0.7818181818181819,1,0.47706422018348627,0.050988306523416634,0.7938247011952191,0.08141393249976497
fall2016-blackironhack-emmyzhang,0.5034965034965035,0.6925714285714286,0.5137991779213154,0.5137991779213154,0.5375146541617819,0.9186763881099271,0.07651642892949916,0.05598114319387154,0.5137991779213154,0.47706422018348627,1,0.09963187269920437,0.536427732079906,0.15652582159624412
fall2016-blackironhack-danzheng,0.05210004158498188,0.07326333274010796,0.05216874628639335,0.05216874628639335,0.05459189735059997,0.10088422052103732,0.48350049766480363,0.005585928214879962,0.05216874628639335,0.050988306523416634,0.09963187269920437,1,0.05430455706731626,0.5584260731319555
fall2016-blackironhack-drewatk,0.9284188034188035,0.723404255319149,0.9576547231270358,0.9576547231270358,0.9597030752916225,0.5294797687861271,0.041957404113649836,0.10543478260869565,0.9576547231270358,0.7938247011952191,0.536427732079906,0.05430455706731626,1,0.08508037980633637
fall2016-blackironhack-sauravn,0.08148496240601504,0.11728221031857908,0.08160195543856351,0.08160195543856351,0.08552631578947369,0.15867504926339496,0.4740059777194095,0.009036995199096301,0.08160195543856351,0.08141393249976497,0.15652582159624412,0.5584260731319555,0.08508037980633637,1
