,fall2016-blackironhack-saul97,fall2016-blackironhack-kathy789,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-pptx,fall2016-blackironhack-analyst1001,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-cg505,fall2016-blackironhack-rkp7,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-danzheng,fall2016-blackironhack-drewatk,fall2016-blackironhack-sauravn
fall2016-blackironhack-saul97,1,0.8980263157894737,0.3625,0.3625,0.6654867256637168,0.5175600739371534,0.13032348149872003,0.1732142857142857,0.3625,0.12759170653907495,0.5234082397003745,0.030071934663854185,0.42857142857142855,0.0033043026741249497
fall2016-blackironhack-kathy789,0.8980263157894737,1,0.34175084175084175,0.34175084175084175,0.6414141414141414,0.5305936073059361,0.13823597858971376,0.1632996632996633,0.34175084175084175,0.1343045754609606,0.5308755760368664,0.031130087012916825,0.40404040404040403,0.0035049210507682505
fall2016-blackironhack-thesoupgirl,0.3625,0.34175084175084175,1,1.0,0.5328083989501312,0.1876155268022181,0.047242262043286014,0.47783251231527096,1.0,0.046251993620414676,0.190253045923149,0.010927188142378016,0.8458333333333333,0.0011978097193702942
fall2016-blackironhack-pptx,0.3625,0.34175084175084175,1.0,1,0.5328083989501312,0.1876155268022181,0.047242262043286014,0.47783251231527096,1.0,0.046251993620414676,0.190253045923149,0.010927188142378016,0.8458333333333333,0.0011978097193702942
fall2016-blackironhack-analyst1001,0.6654867256637168,0.6414141414141414,0.5328083989501312,0.5328083989501312,1,0.3521256931608133,0.08866651151966488,0.2545931758530184,0.5328083989501312,0.08680792891319207,0.35580524344569286,0.02039050246092271,0.6299212598425197,0.0022481059265028677
fall2016-blackironhack-chriscoraggio,0.5175600739371534,0.5305936073059361,0.1876155268022181,0.1876155268022181,0.3521256931608133,1,0.2506393861892583,0.08964879852125693,0.1876155268022181,0.24652540442014126,0.9256272401433692,0.057904411764705885,0.22181146025878004,0.006384384809648564
fall2016-blackironhack-nathanamorin,0.13032348149872003,0.13823597858971376,0.047242262043286014,0.047242262043286014,0.08866651151966488,0.2506393861892583,1,0.02257388875959972,0.047242262043286014,0.7748263179403351,0.24831277635559693,0.22833881490267968,0.05585292064230859,0.025354622483419482
fall2016-blackironhack-cg505,0.1732142857142857,0.1632996632996633,0.47783251231527096,0.47783251231527096,0.2545931758530184,0.08964879852125693,0.02257388875959972,1,0.47783251231527096,0.022100706311232628,0.09090909090909091,0.00519311911716975,0.4041666666666667,0.0005723524274823574
fall2016-blackironhack-rkp7,0.3625,0.34175084175084175,1.0,1.0,0.5328083989501312,0.1876155268022181,0.047242262043286014,0.47783251231527096,1,0.046251993620414676,0.190253045923149,0.010927188142378016,0.8458333333333333,0.0011978097193702942
fall2016-blackironhack-lennax,0.12759170653907495,0.1343045754609606,0.046251993620414676,0.046251993620414676,0.08680792891319207,0.24652540442014126,0.7748263179403351,0.022100706311232628,0.046251993620414676,1,0.24310776942355888,0.23576445164775797,0.05468215994531784,0.025897472208454293
fall2016-blackironhack-emmyzhang,0.5234082397003745,0.5308755760368664,0.190253045923149,0.190253045923149,0.35580524344569286,0.9256272401433692,0.24831277635559693,0.09090909090909091,0.190253045923149,0.24310776942355888,1,0.05755084379056685,0.22492970946579194,0.006295876702305931
fall2016-blackironhack-danzheng,0.030071934663854185,0.031130087012916825,0.010927188142378016,0.010927188142378016,0.02039050246092271,0.057904411764705885,0.22833881490267968,0.00519311911716975,0.010927188142378016,0.23576445164775797,0.05755084379056685,1,0.012873911397198031,0.1090714909485709
fall2016-blackironhack-drewatk,0.42857142857142855,0.40404040404040403,0.8458333333333333,0.8458333333333333,0.6299212598425197,0.22181146025878004,0.05585292064230859,0.4041666666666667,0.8458333333333333,0.05468215994531784,0.22492970946579194,0.012873911397198031,1,0.0014161297174821214
fall2016-blackironhack-sauravn,0.0033043026741249497,0.0035049210507682505,0.0011978097193702942,0.0011978097193702942,0.0022481059265028677,0.006384384809648564,0.025354622483419482,0.0005723524274823574,0.0011978097193702942,0.025897472208454293,0.006295876702305931,0.1090714909485709,0.0014161297174821214,1
