,fall2016-goldironhack-mingchucong,fall2016-goldironhack-zhe1994,fall2016-goldironhack-zhan1046,fall2016-goldironhack-zhan2709,fall2016-goldironhack-mlung,fall2016-goldironhack-mingranli,fall2016-goldironhack-corpsefact,fall2016-goldironhack-yifeitai,fall2016-goldironhack-andrewjst,fall2016-goldironhack-yexin,fall2016-goldironhack-ravengao,fall2016-goldironhack-zhao719,fall2016-goldironhack-tang227,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-vtung,fall2016-goldironhack-peng115,fall2016-goldironhack-ditton,fall2016-goldironhack-bfellur,fall2016-goldironhack-ssandeep,fall2016-goldironhack-yunhan,fall2016-goldironhack-gillism,fall2016-goldironhack-michaelredding,fall2016-goldironhack-gardne16,fall2016-goldironhack-hutchin5,fall2016-goldironhack-steven91,fall2016-goldironhack-beichhor,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-aorme,fall2016-goldironhack-marti763
fall2016-goldironhack-mingchucong,0.3,0.2222222222222222,0.2727272727272727,0.0,0.3333333333333333,0.3,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.21428571428571427,0.11538461538461539,0.25,0.3,0.0,0.2857142857142857,0.0,0.3,0.3333333333333333,0.3333333333333333,0.3,0.2222222222222222,0.0,0.0,0.21428571428571427,0.0,0.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3333333333333333
fall2016-goldironhack-zhe1994,0.3,0.2222222222222222,0.2727272727272727,0.0,0.3333333333333333,0.3,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.21428571428571427,0.11538461538461539,0.25,0.3,0.0,0.2857142857142857,0.0,0.3,0.3333333333333333,0.3333333333333333,0.3,0.2222222222222222,0.0,0.0,0.21428571428571427,0.0,0.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3333333333333333
fall2016-goldironhack-zhan1046,0.3,0.2222222222222222,0.2727272727272727,0.0,0.3333333333333333,0.3,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.21428571428571427,0.11538461538461539,0.25,0.3,0.0,0.2857142857142857,0.0,0.3,0.3333333333333333,0.3333333333333333,0.3,0.2222222222222222,0.0,0.0,0.21428571428571427,0.0,0.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3333333333333333
fall2016-goldironhack-zhan2709,0.3,0.2222222222222222,0.2727272727272727,0.0,0.3333333333333333,0.3,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.21428571428571427,0.11538461538461539,0.25,0.3,0.0,0.2857142857142857,0.0,0.3,0.3333333333333333,0.3333333333333333,0.3,0.2222222222222222,0.0,0.0,0.21428571428571427,0.0,0.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3333333333333333
fall2016-goldironhack-mlung,0.3,0.2222222222222222,0.2727272727272727,0.0,0.3333333333333333,0.3,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.21428571428571427,0.11538461538461539,0.25,0.3,0.0,0.2857142857142857,0.0,0.3,0.3333333333333333,0.3333333333333333,0.3,0.2222222222222222,0.0,0.0,0.21428571428571427,0.0,0.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3333333333333333
fall2016-goldironhack-mingranli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fall2016-goldironhack-corpsefact,0.06451612903225806,0.03225806451612903,0.08064516129032258,0.0,0.04838709677419355,0.06451612903225806,0.0,0.04838709677419355,0.04838709677419355,0.016129032258064516,0.09375,0.07894736842105263,0.0967741935483871,0.06451612903225806,0.0,0.109375,0.0,0.06451612903225806,0.04838709677419355,0.04838709677419355,0.06451612903225806,0.03225806451612903,0.0,0.0,0.09375,0.0,0.0,0.09375,0.04838709677419355,0.04838709677419355,0.04838709677419355
fall2016-goldironhack-yifeitai,0.3,0.2222222222222222,0.2727272727272727,0.0,0.3333333333333333,0.3,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.21428571428571427,0.11538461538461539,0.25,0.3,0.0,0.2857142857142857,0.0,0.3,0.3333333333333333,0.3333333333333333,0.3,0.2222222222222222,0.0,0.0,0.21428571428571427,0.0,0.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3333333333333333
fall2016-goldironhack-andrewjst,0.020833333333333332,0.010416666666666666,0.026041666666666668,0.0,0.015625,0.020833333333333332,0.0,0.015625,0.015625,0.005208333333333333,0.041666666666666664,0.0392156862745098,0.03125,0.020833333333333332,0.0,0.046875,0.0,0.020833333333333332,0.015625,0.015625,0.020833333333333332,0.010416666666666666,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.015625,0.015625,0.015625
fall2016-goldironhack-yexin,0.3,0.2222222222222222,0.2727272727272727,0.0,0.3333333333333333,0.3,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.21428571428571427,0.11538461538461539,0.25,0.3,0.0,0.2857142857142857,0.0,0.3,0.3333333333333333,0.3333333333333333,0.3,0.2222222222222222,0.0,0.0,0.21428571428571427,0.0,0.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.3333333333333333
