,fall2016-goldironhack-mingchucong,fall2016-goldironhack-zhe1994,fall2016-goldironhack-zhan1046,fall2016-goldironhack-zhan2709,fall2016-goldironhack-mlung,fall2016-goldironhack-mingranli,fall2016-goldironhack-corpsefact,fall2016-goldironhack-yifeitai,fall2016-goldironhack-andrewjst,fall2016-goldironhack-yexin,fall2016-goldironhack-ravengao,fall2016-goldironhack-zhao719,fall2016-goldironhack-tang227,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-vtung,fall2016-goldironhack-peng115,fall2016-goldironhack-ditton,fall2016-goldironhack-bfellur,fall2016-goldironhack-ssandeep,fall2016-goldironhack-yunhan,fall2016-goldironhack-gillism,fall2016-goldironhack-michaelredding,fall2016-goldironhack-gardne16,fall2016-goldironhack-hutchin5,fall2016-goldironhack-steven91,fall2016-goldironhack-beichhor,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-aorme,fall2016-goldironhack-marti763
fall2016-goldironhack-mingchucong,0.017543859649122806,0.02631578947368421,0.0,0.07407407407407407,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.45454545454545453,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,0.0,0.625,0.3,0.6,0.35714285714285715,0.0,0.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.0
fall2016-goldironhack-zhe1994,0.01818181818181818,0.0,0.0,0.024691358024691357,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.2,0.6666666666666666,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.2857142857142857,0.2857142857142857,0.2,0.15384615384615385,0.0,0.0,0.4,0.3333333333333333,0.5,0.0
fall2016-goldironhack-zhan1046,0.017699115044247787,0.02702702702702703,0.0,0.075,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.38461538461538464,0.0,0.0,0.6666666666666666,0.8333333333333334,0.5,0.0
fall2016-goldironhack-zhan2709,0.033112582781456956,0.6808510638297872,0.0,0.5679012345679012,0.0,0.0,0.10638297872340426,0.0,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.19148936170212766,0.0425531914893617,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.06382978723404255,0.0,0.1276595744680851,0.06,0.19148936170212766,0.2553191489361702,0.0,0.0,0.0851063829787234,0.10638297872340426,0.06382978723404255,0.0
fall2016-goldironhack-mlung,0.018018018018018018,0.02857142857142857,0.0,0.05,0.0,0.0,0.5,0.0,0.25,0.5,0.25,0.3,0.5,0.0,0.0,0.6,0.0,0.0,0.0,0.75,0.0,0.42857142857142855,0.42857142857142855,0.4444444444444444,0.23076923076923078,0.0,0.0,0.6,0.5,0.75,0.0
fall2016-goldironhack-mingranli,0.017857142857142856,0.027777777777777776,0.0,0.0625,0.0,0.0,0.6666666666666666,0.0,0.2,0.4,0.2,0.4,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.5714285714285714,0.375,0.5555555555555556,0.3076923076923077,0.0,0.0,0.8,0.6666666666666666,0.6,0.0
fall2016-goldironhack-corpsefact,0.15942028985507245,0.10666666666666667,0.0,0.5411764705882353,0.0,0.0,0.09803921568627451,0.0,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.17647058823529413,0.0392156862745098,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.05555555555555555,0.15384615384615385,0.23529411764705882,0.0,0.0,0.0784313725490196,0.09803921568627451,0.058823529411764705,0.0
fall2016-goldironhack-yifeitai,0.018018018018018018,0.02857142857142857,0.0,0.05,0.0,0.0,0.5,0.0,0.25,0.5,0.25,0.3,0.5,0.0,0.0,0.6,0.0,0.0,0.0,0.75,0.0,0.42857142857142855,0.42857142857142855,0.4444444444444444,0.23076923076923078,0.0,0.0,0.6,0.5,0.75,0.0
fall2016-goldironhack-andrewjst,0.7982456140350878,0.03225806451612903,0.0,0.19727891156462585,0.0,0.0,0.052083333333333336,0.0,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.06060606060606061,0.020833333333333332,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.03125,0.0,0.0625,0.030303030303030304,0.07142857142857142,0.058823529411764705,0.0,0.0,0.041666666666666664,0.052083333333333336,0.03125,0.0
fall2016-goldironhack-yexin,0.017699115044247787,0.02702702702702703,0.0,0.075,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.38461538461538464,0.0,0.0,0.6666666666666666,0.8333333333333334,0.5,0.0
fall2016-goldironhack-ravengao,0.9130434782608695,0.02142857142857143,0.0,0.16463414634146342,0.0,0.0,0.04504504504504504,0.0,0.0,0.018018018018018018,0.009009009009009009,0.043478260869565216,0.018018018018018018,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.02702702702702703,0.0,0.044642857142857144,0.02631578947368421,0.043478260869565216,0.0423728813559322,0.0,0.0,0.036036036036036036,0.04504504504504504,0.02702702702702703,0.0
fall2016-goldironhack-zhao719,0.014814814814814815,0.034482758620689655,0.0,0.3333333333333333,0.0,0.0,0.17857142857142858,0.0,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.32142857142857145,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.10714285714285714,0.0,0.21428571428571427,0.0967741935483871,0.27586206896551724,0.42857142857142855,0.0,0.0,0.14285714285714285,0.17857142857142858,0.10714285714285714,0.0
