,fall2016-goldironhack-mingchucong,fall2016-goldironhack-zhe1994,fall2016-goldironhack-zhan1046,fall2016-goldironhack-zhan2709,fall2016-goldironhack-mlung,fall2016-goldironhack-mingranli,fall2016-goldironhack-corpsefact,fall2016-goldironhack-yifeitai,fall2016-goldironhack-andrewjst,fall2016-goldironhack-yexin,fall2016-goldironhack-ravengao,fall2016-goldironhack-zhao719,fall2016-goldironhack-tang227,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-vtung,fall2016-goldironhack-peng115,fall2016-goldironhack-ditton,fall2016-goldironhack-bfellur,fall2016-goldironhack-ssandeep,fall2016-goldironhack-yunhan,fall2016-goldironhack-gillism,fall2016-goldironhack-michaelredding,fall2016-goldironhack-gardne16,fall2016-goldironhack-hutchin5,fall2016-goldironhack-steven91,fall2016-goldironhack-beichhor,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-aorme,fall2016-goldironhack-marti763
fall2016-goldironhack-mingchucong,1,0.020689655172413793,0.043478260869565216,0.45528455284552843,0.04424778761061947,0.043859649122807015,0.17857142857142858,0.04424778761061947,0.7863247863247863,0.04424778761061947,0.8898305084745762,0.034482758620689655,0.05172413793103448,0.043859649122807015,0.04424778761061947,0.8473282442748091,0.04424778761061947,0.03937007874015748,0.043859649122807015,0.034482758620689655,0.04424778761061947,0.04310344827586207,0.25984251968503935,0.04201680672268908,0.037037037037037035,0.04032258064516129,0.04310344827586207,0.04310344827586207,0.07692307692307693,0.04310344827586207,0.04424778761061947
fall2016-goldironhack-zhe1994,0.020689655172413793,1,0.07317073170731707,0.1417004048582996,0.07692307692307693,0.075,0.07228915662650602,0.07692307692307693,0.023076923076923078,0.07692307692307693,0.020833333333333332,0.05714285714285714,0.06976744186046512,0.075,0.07692307692307693,0.024691358024691357,0.07692307692307693,0.07692307692307693,0.075,0.07317073170731707,0.07692307692307693,0.07142857142857142,0.024390243902439025,0.09090909090909091,0.04918032786885246,0.06,0.07142857142857142,0.07142857142857142,0.08695652173913043,0.07142857142857142,0.07692307692307693
fall2016-goldironhack-zhan1046,0.043478260869565216,0.07317073170731707,1,0.024193548387096774,0.75,0.6666666666666666,0.10909090909090909,0.75,0.029411764705882353,0.75,0.02586206896551724,0.15,0.5,0.6666666666666666,0.75,0.045454545454545456,0.75,0.2727272727272727,0.6666666666666666,0.45454545454545453,0.75,0.5454545454545454,0.09803921568627451,0.42857142857142855,0.2,0.3157894736842105,0.5454545454545454,0.5454545454545454,0.375,0.5454545454545454,0.75
fall2016-goldironhack-zhan2709,0.45528455284552843,0.1417004048582996,0.024193548387096774,1,0.024390243902439025,0.024291497975708502,0.15444015444015444,0.024390243902439025,0.372,0.024390243902439025,0.43951612903225806,0.109375,0.03643724696356275,0.024291497975708502,0.024390243902439025,0.5222672064777328,0.024390243902439025,0.06827309236947791,0.024291497975708502,0.032520325203252036,0.024390243902439025,0.036585365853658534,0.1484375,0.04878048780487805,0.09163346613545817,0.03137254901960784,0.036585365853658534,0.024096385542168676,0.04838709677419355,0.028225806451612902,0.024390243902439025
fall2016-goldironhack-mlung,0.04424778761061947,0.07692307692307693,0.75,0.024390243902439025,1,0.8571428571428571,0.11320754716981132,1.0,0.03,1.0,0.02631578947368421,0.15789473684210525,0.6,0.8571428571428571,1.0,0.046153846153846156,1.0,0.3,0.8571428571428571,0.5555555555555556,1.0,0.6666666666666666,0.10204081632653061,0.5,0.21428571428571427,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6666666666666666,1.0
fall2016-goldironhack-mingranli,0.043859649122807015,0.075,0.6666666666666666,0.024291497975708502,0.8571428571428571,1,0.1320754716981132,0.8571428571428571,0.0297029702970297,0.8571428571428571,0.02608695652173913,0.15384615384615385,0.7,0.75,0.8571428571428571,0.04580152671755725,0.8571428571428571,0.2857142857142857,0.75,0.5,0.8571428571428571,0.6,0.1,0.46153846153846156,0.20689655172413793,0.3333333333333333,0.6,0.6,0.4,0.6,0.8571428571428571
fall2016-goldironhack-corpsefact,0.17857142857142858,0.07228915662650602,0.10909090909090909,0.15444015444015444,0.11320754716981132,0.1320754716981132,1,0.11320754716981132,0.18110236220472442,0.11320754716981132,0.17142857142857143,0.19736842105263158,0.16666666666666666,0.1320754716981132,0.11320754716981132,0.2119205298013245,0.11320754716981132,0.23728813559322035,0.1320754716981132,0.1509433962264151,0.11320754716981132,0.16981132075471697,0.3116883116883117,0.16071428571428573,0.208955223880597,0.14754098360655737,0.16981132075471697,0.16981132075471697,0.15517241379310345,0.14814814814814814,0.11320754716981132
fall2016-goldironhack-yifeitai,0.04424778761061947,0.07692307692307693,0.75,0.024390243902439025,1.0,0.8571428571428571,0.11320754716981132,1,0.03,1.0,0.02631578947368421,0.15789473684210525,0.6,0.8571428571428571,1.0,0.046153846153846156,1.0,0.3,0.8571428571428571,0.5555555555555556,1.0,0.6666666666666666,0.10204081632653061,0.5,0.21428571428571427,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6666666666666666,1.0
fall2016-goldironhack-andrewjst,0.7863247863247863,0.023076923076923078,0.029411764705882353,0.372,0.03,0.0297029702970297,0.18110236220472442,0.03,1,0.03,0.7627118644067796,0.022727272727272728,0.038834951456310676,0.0297029702970297,0.03,0.6814814814814815,0.03,0.02631578947368421,0.0297029702970297,0.019417475728155338,0.03,0.02912621359223301,0.2719298245614035,0.02830188679245283,0.02459016393442623,0.02702702702702703,0.02912621359223301,0.02912621359223301,0.0673076923076923,0.02912621359223301,0.03
fall2016-goldironhack-yexin,0.04424778761061947,0.07692307692307693,0.75,0.024390243902439025,1.0,0.8571428571428571,0.11320754716981132,1.0,0.03,1,0.02631578947368421,0.15789473684210525,0.6,0.8571428571428571,1.0,0.046153846153846156,1.0,0.3,0.8571428571428571,0.5555555555555556,1.0,0.6666666666666666,0.10204081632653061,0.5,0.21428571428571427,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6666666666666666,1.0
