,fall2016-goldironhack-mingchucong,fall2016-goldironhack-zhe1994,fall2016-goldironhack-zhan1046,fall2016-goldironhack-zhan2709,fall2016-goldironhack-mlung,fall2016-goldironhack-mingranli,fall2016-goldironhack-corpsefact,fall2016-goldironhack-yifeitai,fall2016-goldironhack-andrewjst,fall2016-goldironhack-yexin,fall2016-goldironhack-ravengao,fall2016-goldironhack-zhao719,fall2016-goldironhack-tang227,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-vtung,fall2016-goldironhack-peng115,fall2016-goldironhack-ditton,fall2016-goldironhack-bfellur,fall2016-goldironhack-ssandeep,fall2016-goldironhack-yunhan,fall2016-goldironhack-gillism,fall2016-goldironhack-michaelredding,fall2016-goldironhack-gardne16,fall2016-goldironhack-hutchin5,fall2016-goldironhack-steven91,fall2016-goldironhack-beichhor,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-aorme,fall2016-goldironhack-marti763
fall2016-goldironhack-mingchucong,1,0.04316546762589928,0.02654867256637168,0.1308411214953271,0.02702702702702703,0.026785714285714284,0.16666666666666666,0.02702702702702703,0.8070175438596491,0.02702702702702703,0.9051724137931034,0.02127659574468085,0.03508771929824561,0.026785714285714284,0.02702702702702703,0.8449612403100775,0.02702702702702703,0.024,0.026785714285714284,0.02631578947368421,0.02702702702702703,0.02631578947368421,0.14049586776859505,0.02564102564102564,0.022556390977443608,0.02459016393442623,0.02631578947368421,0.02631578947368421,0.06086956521739131,0.02631578947368421,0.02702702702702703
fall2016-goldironhack-zhe1994,0.04316546762589928,1,0.07894736842105263,0.2556390977443609,0.08333333333333333,0.08108108108108109,0.13157894736842105,0.08333333333333333,0.056451612903225805,0.08333333333333333,0.03546099290780142,0.06153846153846154,0.075,0.08108108108108109,0.08333333333333333,0.04487179487179487,0.08333333333333333,0.08163265306122448,0.08108108108108109,0.07692307692307693,0.08333333333333333,0.07692307692307693,0.05,0.15384615384615385,0.05172413793103448,0.06382978723404255,0.07692307692307693,0.07692307692307693,0.11904761904761904,0.07692307692307693,0.08333333333333333
fall2016-goldironhack-zhan1046,0.02654867256637168,0.07894736842105263,1,0.045454545454545456,0.6666666666666666,0.8333333333333334,0.11764705882352941,0.6666666666666666,0.0625,0.6666666666666666,0.044642857142857144,0.17647058823529413,0.75,0.8333333333333334,0.6666666666666666,0.046875,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.21428571428571427,0.6,0.23076923076923078,0.4,0.8571428571428571,0.8571428571428571,0.5,0.8571428571428571,0.6666666666666666
fall2016-goldironhack-zhan2709,0.1308411214953271,0.2556390977443609,0.045454545454545456,1,0.030303030303030304,0.03787878787878788,0.34558823529411764,0.030303030303030304,0.16326530612244897,0.030303030303030304,0.14084507042253522,0.25757575757575757,0.06060606060606061,0.03787878787878788,0.030303030303030304,0.20930232558139536,0.030303030303030304,0.12781954887218044,0.03787878787878788,0.05303030303030303,0.030303030303030304,0.05303030303030303,0.18518518518518517,0.07575757575757576,0.19696969696969696,0.11363636363636363,0.05303030303030303,0.05303030303030303,0.09090909090909091,0.05303030303030303,0.030303030303030304
fall2016-goldironhack-mlung,0.02702702702702703,0.08333333333333333,0.6666666666666666,0.030303030303030304,1,0.8,0.0784313725490196,1.0,0.041666666666666664,1.0,0.026785714285714284,0.11764705882352941,0.5,0.8,1.0,0.03125,1.0,0.2222222222222222,0.8,0.5714285714285714,1.0,0.5714285714285714,0.14285714285714285,0.4,0.15384615384615385,0.26666666666666666,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5714285714285714,1.0
fall2016-goldironhack-mingranli,0.026785714285714284,0.08108108108108109,0.8333333333333334,0.03787878787878788,0.8,1,0.09803921568627451,0.8,0.052083333333333336,0.8,0.03571428571428571,0.14705882352941177,0.625,1.0,0.8,0.0390625,0.8,0.2777777777777778,1.0,0.7142857142857143,0.8,0.7142857142857143,0.17857142857142858,0.5,0.19230769230769232,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.4166666666666667,0.7142857142857143,0.8
fall2016-goldironhack-corpsefact,0.16666666666666666,0.13157894736842105,0.11764705882352941,0.34558823529411764,0.0784313725490196,0.09803921568627451,1,0.0784313725490196,0.21487603305785125,0.0784313725490196,0.18248175182481752,0.3492063492063492,0.1568627450980392,0.09803921568627451,0.0784313725490196,0.2785714285714286,0.0784313725490196,0.3269230769230769,0.09803921568627451,0.13725490196078433,0.0784313725490196,0.13725490196078433,0.46296296296296297,0.1509433962264151,0.4,0.29411764705882354,0.13725490196078433,0.13725490196078433,0.18867924528301888,0.13725490196078433,0.0784313725490196
fall2016-goldironhack-yifeitai,0.02702702702702703,0.08333333333333333,0.6666666666666666,0.030303030303030304,1.0,0.8,0.0784313725490196,1,0.041666666666666664,1.0,0.026785714285714284,0.11764705882352941,0.5,0.8,1.0,0.03125,1.0,0.2222222222222222,0.8,0.5714285714285714,1.0,0.5714285714285714,0.14285714285714285,0.4,0.15384615384615385,0.26666666666666666,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5714285714285714,1.0
fall2016-goldironhack-andrewjst,0.8070175438596491,0.056451612903225805,0.0625,0.16326530612244897,0.041666666666666664,0.052083333333333336,0.21487603305785125,0.041666666666666664,1,0.041666666666666664,0.831858407079646,0.056910569105691054,0.07216494845360824,0.052083333333333336,0.041666666666666664,0.75,0.041666666666666664,0.05555555555555555,0.052083333333333336,0.061855670103092786,0.041666666666666664,0.061855670103092786,0.19230769230769232,0.0707070707070707,0.05172413793103448,0.05714285714285714,0.061855670103092786,0.061855670103092786,0.10204081632653061,0.061855670103092786,0.041666666666666664
fall2016-goldironhack-yexin,0.02702702702702703,0.08333333333333333,0.6666666666666666,0.030303030303030304,1.0,0.8,0.0784313725490196,1.0,0.041666666666666664,1,0.026785714285714284,0.11764705882352941,0.5,0.8,1.0,0.03125,1.0,0.2222222222222222,0.8,0.5714285714285714,1.0,0.5714285714285714,0.14285714285714285,0.4,0.15384615384615385,0.26666666666666666,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5714285714285714,1.0
fall2016-goldironhack-ravengao,0.9051724137931034,0.03546099290780142,0.044642857142857144,0.14084507042253522,0.026785714285714284,0.03571428571428571,0.18248175182481752,0.026785714285714284,0.831858407079646,0.026785714285714284,1,0.03571428571428571,0.05309734513274336,0.03571428571428571,0.026785714285714284,0.8527131782945736,0.026785714285714284,0.04032258064516129,0.03571428571428571,0.04424778761061947,0.026785714285714284,0.04424778761061947,0.15833333333333333,0.04310344827586207,0.03787878787878788,0.04132231404958678,0.04424778761061947,0.04424778761061947,0.07894736842105263,0.04424778761061947,0.026785714285714284
fall2016-goldironhack-zhao719,0.02127659574468085,0.06153846153846154,0.17647058823529413,0.25757575757575757,0.11764705882352941,0.14705882352941177,0.3492063492063492,0.11764705882352941,0.056910569105691054,0.11764705882352941,0.03571428571428571,1,0.2,0.14705882352941177,0.11764705882352941,0.14084507042253522,0.11764705882352941,0.4857142857142857,0.14705882352941177,0.20588235294117646,0.11764705882352941,0.20588235294117646,0.21568627450980393,0.2222222222222222,0.7647058823529411,0.4411764705882353,0.20588235294117646,0.20588235294117646,0.21052631578947367,0.20588235294117646,0.11764705882352941
fall2016-goldironhack-tang227,0.03508771929824561,0.075,0.75,0.06060606060606061,0.5,0.625,0.1568627450980392,0.5,0.07216494845360824,0.5,0.05309734513274336,0.2,1,0.625,0.5,0.0625,0.5,0.3684210526315789,0.625,0.875,0.5,0.875,0.2857142857142857,0.6363636363636364,0.25925925925925924,0.4375,0.875,0.875,0.5384615384615384,0.875,0.5
fall2016-goldironhack-jwbalazs,0.026785714285714284,0.08108108108108109,0.8333333333333334,0.03787878787878788,0.8,1.0,0.09803921568627451,0.8,0.052083333333333336,0.8,0.03571428571428571,0.14705882352941177,0.625,1,0.8,0.0390625,0.8,0.2777777777777778,1.0,0.7142857142857143,0.8,0.7142857142857143,0.17857142857142858,0.5,0.19230769230769232,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.4166666666666667,0.7142857142857143,0.8
