,fall2016-goldironhack-mlung,fall2016-goldironhack-ditton,fall2016-goldironhack-zhao719,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-tang227,fall2016-goldironhack-ssandeep,fall2016-goldironhack-steven91,fall2016-goldironhack-mingranli,fall2016-goldironhack-yifeitai,fall2016-goldironhack-beichhor,fall2016-goldironhack-peng115,fall2016-goldironhack-aorme,fall2016-goldironhack-gillism,fall2016-goldironhack-zhan2709,fall2016-goldironhack-andrewjst,fall2016-goldironhack-bfellur,fall2016-goldironhack-marti763,fall2016-goldironhack-hutchin5,fall2016-goldironhack-gardne16,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-michaelredding,fall2016-goldironhack-vtung,fall2016-goldironhack-zhan1046,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-yunhan,fall2016-goldironhack-zhe1994,fall2016-goldironhack-ravengao,fall2016-goldironhack-yexin,fall2016-goldironhack-mingchucong,fall2016-goldironhack-corpsefact
fall2016-goldironhack-mlung,0.0,0.0,0.6219839142091153,0.023943661971830985,0.6127098321342925,0.1,0.22019635343618513,0.0,0.0,0.2816326530612245,0.36103542234332425,0.033707865168539325,0.1689295039164491,0.056760724188549994,0.4435374149659864,0.5724233983286908,0.0,0.20885200553250347,0.0785413744740533,0.15504378851767758,0.0,0.0,0.0,0.0,0.2619666048237477,0.1894150417827298,0.1297071129707113,0.26973684210526316,0.19915848527349228,0.10460251046025104,0.6417910447761194
fall2016-goldironhack-ditton,0.0,0.0,0.5490867579908676,0.018648018648018648,0.5771670190274841,0.08284714119019837,0.1853146853146853,0.0,0.0,0.23890784982935154,0.3127147766323024,0.029137529137529136,0.20103896103896104,0.06848756624541377,0.3711691259931896,0.47344110854503463,0.0,0.17491369390103567,0.06511627906976744,0.16897856242118536,0.0,0.0,0.0,0.0,0.3131014063656551,0.15722543352601157,0.1076388888888889,0.3210019267822736,0.16376306620209058,0.08680555555555555,0.5825242718446602
fall2016-goldironhack-zhao719,0.0,0.0,0.2304147465437788,0.00783410138248848,0.26636568848758463,0.03271889400921659,0.07225034514496088,0.0,0.0,0.09480401093892434,0.12694775435380384,0.011515430677107323,0.4790732436472347,0.16849015317286653,0.15219378427787933,0.1887052341597796,0.0,0.07015130674002751,0.027188940092165898,0.18896519062278003,0.0,0.0,0.0,0.0,0.4869990822881615,0.06244260789715335,0.04367816091954023,0.5215019255455713,0.06583793738489871,0.034451079467156635,0.25
fall2016-goldironhack-jwbalazs,0.0,0.0,0.5323819978046103,0.018973214285714284,0.5670419651995906,0.07924107142857142,0.1746384872080089,0.0,0.0,0.22742110990206746,0.2993421052631579,0.027870680044593088,0.21022579807941863,0.07157997717267242,0.35690968443960824,0.4530386740331492,0.0,0.16740088105726872,0.06347438752783964,0.1694756554307116,0.0,0.0,0.0,0.0,0.32851851851851854,0.1504424778761062,0.10299003322259136,0.33654587509637623,0.15666666666666668,0.08305647840531562,0.5573940020682523
fall2016-goldironhack-tang227,0.0,0.0,0.43216531895777177,0.014611872146118721,0.5034782608695653,0.0639269406392694,0.14207650273224043,0.0,0.0,0.1881720430107527,0.2504520795660036,0.0228310502283105,0.2531580304202114,0.08781084386465553,0.2936436884512086,0.371713508612874,0.0,0.13537906137184116,0.05200729927007299,0.1640601947477132,0.0,0.0,0.0,0.0,0.4013328396890041,0.12750455373406194,0.08743169398907104,0.4090734332948866,0.12944393801276208,0.07201458523245215,0.4576561163387511
fall2016-goldironhack-ssandeep,0.0,0.0,0.5660377358490566,0.019300361881785282,0.5850487540628385,0.08443908323281062,0.1875,0.0,0.0,0.245593419506463,0.3234597156398104,0.030156815440289506,0.19381657573395686,0.0662969909483813,0.38380281690140844,0.48984468339307047,0.0,0.17954815695600476,0.06738868832731648,0.16756585211044114,0.0,0.0,0.0,0.0,0.30333333333333334,0.16267942583732056,0.11137724550898204,0.3108368684920941,0.16947115384615385,0.08982035928143713,0.592469545957918
fall2016-goldironhack-steven91,0.0,0.0,0.5138592750533049,0.01737242128121607,0.5503489531405783,0.07717391304347826,0.17136659436008678,0.0,0.0,0.22033898305084745,0.2902881536819637,0.026030368763557483,0.2174025974025974,0.07371167645140247,0.34782608695652173,0.4413347685683531,0.0,0.16184351554126475,0.06067172264355363,0.1674922600619195,0.0,0.0,0.0,0.0,0.33641746854182086,0.14655172413793102,0.10032362459546926,0.34527938342967246,0.1525974025974026,0.08090614886731391,0.5438950554994955
fall2016-goldironhack-mingranli,0.0,0.0,0.43216531895777177,0.014611872146118721,0.48412017167381977,0.06489945155393052,0.1431175934366454,0.0,0.0,0.18604651162790697,0.24594594594594596,0.021897810218978103,0.24195196729688298,0.08798825735953682,0.2924865831842576,0.371713508612874,0.0,0.13640469738030714,0.05104831358249772,0.18113772455089822,0.0,0.0,0.0,0.0,0.38695492854525465,0.12443233424159855,0.08446866485013624,0.39565879664889564,0.12944393801276208,0.06909090909090909,0.4791666666666667
fall2016-goldironhack-yifeitai,0.0,0.0,0.5349611542730299,0.01809954751131222,0.5617283950617284,0.08040770101925254,0.17720090293453725,0.0,0.0,0.22932745314222713,0.3022222222222222,0.02711864406779661,0.2077922077922078,0.07078202723640219,0.3620309050772627,0.45964125560538116,0.0,0.16852678571428573,0.06320541760722348,0.166875,0.0,0.0,0.0,0.0,0.3232136245834876,0.1526374859708193,0.10449438202247191,0.3315343099460293,0.1589627959413754,0.08426966292134831,0.5633507853403141
fall2016-goldironhack-beichhor,0.0,0.0,0.37734375,0.012658227848101266,0.4335347432024169,0.056215360253365,0.1240126382306477,0.0,0.0,0.1743912018853103,0.21344800625488664,0.01977848101265823,0.29505664263645726,0.10015471052845859,0.2579890880748246,0.3223270440251572,0.0,0.12009419152276295,0.045059288537549404,0.17375178316690443,0.0,0.0,0.0,0.0,0.45581737849779086,0.10700236034618411,0.07322834645669292,0.4678407350689127,0.11128650355169692,0.05905511811023622,0.40194610778443113
