,fall2016-goldironhack-mlung,fall2016-goldironhack-ditton,fall2016-goldironhack-zhao719,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-tang227,fall2016-goldironhack-ssandeep,fall2016-goldironhack-steven91,fall2016-goldironhack-mingranli,fall2016-goldironhack-yifeitai,fall2016-goldironhack-beichhor,fall2016-goldironhack-peng115,fall2016-goldironhack-aorme,fall2016-goldironhack-gillism,fall2016-goldironhack-zhan2709,fall2016-goldironhack-andrewjst,fall2016-goldironhack-bfellur,fall2016-goldironhack-marti763,fall2016-goldironhack-hutchin5,fall2016-goldironhack-gardne16,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-michaelredding,fall2016-goldironhack-vtung,fall2016-goldironhack-zhan1046,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-yunhan,fall2016-goldironhack-zhe1994,fall2016-goldironhack-ravengao,fall2016-goldironhack-yexin,fall2016-goldironhack-mingchucong,fall2016-goldironhack-corpsefact
fall2016-goldironhack-mlung,0.0,0.0,0.7103174603174603,0.046948356807511735,0.37549407114624506,0.0,0.0660377358490566,0.0,0.0,0.523936170212766,0.0,0.09389671361502347,0.6,0.013147134679499276,0.2222222222222222,0.04739336492890995,0.0,0.0,0.5630630630630631,0.3409090909090909,0.21057884231536927,0.0,0.0,0.0,0.7554585152838428,0.5662100456621004,0.016946377404830126,0.46208530805687204,0.7665369649805448,0.05910908052541405,0.515695067264574
fall2016-goldironhack-ditton,0.0,0.0,0.5691699604743083,0.055865921787709494,0.44036697247706424,0.0,0.07865168539325842,0.0,0.0,0.4297082228116711,0.0,0.11797752808988764,0.7222222222222222,0.010944772927412253,0.18092105263157895,0.05649717514124294,0.0,0.0,0.6648936170212766,0.41847826086956524,0.17313432835820897,0.0,0.0,0.0,0.7116279069767442,0.6349206349206349,0.013996889580093312,0.37825059101654845,0.627906976744186,0.05,0.6344086021505376
fall2016-goldironhack-zhao719,0.0,0.0,0.1793286219081272,0.010762331838565023,0.09632224168126094,0.0,0.013452914798206279,0.0,0.0,0.2990325417766051,0.0,0.017905102954341987,0.11627906976744186,0.06605665580345951,0.7430795847750865,0.008968609865470852,0.0,0.0,0.1159678858162355,0.07053571428571428,0.70863599677159,0.0,0.0,0.0,0.1526919682259488,0.11838565022421525,0.08491410893104291,0.33773087071240104,0.20496894409937888,0.21012591815320042,0.10695187165775401
fall2016-goldironhack-jwbalazs,0.0,0.0,0.6704980842911877,0.05069124423963134,0.3735408560311284,0.0,0.06944444444444445,0.0,0.0,0.5210526315789473,0.0,0.0967741935483871,0.593607305936073,0.01333417196050066,0.21967213114754097,0.046296296296296294,0.0,0.0,0.5575221238938053,0.3452914798206278,0.21314741035856574,0.0,0.0,0.0,0.7393162393162394,0.5398230088495575,0.01735571019238641,0.46352941176470586,0.7452471482889734,0.06023408506994005,0.5244444444444445
fall2016-goldironhack-tang227,0.0,0.0,0.22308546059933407,0.013605442176870748,0.15532879818594103,0.0,0.017006802721088437,0.0,0.0,0.393057110862262,0.0,0.02262443438914027,0.14949037372593432,0.05403028208833323,0.5714285714285714,0.011337868480725623,0.0,0.0,0.14382022471910114,0.09029345372460497,0.7096188747731398,0.0,0.0,0.0,0.20156774916013437,0.14446952595936793,0.07021415726663396,0.4375,0.2640449438202247,0.23763775077705568,0.13882618510158012
fall2016-goldironhack-ssandeep,0.0,0.0,0.692,0.04878048780487805,0.3877551020408163,0.0,0.06862745098039216,0.0,0.0,0.5026595744680851,0.0,0.0975609756097561,0.6231884057971014,0.01277131173324945,0.2160970231532525,0.04926108374384237,0.0,0.0,0.5841121495327103,0.35377358490566035,0.2025948103792415,0.0,0.0,0.0,0.7828054298642534,0.5876777251184834,0.016291444944740073,0.4431279620853081,0.7490196078431373,0.057428571428571426,0.5348837209302325
fall2016-goldironhack-steven91,0.0,0.0,0.5049751243781094,0.025839793281653745,0.23696682464454977,0.0,0.03626943005181347,0.0,0.0,0.7743467933491687,0.0,0.05167958656330749,0.33161953727506427,0.02396377130637147,0.37875536480686695,0.025974025974025976,0.0,0.0,0.3189873417721519,0.20256410256410257,0.378727634194831,0.0,0.0,0.0,0.4292803970223325,0.34285714285714286,0.030516239875644276,0.7775280898876404,0.5739348370927319,0.108162100456621,0.30279898218829515
fall2016-goldironhack-mingranli,0.0,0.0,0.4474885844748858,0.02403846153846154,0.22717149220489977,0.0,0.033734939759036145,0.0,0.0,0.7017543859649122,0.0,0.04807692307692308,0.3117505995203837,0.0259813789632612,0.3574380165289256,0.024154589371980676,0.0,0.0,0.29411764705882354,0.18854415274463007,0.3841642228739003,0.0,0.0,0.0,0.4302600472813239,0.2757009345794392,0.03339608741917001,0.6872427983539094,0.5279069767441861,0.10884353741496598,0.28199052132701424
fall2016-goldironhack-yifeitai,0.0,0.0,0.692,0.04878048780487805,0.3877551020408163,0.0,0.06862745098039216,0.0,0.0,0.5026595744680851,0.0,0.0975609756097561,0.6231884057971014,0.01277131173324945,0.2160970231532525,0.04926108374384237,0.0,0.0,0.5841121495327103,0.35377358490566035,0.2025948103792415,0.0,0.0,0.0,0.7828054298642534,0.5876777251184834,0.016291444944740073,0.4431279620853081,0.7490196078431373,0.057428571428571426,0.5348837209302325
fall2016-goldironhack-beichhor,0.0,0.0,0.2894736842105263,0.014025245441795231,0.14285714285714285,0.0,0.02109704641350211,0.0,0.0,0.46986301369863015,0.0,0.02949438202247191,0.18207282913165265,0.04302493561962188,0.6061814556331007,0.014064697609001406,0.0,0.0,0.17475728155339806,0.11033519553072625,0.6614936954413191,0.0,0.0,0.0,0.23731138545953362,0.17246175243393602,0.055718954248366016,0.4873501997336884,0.31767955801104975,0.1950596252129472,0.16550764951321278
