,fall2016-goldironhack-mlung,fall2016-goldironhack-ditton,fall2016-goldironhack-zhao719,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-tang227,fall2016-goldironhack-ssandeep,fall2016-goldironhack-steven91,fall2016-goldironhack-mingranli,fall2016-goldironhack-yifeitai,fall2016-goldironhack-beichhor,fall2016-goldironhack-peng115,fall2016-goldironhack-aorme,fall2016-goldironhack-gillism,fall2016-goldironhack-zhan2709,fall2016-goldironhack-andrewjst,fall2016-goldironhack-bfellur,fall2016-goldironhack-marti763,fall2016-goldironhack-hutchin5,fall2016-goldironhack-gardne16,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-michaelredding,fall2016-goldironhack-vtung,fall2016-goldironhack-zhan1046,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-yunhan,fall2016-goldironhack-zhe1994,fall2016-goldironhack-ravengao,fall2016-goldironhack-yexin,fall2016-goldironhack-mingchucong,fall2016-goldironhack-corpsefact
fall2016-goldironhack-mlung,1,0.8284714119019837,0.3271889400921659,0.7924107142857143,0.6489945155393053,0.857487922705314,0.7717391304347826,0.6489945155393053,0.8040770101925255,0.56215360253365,0.8049886621315193,0.8004509582863585,0.8040770101925255,0.8031674208144797,0.2980688497061293,0.738045738045738,0.8040770101925255,0.8040770101925255,0.8049886621315193,0.7513227513227513,0.8559322033898306,0.8040770101925255,0.7888888888888889,0.8040770101925255,0.5843621399176955,0.8040770101925255,0.5126760563380282,0.46405228758169936,0.7915273132664437,0.7836644591611479,0.24190800681431004
fall2016-goldironhack-ditton,0.8284714119019837,1,0.39493087557603684,0.9564732142857143,0.783363802559415,0.9661610268378062,0.9294245385450597,0.783363802559415,0.9683257918552036,0.6785431512272367,0.971655328798186,0.9661781285231116,0.9683257918552036,0.9672316384180791,0.35978169605373633,0.8908523908523909,0.9683257918552036,0.9683257918552036,0.971655328798186,0.904862579281184,0.9603267211201867,0.9683257918552036,0.9522222222222222,0.9683257918552036,0.7053497942386832,0.9683257918552036,0.42473745624270715,0.5601307189542484,0.955406911928651,0.9437706725468578,0.2919931856899489
fall2016-goldironhack-zhao719,0.3271889400921659,0.39493087557603684,1,0.4129032258064516,0.504147465437788,0.3815668202764977,0.423963133640553,0.5006896551724138,0.40691244239631336,0.5820276497695852,0.4064516129032258,0.40875576036866357,0.40691244239631336,0.4073732718894009,0.42205560762261796,0.4433179723502304,0.40691244239631336,0.40691244239631336,0.4064516129032258,0.43548387096774194,0.3792626728110599,0.40691244239631336,0.4147465437788018,0.40691244239631336,0.5599078341013825,0.40691244239631336,0.16774193548387098,0.7050691244239631,0.4133640552995392,0.41751152073732717,0.3974815220366822
fall2016-goldironhack-jwbalazs,0.7924107142857143,0.9564732142857143,0.4129032258064516,1,0.8074477747502271,0.9241071428571429,0.9611231101511879,0.8140382862351869,0.9832775919732442,0.7067193675889328,0.9821627647714605,0.9855233853006682,0.9832775919732442,0.9843924191750278,0.37615449202350965,0.921406411582213,0.9832775919732442,0.9832775919732442,0.9755555555555555,0.9460887949260042,0.9185267857142857,0.9832775919732442,0.9779735682819384,0.9832775919732442,0.7374485596707819,0.9832775919732442,0.40625,0.5856209150326798,0.974669603524229,0.9758771929824561,0.3052810902896082
fall2016-goldironhack-tang227,0.6489945155393053,0.783363802559415,0.504147465437788,0.8074477747502271,1,0.7568555758683729,0.8375912408759124,0.9209833187006146,0.8071297989031079,0.8500784929356358,0.7996357012750456,0.8107861060329068,0.8071297989031079,0.8080438756855576,0.45866554762903905,0.8707916287534122,0.8071297989031079,0.8071297989031079,0.7979981801637852,0.8419150858175248,0.7522851919561243,0.8071297989031079,0.8226691042047533,0.8071297989031079,0.9004115226337449,0.8071297989031079,0.3327239488117002,0.7150326797385621,0.819926873857404,0.8083182640144665,0.3727427597955707
fall2016-goldironhack-ssandeep,0.857487922705314,0.9661610268378062,0.3815668202764977,0.9241071428571429,0.7568555758683729,1,0.8979370249728555,0.7568555758683729,0.9355203619909502,0.6555819477434679,0.9387755102040817,0.9334836527621195,0.9355203619909502,0.9344632768361582,0.34760705289672544,0.8607068607068608,0.9355203619909502,0.9355203619909502,0.9387755102040817,0.8742071881606766,0.9939613526570048,0.9355203619909502,0.92,0.9355203619909502,0.6814814814814815,0.9355203619909502,0.4396135265700483,0.5411764705882353,0.9230769230769231,0.9139072847682119,0.28211243611584325
fall2016-goldironhack-steven91,0.7717391304347826,0.9294245385450597,0.423963133640553,0.9611231101511879,0.8375912408759124,0.8979370249728555,1,0.8409506398537477,0.9597826086956521,0.728424386381631,0.9481081081081081,0.9598698481561823,0.9597826086956521,0.9608695652173913,0.38623005877413935,0.9522821576763485,0.9597826086956521,0.9597826086956521,0.9439050701186623,0.9735449735449735,0.8945652173913043,0.9597826086956521,0.9739696312364425,0.9597826086956521,0.757201646090535,0.9597826086956521,0.39565217391304347,0.6013071895424836,0.9728555917480999,0.9446219382321619,0.313458262350937
fall2016-goldironhack-mingranli,0.6489945155393053,0.783363802559415,0.5006896551724138,0.8140382862351869,0.9209833187006146,0.7568555758683729,0.8409506398537477,1,0.8071297989031079,0.8144726712856043,0.7996357012750456,0.8091324200913242,0.8071297989031079,0.8080438756855576,0.4483333333333333,0.8759124087591241,0.8071297989031079,0.8071297989031079,0.7963636363636364,0.8536363636363636,0.7522851919561243,0.8071297989031079,0.8210045662100457,0.8071297989031079,0.8651050080775444,0.8071297989031079,0.3327239488117002,0.7094462540716613,0.819926873857404,0.8165304268846503,0.3727427597955707
fall2016-goldironhack-yifeitai,0.8040770101925255,0.9683257918552036,0.40691244239631336,0.9832775919732442,0.8071297989031079,0.9355203619909502,0.9597826086956521,0.8071297989031079,1,0.6991290577988916,0.9876126126126126,0.9954904171364148,1.0,0.998868778280543,0.3706968933669186,0.9178794178794178,1.0,1.0,0.9786995515695067,0.9343915343915344,0.9320498301245753,1.0,0.9811111111111112,1.0,0.7267489711934156,1.0,0.41223103057757643,0.5771241830065359,0.9843924191750278,0.9680968096809681,0.3008517887563884
fall2016-goldironhack-beichhor,0.56215360253365,0.6785431512272367,0.5820276497695852,0.7067193675889328,0.8500784929356358,0.6555819477434679,0.728424386381631,0.8144726712856043,0.6991290577988916,1,0.6943127962085308,0.7022961203483769,0.6991290577988916,0.6999208234362628,0.48714810281517745,0.7602848101265823,0.6991290577988916,0.6991290577988916,0.696993670886076,0.7413249211356467,0.6516231195566112,0.6991290577988916,0.7125890736342043,0.6991290577988916,0.9090909090909091,0.6991290577988916,0.28820269200316706,0.8231070496083551,0.7102137767220903,0.7092198581560284,0.4303236797274276
fall2016-goldironhack-peng115,0.8049886621315193,0.971655328798186,0.4064516129032258,0.9821627647714605,0.7996357012750456,0.9387755102040817,0.9481081081081081,0.7996357012750456,0.9876126126126126,0.6943127962085308,1,0.9854096520763187,0.9876126126126126,0.9865016872890888,0.36970205623164076,0.9089026915113871,0.9876126126126126,0.9876126126126126,0.9864864864864865,0.9312896405919662,0.9331065759637188,0.9876126126126126,0.9712389380530974,0.9876126126126126,0.725925925925926,0.9876126126126126,0.4126984126984127,0.5764705882352941,0.974472807991121,0.9691629955947136,0.300511073253833
fall2016-goldironhack-aorme,0.8004509582863585,0.9661781285231116,0.40875576036866357,0.9855233853006682,0.8107861060329068,0.9334836527621195,0.9598698481561823,0.8091324200913242,0.9954904171364148,0.7022961203483769,0.9854096520763187,1,0.9954904171364148,0.9966178128523112,0.3718002517834662,0.922037422037422,0.9954904171364148,0.9954904171364148,0.9787472035794184,0.9345300950369588,0.9278466741826381,0.9954904171364148,0.9855555555555555,0.9954904171364148,0.7300411522633745,0.9954904171364148,0.41037204058624577,0.5797385620915033,0.9866369710467706,0.9703296703296703,0.30221465076660986
fall2016-goldironhack-gillism,0.8040770101925255,0.9683257918552036,0.40691244239631336,0.9832775919732442,0.8071297989031079,0.9355203619909502,0.9597826086956521,0.8071297989031079,1.0,0.6991290577988916,0.9876126126126126,0.9954904171364148,1,0.998868778280543,0.3706968933669186,0.9178794178794178,1.0,1.0,0.9786995515695067,0.9343915343915344,0.9320498301245753,1.0,0.9811111111111112,1.0,0.7267489711934156,1.0,0.41223103057757643,0.5771241830065359,0.9843924191750278,0.9680968096809681,0.3008517887563884
fall2016-goldironhack-zhan2709,0.8031674208144797,0.9672316384180791,0.4073732718894009,0.9843924191750278,0.8080438756855576,0.9344632768361582,0.9608695652173913,0.8080438756855576,0.998868778280543,0.6999208234362628,0.9865016872890888,0.9966178128523112,0.998868778280543,1,0.3711167086481948,0.918918918918919,0.998868778280543,0.998868778280543,0.9776035834266518,0.9354497354497354,0.9309954751131222,0.998868778280543,0.9822222222222222,0.998868778280543,0.7275720164609053,0.998868778280543,0.4117647058823529,0.5777777777777777,0.9855072463768116,0.9691969196919692,0.3011925042589438
fall2016-goldironhack-andrewjst,0.2980688497061293,0.35978169605373633,0.42205560762261796,0.37615449202350965,0.45866554762903905,0.34760705289672544,0.38623005877413935,0.4483333333333333,0.3706968933669186,0.48714810281517745,0.36970205623164076,0.3718002517834662,0.3706968933669186,0.3711167086481948,1,0.40268456375838924,0.3706968933669186,0.3706968933669186,0.36797988264878456,0.39555369127516776,0.34550797649034426,0.3706968933669186,0.3772555602182123,0.3706968933669186,0.5018789144050104,0.3706968933669186,0.1528127623845508,0.4607916355489171,0.3765743073047859,0.37803855825649624,0.8115843270868824
fall2016-goldironhack-bfellur,0.738045738045738,0.8908523908523909,0.4433179723502304,0.921406411582213,0.8707916287534122,0.8607068607068608,0.9522821576763485,0.8759124087591241,0.9178794178794178,0.7602848101265823,0.9089026915113871,0.922037422037422,0.9178794178794178,0.918918918918919,0.40268456375838924,1,0.9178794178794178,0.9178794178794178,0.9089026915113871,0.9538934426229508,0.8555093555093555,0.9178794178794178,0.9335410176531672,0.9178794178794178,0.7917695473251029,0.9178794178794178,0.3783783783783784,0.6287581699346405,0.9324324324324325,0.9022403258655805,0.32776831345826235
