,fall2016-goldironhack-mlung,fall2016-goldironhack-ditton,fall2016-goldironhack-zhao719,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-tang227,fall2016-goldironhack-ssandeep,fall2016-goldironhack-steven91,fall2016-goldironhack-mingranli,fall2016-goldironhack-yifeitai,fall2016-goldironhack-beichhor,fall2016-goldironhack-peng115,fall2016-goldironhack-aorme,fall2016-goldironhack-gillism,fall2016-goldironhack-zhan2709,fall2016-goldironhack-andrewjst,fall2016-goldironhack-bfellur,fall2016-goldironhack-marti763,fall2016-goldironhack-hutchin5,fall2016-goldironhack-gardne16,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-michaelredding,fall2016-goldironhack-vtung,fall2016-goldironhack-zhan1046,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-yunhan,fall2016-goldironhack-zhe1994,fall2016-goldironhack-ravengao,fall2016-goldironhack-yexin,fall2016-goldironhack-mingchucong,fall2016-goldironhack-corpsefact
fall2016-goldironhack-mlung,1,0.8301886792452831,0.24225028702640644,0.9321266968325792,0.5024038461538461,0.6933962264150944,0.8636363636363636,0.5024038461538461,0.9620853080568721,0.3595890410958904,0.9299065420560748,0.9624413145539906,0.9620853080568721,0.966824644549763,0.12389900176159718,0.7359154929577465,0.9620853080568721,0.9620853080568721,0.8944954128440367,0.8443396226415094,0.6777251184834123,0.9620853080568721,0.9414414414414415,0.9620853080568721,0.8045977011494253,0.9620853080568721,0.5753424657534246,0.24823529411764705,0.954337899543379,0.8836206896551724,0.09356984478935698
fall2016-goldironhack-ditton,0.8301886792452831,1,0.20321469575200918,0.8194444444444444,0.427536231884058,0.8361581920903954,0.7302904564315352,0.427536231884058,0.8627450980392157,0.30360205831903947,0.8762376237623762,0.855072463768116,0.8627450980392157,0.8585365853658536,0.10393423370522607,0.6276595744680851,0.8627450980392157,0.8627450980392157,0.8762376237623762,0.9402173913043478,0.807909604519774,0.8627450980392157,0.8045454545454546,0.8627450980392157,0.6807692307692308,0.8627450980392157,0.4781420765027322,0.20823529411764705,0.815668202764977,0.775330396475771,0.07849223946784922
fall2016-goldironhack-zhao719,0.24225028702640644,0.20321469575200918,1,0.24799081515499427,0.4602272727272727,0.16991963260619977,0.2755453501722158,0.4198895027624309,0.2330654420206659,0.669345579793341,0.23191733639494833,0.23765786452353616,0.2330654420206659,0.23421354764638347,0.2704837117472853,0.3237657864523536,0.2330654420206659,0.2330654420206659,0.23191733639494833,0.2066590126291619,0.16417910447761194,0.2330654420206659,0.2525832376578645,0.2330654420206659,0.2852272727272727,0.2330654420206659,0.4114285714285714,0.9122222222222223,0.24913892078071181,0.25947187141216993,0.25491770373344036
fall2016-goldironhack-jwbalazs,0.9321266968325792,0.8194444444444444,0.24799081515499427,1,0.49643705463182897,0.6851851851851852,0.8536585365853658,0.5107913669064749,0.9308755760368663,0.3658119658119658,0.9262672811059908,0.9403669724770642,0.9308755760368663,0.9354838709677419,0.1268349970640047,0.735191637630662,0.9308755760368663,0.9308755760368663,0.9,0.8333333333333334,0.6620370370370371,0.9308755760368663,0.9122807017543859,0.9308755760368663,0.816793893129771,0.9308755760368663,0.5846994535519126,0.2541176470588235,0.8991228070175439,0.9051724137931034,0.09578713968957872
fall2016-goldironhack-tang227,0.5024038461538461,0.427536231884058,0.4602272727272727,0.49643705463182897,1,0.357487922705314,0.5721153846153846,0.803921568627451,0.49033816425120774,0.6784511784511784,0.47368421052631576,0.5,0.49033816425120774,0.4927536231884058,0.24237089201877934,0.6610978520286396,0.49033816425120774,0.49033816425120774,0.4701670644391408,0.43478260869565216,0.34541062801932365,0.49033816425120774,0.5314009661835749,0.49033816425120774,0.5971563981042654,0.49033816425120774,0.776255707762557,0.48705882352941177,0.5241545893719807,0.5023474178403756,0.1835920177383592
fall2016-goldironhack-ssandeep,0.6933962264150944,0.8361581920903954,0.16991963260619977,0.6851851851851852,0.357487922705314,1,0.6099585062240664,0.357487922705314,0.7205882352941176,0.2538593481989708,0.7326732673267327,0.714975845410628,0.7205882352941176,0.7170731707317073,0.08690546095126248,0.524822695035461,0.7205882352941176,0.7205882352941176,0.7326732673267327,0.8121546961325967,0.9662162162162162,0.7205882352941176,0.6727272727272727,0.7205882352941176,0.5692307692307692,0.7205882352941176,0.3989071038251366,0.17411764705882352,0.6820276497695853,0.6548672566371682,0.06563192904656319
fall2016-goldironhack-steven91,0.8636363636363636,0.7302904564315352,0.2755453501722158,0.8536585365853658,0.5721153846153846,0.6099585062240664,1,0.5797101449275363,0.8458333333333333,0.411663807890223,0.8040816326530612,0.8471074380165289,0.8458333333333333,0.85,0.14092777451556077,0.8380281690140845,0.8458333333333333,0.8458333333333333,0.7894736842105263,0.75,0.5958333333333333,0.8458333333333333,0.9008264462809917,0.8458333333333333,0.9157088122605364,0.8458333333333333,0.6547945205479452,0.2823529411764706,0.8962655601659751,0.7992277992277992,0.10643015521064302
fall2016-goldironhack-mingranli,0.5024038461538461,0.427536231884058,0.4198895027624309,0.5107913669064749,0.803921568627451,0.357487922705314,0.5797101449275363,1,0.49033816425120774,0.6106623586429726,0.47368421052631576,0.4963855421686747,0.49033816425120774,0.4927536231884058,0.23009877977919815,0.6730769230769231,0.49033816425120774,0.49033816425120774,0.4666666666666667,0.43478260869565216,0.34541062801932365,0.49033816425120774,0.5277108433734939,0.49033816425120774,0.6085918854415274,0.49033816425120774,0.8305882352941176,0.4783625730994152,0.5241545893719807,0.5201900237529691,0.1835920177383592
fall2016-goldironhack-yifeitai,0.9620853080568721,0.8627450980392157,0.2330654420206659,0.9308755760368663,0.49033816425120774,0.7205882352941176,0.8458333333333333,0.49033816425120774,1,0.3481989708404803,0.9471153846153846,0.9806763285024155,1.0,0.9950980392156863,0.11920140927774515,0.7198581560283688,1.0,1.0,0.910377358490566,0.8774509803921569,0.7044334975369458,1.0,0.9227272727272727,1.0,0.7807692307692308,1.0,0.5534246575342465,0.2388235294117647,0.9354838709677419,0.8733624454148472,0.09002217294900222
fall2016-goldironhack-beichhor,0.3595890410958904,0.30360205831903947,0.669345579793341,0.3658119658119658,0.6784511784511784,0.2538593481989708,0.411663807890223,0.6106623586429726,0.3481989708404803,1,0.3395904436860068,0.35506003430531735,0.3481989708404803,0.34991423670668953,0.29079616036137773,0.4811643835616438,0.3481989708404803,0.3481989708404803,0.3441780821917808,0.30874785591766724,0.24528301886792453,0.3481989708404803,0.37735849056603776,0.3481989708404803,0.41919191919191917,0.3481989708404803,0.5862646566164154,0.681924882629108,0.37221269296740994,0.3735144312393888,0.25853658536585367
