,2016greenironhack-taycurt17,2016greenironhack-lheston,2016greenironhack-dengc,2016greenironhack-lostkuma,2016greenironhack-crloflin,2016greenironhack-meetalivaidya,2016greenironhack-sabrina-hsu,2016greenironhack-aterriqu,2016greenironhack-prachitamane,2016greenironhack-mgogte,2016greenironhack-Christyyy,2016greenironhack-pmittal115,2016greenironhack-ankitbatheja,2016greenironhack-patrickherrod,2016greenironhack-pjt90,2016greenironhack-cgrieger12,2016greenironhack-wluan,2016greenironhack-MegamindHenry,2016greenironhack-abelal16,2016greenironhack-jeffkeilmann,2016greenironhack-ishwetasingh,2016greenironhack-huayifang,2016greenironhack-ccand93,2016greenironhack-shiboo18,2016greenironhack-tanmayee123,2016greenironhack-sauravn
2016greenironhack-taycurt17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-lheston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-dengc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-lostkuma,0.375,0.6666666666666666,0.23076923076923078,0.14285714285714285,0.5,0.6,0.75,0.6,0.075,0.0,0.75,0.5,0.15,0.006666666666666667,0.6666666666666666,0.5,0.21428571428571427,0.16666666666666666,0.6,0.0,0.03333333333333333,0.75,0.0,0.0,0.375,0.0025974025974025974
2016greenironhack-crloflin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-meetalivaidya,0.05517241379310345,0.013793103448275862,0.0896551724137931,0.14482758620689656,0.041379310344827586,0.034482758620689655,0.027586206896551724,0.034482758620689655,0.27586206896551724,0.0,0.027586206896551724,0.041379310344827586,0.08552631578947369,0.3076923076923077,0.013793103448275862,0.041379310344827586,0.07432432432432433,0.012987012987012988,0.034482758620689655,0.0,0.25668449197860965,0.027586206896551724,0.0,0.0,0.05517241379310345,0.12554112554112554
2016greenironhack-sabrina-hsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-aterriqu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-prachitamane,0.625,0.4,0.38461538461538464,0.13043478260869565,0.8333333333333334,1.0,0.8,1.0,0.125,0.0,0.8,0.8333333333333334,0.25,0.011111111111111112,0.4,0.8333333333333334,0.35714285714285715,0.14285714285714285,1.0,0.0,0.05555555555555555,0.8,0.0,0.0,0.625,0.004329004329004329
2016greenironhack-mgogte,0.5,0.5,0.3076923076923077,0.13636363636363635,0.6666666666666666,0.8,1.0,0.8,0.1,0.0,1.0,0.6666666666666666,0.2,0.008888888888888889,0.5,0.6666666666666666,0.2857142857142857,0.15384615384615385,0.8,0.0,0.044444444444444446,1.0,0.0,0.0,0.5,0.003463203463203463
2016greenironhack-Christyyy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-pmittal115,0.375,0.6666666666666666,0.23076923076923078,0.14285714285714285,0.5,0.6,0.75,0.6,0.075,0.0,0.75,0.5,0.15,0.006666666666666667,0.6666666666666666,0.5,0.21428571428571427,0.16666666666666666,0.6,0.0,0.03333333333333333,0.75,0.0,0.0,0.375,0.0025974025974025974
2016greenironhack-ankitbatheja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-patrickherrod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-pjt90,0.25,1.0,0.15384615384615385,0.09523809523809523,0.3333333333333333,0.4,0.5,0.4,0.05,0.0,0.5,0.3333333333333333,0.1,0.0044444444444444444,1.0,0.3333333333333333,0.14285714285714285,0.18181818181818182,0.4,0.0,0.022222222222222223,0.5,0.0,0.0,0.25,0.0017316017316017316
2016greenironhack-cgrieger12,0.2962962962962963,0.07407407407407407,0.48148148148148145,0.11627906976744186,0.2222222222222222,0.18518518518518517,0.14814814814814814,0.18518518518518517,0.17543859649122806,0.0,0.14814814814814814,0.2222222222222222,0.6206896551724138,0.019230769230769232,0.07407407407407407,0.2222222222222222,0.5185185185185185,0.08571428571428572,0.18518518518518517,0.0,0.08333333333333333,0.14814814814814814,0.0,0.0,0.2962962962962963,0.02249134948096886
2016greenironhack-wluan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-MegamindHenry,0.15384615384615385,0.09090909090909091,0.20689655172413793,0.9545454545454546,0.16666666666666666,0.17391304347826086,0.18181818181818182,0.17391304347826086,0.55,0.0,0.18181818181818182,0.16666666666666666,0.13513513513513514,0.04424778761061947,0.09090909090909091,0.16666666666666666,0.125,0.06451612903225806,0.17391304347826086,0.0,0.23076923076923078,0.18181818181818182,0.0,0.0,0.2,0.01904761904761905
2016greenironhack-abelal16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-jeffkeilmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-ishwetasingh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-huayifang,0.375,0.6666666666666666,0.23076923076923078,0.14285714285714285,0.5,0.6,0.75,0.6,0.075,0.0,0.75,0.5,0.15,0.006666666666666667,0.6666666666666666,0.5,0.21428571428571427,0.16666666666666666,0.6,0.0,0.03333333333333333,0.75,0.0,0.0,0.375,0.0025974025974025974
2016greenironhack-ccand93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0
2016greenironhack-shiboo18,0.21428571428571427,0.2222222222222222,0.15789473684210525,0.42857142857142855,0.25,0.2727272727272727,0.3,0.2727272727272727,0.225,0.0,0.3,0.25,0.16,0.02,0.2222222222222222,0.25,0.15,0.1111111111111111,0.2727272727272727,0.0,0.1,0.3,0.0,0.0,0.21428571428571427,0.007792207792207792
2016greenironhack-tanmayee123,0.625,0.4,0.38461538461538464,0.13043478260869565,0.8333333333333334,1.0,0.8,1.0,0.125,0.0,0.8,0.8333333333333334,0.25,0.011111111111111112,0.4,0.8333333333333334,0.35714285714285715,0.14285714285714285,1.0,0.0,0.05555555555555555,0.8,0.0,0.0,0.625,0.004329004329004329
2016greenironhack-sauravn,0.2,0.2,0.2777777777777778,0.34782608695652173,0.23076923076923078,0.25,0.2727272727272727,0.25,0.19047619047619047,0.0,0.2727272727272727,0.23076923076923078,0.15384615384615385,0.01545253863134658,0.2,0.23076923076923078,0.14285714285714285,0.16666666666666666,0.25,0.0,0.08695652173913043,0.2727272727272727,0.0,0.0,0.2857142857142857,0.008658008658008658
