,2016greenironhack-taycurt17,2016greenironhack-lheston,2016greenironhack-dengc,2016greenironhack-lostkuma,2016greenironhack-crloflin,2016greenironhack-meetalivaidya,2016greenironhack-sabrina-hsu,2016greenironhack-aterriqu,2016greenironhack-prachitamane,2016greenironhack-mgogte,2016greenironhack-Christyyy,2016greenironhack-pmittal115,2016greenironhack-ankitbatheja,2016greenironhack-patrickherrod,2016greenironhack-pjt90,2016greenironhack-cgrieger12,2016greenironhack-wluan,2016greenironhack-MegamindHenry,2016greenironhack-abelal16,2016greenironhack-jeffkeilmann,2016greenironhack-ishwetasingh,2016greenironhack-huayifang,2016greenironhack-ccand93,2016greenironhack-shiboo18,2016greenironhack-tanmayee123,2016greenironhack-sauravn
2016greenironhack-taycurt17,0.125,0.0,0.4444444444444444,0.5,1.0,0.6666666666666666,0.375,0.625,0.8888888888888888,0.0,0.875,0.15625,0.03,0.08333333333333333,0.0,0.625,0.7272727272727273,0.0,0.625,0.25,0.0,0.2222222222222222,0.0,0.0,0.0,0.11594202898550725
2016greenironhack-lheston,0.5,0.0,0.1111111111111111,0.2857142857142857,0.25,0.16666666666666666,0.6666666666666666,0.4,0.2222222222222222,0.0,0.2857142857142857,0.06896551724137931,0.021052631578947368,0.16666666666666666,0.0,0.4,0.18181818181818182,0.0,0.4,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.028985507246376812
2016greenironhack-dengc,0.07692307692307693,0.0,0.55,0.3333333333333333,0.6153846153846154,0.7857142857142857,0.23076923076923078,0.38461538461538464,0.6923076923076923,0.0,0.5384615384615384,0.16666666666666666,0.02857142857142857,0.058823529411764705,0.0,0.38461538461538464,0.8461538461538461,0.0,0.38461538461538464,0.15384615384615385,0.0,0.17391304347826086,0.0,0.0,0.0,0.18840579710144928
2016greenironhack-lostkuma,0.029411764705882353,0.0,0.23809523809523808,0.20588235294117646,0.23529411764705882,0.2777777777777778,0.08823529411764706,0.14705882352941177,0.2647058823529412,0.0,0.20588235294117646,0.8529411764705882,0.2169811320754717,0.08333333333333333,0.0,0.14705882352941177,0.2857142857142857,0.0,0.14705882352941177,0.058823529411764705,0.0,0.2972972972972973,0.0,0.0,0.0,0.33766233766233766
2016greenironhack-crloflin,0.1111111111111111,0.0,0.5,0.45454545454545453,0.8888888888888888,0.75,0.3333333333333333,0.5555555555555556,1.0,0.0,0.7777777777777778,0.15151515151515152,0.0297029702970297,0.07692307692307693,0.0,0.5555555555555556,0.8181818181818182,0.0,0.5555555555555556,0.2222222222222222,0.0,0.21052631578947367,0.0,0.0,0.0,0.13043478260869565
2016greenironhack-meetalivaidya,0.038461538461538464,0.0,0.375,0.17857142857142858,0.3076923076923077,0.46153846153846156,0.11538461538461539,0.19230769230769232,0.34615384615384615,0.0,0.2692307692307692,0.5277777777777778,0.16346153846153846,0.06896551724137931,0.0,0.19230769230769232,0.4230769230769231,0.0,0.19230769230769232,0.07692307692307693,0.0,0.21212121212121213,0.0,0.0,0.0,0.3380281690140845
2016greenironhack-sabrina-hsu,0.25,0.0,0.2222222222222222,0.5714285714285714,0.5,0.3333333333333333,0.75,0.8,0.4444444444444444,0.0,0.5714285714285714,0.13793103448275862,0.03125,0.125,0.0,0.8,0.36363636363636365,0.0,0.8,0.5,0.0,0.2857142857142857,0.0,0.0,0.0,0.057971014492753624
2016greenironhack-aterriqu,0.1,0.0,0.5555555555555556,0.4166666666666667,0.8,0.8333333333333334,0.3,0.5,0.9,0.0,0.7,0.14705882352941177,0.029411764705882353,0.07142857142857142,0.0,0.5,0.9090909090909091,0.0,0.5,0.2,0.0,0.2,0.0,0.0,0.0,0.14492753623188406
2016greenironhack-prachitamane,0.037037037037037035,0.0,0.40625,0.1724137931034483,0.2962962962962963,0.4444444444444444,0.1111111111111111,0.18518518518518517,0.3333333333333333,0.0,0.25925925925925924,0.5135135135135135,0.1619047619047619,0.06666666666666667,0.0,0.18518518518518517,0.4074074074074074,0.0,0.18518518518518517,0.07407407407407407,0.0,0.20588235294117646,0.0,0.0,0.0,0.352112676056338
2016greenironhack-mgogte,0.25,0.0,0.2222222222222222,0.5714285714285714,0.5,0.3333333333333333,0.75,0.8,0.4444444444444444,0.0,0.5714285714285714,0.13793103448275862,0.03125,0.125,0.0,0.8,0.36363636363636365,0.0,0.8,0.5,0.0,0.2857142857142857,0.0,0.0,0.0,0.057971014492753624
