,2016greenironhack-taycurt17,2016greenironhack-lheston,2016greenironhack-dengc,2016greenironhack-lostkuma,2016greenironhack-crloflin,2016greenironhack-meetalivaidya,2016greenironhack-sabrina-hsu,2016greenironhack-aterriqu,2016greenironhack-prachitamane,2016greenironhack-mgogte,2016greenironhack-Christyyy,2016greenironhack-pmittal115,2016greenironhack-ankitbatheja,2016greenironhack-patrickherrod,2016greenironhack-pjt90,2016greenironhack-cgrieger12,2016greenironhack-wluan,2016greenironhack-MegamindHenry,2016greenironhack-abelal16,2016greenironhack-jeffkeilmann,2016greenironhack-ishwetasingh,2016greenironhack-huayifang,2016greenironhack-ccand93,2016greenironhack-shiboo18,2016greenironhack-tanmayee123,2016greenironhack-sauravn
2016greenironhack-taycurt17,1,0.25,0.2413793103448276,0.05555555555555555,0.1875,0.012738853503184714,0.3,0.4375,0.07142857142857142,0.3333333333333333,0.3076923076923077,0.12121212121212122,0.05405405405405406,0.0036363636363636364,0.25,0.10294117647058823,0.35,0.07692307692307693,0.4,0.0,0.0065040650406504065,0.2631578947368421,0.0,0.13333333333333333,0.14285714285714285,0.004807692307692308
2016greenironhack-lheston,0.25,1,0.07142857142857142,0.03225806451612903,0.18181818181818182,0.006578947368421052,0.4,0.13333333333333333,0.038461538461538464,0.5,0.2222222222222222,0.03333333333333333,0.01834862385321101,0.001834862385321101,0.3333333333333333,0.029850746268656716,0.10526315789473684,0.058823529411764705,0.15384615384615385,0.0,0.0032733224222585926,0.125,0.0,0.1,0.05,0.0013745704467353953
2016greenironhack-dengc,0.2413793103448276,0.07142857142857142,1,0.05454545454545454,0.18181818181818182,0.022857142857142857,0.17857142857142858,0.43333333333333335,0.15942028985507245,0.14285714285714285,0.32142857142857145,0.09615384615384616,0.0873015873015873,0.0035087719298245615,0.07142857142857142,0.26666666666666666,0.5161290322580645,0.06896551724137931,0.36666666666666664,0.07142857142857142,0.028985507246376812,0.15789473684210525,0.0,0.05714285714285714,0.13333333333333333,0.012978142076502733
2016greenironhack-lostkuma,0.05555555555555555,0.03225806451612903,0.05454545454545454,1,0.07894736842105263,0.16025641025641027,0.09375,0.07142857142857142,0.30158730158730157,0.0967741935483871,0.08333333333333333,0.84375,0.18803418803418803,0.04553734061930783,0.03225806451612903,0.24358974358974358,0.06521739130434782,0.391304347826087,0.13157894736842105,0.0,0.043973941368078175,0.24324324324324326,0.0,0.25806451612903225,0.2962962962962963,0.019917582417582416
2016greenironhack-crloflin,0.1875,0.18181818181818182,0.18181818181818182,0.07894736842105263,1,0.02531645569620253,0.45454545454545453,0.18181818181818182,0.10526315789473684,0.36363636363636365,0.42857142857142855,0.08108108108108109,0.02564102564102564,0.003616636528028933,0.18181818181818182,0.13043478260869565,0.2,0.0975609756097561,0.2,0.18181818181818182,0.013029315960912053,0.125,0.0,0.1111111111111111,0.0851063829787234,0.007560137457044674
2016greenironhack-meetalivaidya,0.012738853503184714,0.006578947368421052,0.022857142857142857,0.16025641025641027,0.02531645569620253,1,0.0196078431372549,0.018404907975460124,0.23780487804878048,0.019736842105263157,0.02564102564102564,0.15384615384615385,0.5757575757575758,0.24329159212880144,0.006578947368421052,0.20441988950276244,0.017964071856287425,0.12804878048780488,0.025,0.006578947368421052,0.24306688417618272,0.056962025316455694,0.0,0.05263157894736842,0.22435897435897437,0.1
2016greenironhack-sabrina-hsu,0.3,0.4,0.17857142857142858,0.09375,0.45454545454545453,0.0196078431372549,1,0.25,0.09615384615384616,0.8,0.5555555555555556,0.0967741935483871,0.02702702702702703,0.003656307129798903,0.4,0.07462686567164178,0.2,0.11428571428571428,0.2857142857142857,0.16666666666666666,0.008183306055646482,0.16666666666666666,0.0,0.16666666666666666,0.07142857142857142,0.003436426116838488
2016greenironhack-aterriqu,0.4375,0.13333333333333333,0.43333333333333335,0.07142857142857142,0.18181818181818182,0.018404907975460124,0.25,1,0.11666666666666667,0.26666666666666666,0.3333333333333333,0.1282051282051282,0.06896551724137931,0.003590664272890485,0.13333333333333333,0.22388059701492538,0.4782608695652174,0.08888888888888889,0.47368421052631576,0.0,0.00967741935483871,0.19230769230769232,0.0,0.09090909090909091,0.12244897959183673,0.009615384615384616
2016greenironhack-prachitamane,0.07142857142857142,0.038461538461538464,0.15942028985507245,0.30158730158730157,0.10526315789473684,0.23780487804878048,0.09615384615384616,0.11666666666666667,1,0.07692307692307693,0.17307692307692307,0.2857142857142857,0.2578125,0.060498220640569395,0.038461538461538464,0.5866666666666667,0.18333333333333332,0.34375,0.14035087719298245,0.038461538461538464,0.07980456026058631,0.11475409836065574,0.0,0.17307692307692307,0.6727272727272727,0.033607681755829906
2016greenironhack-mgogte,0.3333333333333333,0.5,0.14285714285714285,0.0967741935483871,0.36363636363636365,0.019736842105263157,0.8,0.26666666666666666,0.07692307692307693,1,0.4444444444444444,0.1,0.02727272727272727,0.003663003663003663,0.5,0.05970149253731343,0.15,0.11764705882352941,0.3076923076923077,0.0,0.006546644844517185,0.17647058823529413,0.0,0.18181818181818182,0.07317073170731707,0.0027491408934707906
2016greenironhack-Christyyy,0.3076923076923077,0.2222222222222222,0.32142857142857145,0.08333333333333333,0.42857142857142855,0.02564102564102564,0.5555555555555556,0.3333333333333333,0.17307692307692307,0.4444444444444444,1,0.11764705882352941,0.03508771929824561,0.003629764065335753,0.2222222222222222,0.13432835820895522,0.3333333333333333,0.10256410256410256,0.375,0.2222222222222222,0.011419249592169658,0.19047619047619047,0.0,0.125,0.11363636363636363,0.006185567010309278
2016greenironhack-pmittal115,0.12121212121212122,0.03333333333333333,0.09615384615384616,0.84375,0.08108108108108109,0.15384615384615385,0.0967741935483871,0.1282051282051282,0.2857142857142857,0.1,0.11764705882352941,1,0.21052631578947367,0.04371584699453552,0.03333333333333333,0.2631578947368421,0.09090909090909091,0.4,0.16666666666666666,0.0,0.04234527687296417,0.3235294117647059,0.0,0.26666666666666666,0.35294117647058826,0.019230769230769232
2016greenironhack-ankitbatheja,0.05405405405405406,0.01834862385321101,0.0873015873015873,0.18803418803418803,0.02564102564102564,0.5757575757575758,0.02702702702702703,0.06896551724137931,0.2578125,0.02727272727272727,0.03508771929824561,0.21052631578947367,1,0.17235188509874327,0.01834862385321101,0.2571428571428571,0.06666666666666667,0.1349206349206349,0.06086956521739131,0.0,0.16693679092382496,0.11607142857142858,0.0,0.07272727272727272,0.2956521739130435,0.06903622693096377
