,2016greenironhack-taycurt17,2016greenironhack-lheston,2016greenironhack-dengc,2016greenironhack-lostkuma,2016greenironhack-crloflin,2016greenironhack-meetalivaidya,2016greenironhack-sabrina-hsu,2016greenironhack-aterriqu,2016greenironhack-prachitamane,2016greenironhack-mgogte,2016greenironhack-Christyyy,2016greenironhack-pmittal115,2016greenironhack-ankitbatheja,2016greenironhack-patrickherrod,2016greenironhack-pjt90,2016greenironhack-cgrieger12,2016greenironhack-wluan,2016greenironhack-MegamindHenry,2016greenironhack-abelal16,2016greenironhack-jeffkeilmann,2016greenironhack-ishwetasingh,2016greenironhack-huayifang,2016greenironhack-ccand93,2016greenironhack-shiboo18,2016greenironhack-tanmayee123,2016greenironhack-sauravn
2016greenironhack-taycurt17,1,0.25,0.3125,0.024390243902439025,0.21428571428571427,0.0625,0.2,0.6363636363636364,0.12903225806451613,0.3333333333333333,0.1111111111111111,0.3,0.3333333333333333,0.0037174721189591076,0.25,0.16279069767441862,0.35714285714285715,0.23076923076923078,0.35714285714285715,0.0,0.011029411764705883,0.5,0.0,0.13333333333333333,0.25,0.00530705079605762
2016greenironhack-lheston,0.25,1,0.15384615384615385,0.0,0.2222222222222222,0.037037037037037035,0.2,0.2,0.07407407407407407,0.5,0.0,0.4,0.1,0.001876172607879925,0.3333333333333333,0.047619047619047616,0.18181818181818182,0.25,0.18181818181818182,0.0,0.00749063670411985,0.2857142857142857,0.0,0.1,0.09090909090909091,0.0015174506828528073
2016greenironhack-dengc,0.3125,0.15384615384615385,1,0.06818181818181818,0.375,0.14705882352941177,0.3076923076923077,0.4375,0.2903225806451613,0.3076923076923077,0.15384615384615385,0.2857142857142857,0.2222222222222222,0.003683241252302026,0.15384615384615385,0.30952380952380953,0.6,0.23529411764705882,0.6,0.0,0.02564102564102564,0.42857142857142855,0.0,0.1,0.25,0.009097801364670205
2016greenironhack-lostkuma,0.024390243902439025,0.0,0.06818181818181818,1,0.04878048780487805,0.4634146341463415,0.05555555555555555,0.047619047619047616,0.38636363636363635,0.05555555555555555,0.058823529411764705,0.05405405405405406,0.038461538461538464,0.0423572744014733,0.02857142857142857,0.3103448275862069,0.022727272727272728,0.07692307692307693,0.0975609756097561,0.0,0.08664259927797834,0.025,0.0,0.19444444444444445,0.36585365853658536,0.0226928895612708
2016greenironhack-crloflin,0.21428571428571427,0.2222222222222222,0.375,0.04878048780487805,1,0.12903225806451613,0.4444444444444444,0.26666666666666666,0.2,0.4444444444444444,0.2222222222222222,0.2727272727272727,0.11538461538461539,0.0037105751391465678,0.2222222222222222,0.13333333333333333,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.0,0.022222222222222223,0.23076923076923078,0.0,0.125,0.14814814814814814,0.006828528072837633
2016greenironhack-meetalivaidya,0.0625,0.037037037037037035,0.14705882352941177,0.4634146341463415,0.12903225806451613,1,0.07142857142857142,0.09090909090909091,0.6060606060606061,0.1111111111111111,0.07692307692307693,0.06896551724137931,0.06976744186046512,0.02952029520295203,0.037037037037037035,0.4166666666666667,0.12121212121212122,0.0967741935483871,0.15625,0.0,0.07326007326007326,0.06451612903225806,0.0,0.2962962962962963,0.5483870967741935,0.015105740181268883
2016greenironhack-sabrina-hsu,0.2,0.2,0.3076923076923077,0.05555555555555555,0.4444444444444444,0.07142857142857142,1,0.2727272727272727,0.14814814814814814,0.6,0.5,0.2857142857142857,0.09090909090909091,0.001869158878504673,0.5,0.09523809523809523,0.25,0.3333333333333333,0.25,0.0,0.0149812734082397,0.2222222222222222,0.0,0.08333333333333333,0.08333333333333333,0.0030349013657056147
2016greenironhack-aterriqu,0.6363636363636364,0.2,0.4375,0.047619047619047616,0.26666666666666666,0.09090909090909091,0.2727272727272727,1,0.1935483870967742,0.4,0.2,0.25,0.42857142857142855,0.003703703703703704,0.2,0.23809523809523808,0.4,0.2857142857142857,0.4,0.0,0.014652014652014652,0.5454545454545454,0.0,0.11764705882352941,0.23076923076923078,0.006823351023502654
2016greenironhack-prachitamane,0.12903225806451613,0.07407407407407407,0.2903225806451613,0.38636363636363635,0.2,0.6060606060606061,0.14814814814814814,0.1935483870967742,1,0.14814814814814814,0.07407407407407407,0.10344827586206896,0.14634146341463414,0.03136531365313653,0.07407407407407407,0.5681818181818182,0.35714285714285715,0.12903225806451613,0.22580645161290322,0.0,0.08487084870848709,0.1724137931034483,0.0,0.3333333333333333,0.6333333333333333,0.018168054504163512
2016greenironhack-mgogte,0.3333333333333333,0.5,0.3076923076923077,0.05555555555555555,0.4444444444444444,0.1111111111111111,0.6,0.4,0.14814814814814814,1,0.5,0.5,0.14285714285714285,0.003745318352059925,0.5,0.09523809523809523,0.25,0.5,0.36363636363636365,0.0,0.0149812734082397,0.375,0.0,0.18181818181818182,0.13043478260869565,0.0030349013657056147
2016greenironhack-Christyyy,0.1111111111111111,0.0,0.15384615384615385,0.058823529411764705,0.2222222222222222,0.07692307692307693,0.5,0.2,0.07407407407407407,0.5,1,0.16666666666666666,0.047619047619047616,0.001876172607879925,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.25,0.18181818181818182,0.0,0.00749063670411985,0.125,0.0,0.1,0.043478260869565216,0.0015174506828528073
2016greenironhack-pmittal115,0.3,0.4,0.2857142857142857,0.05405405405405406,0.2727272727272727,0.06896551724137931,0.2857142857142857,0.25,0.10344827586206896,0.5,0.16666666666666666,1,0.13636363636363635,0.003738317757009346,0.4,0.09302325581395349,0.23076923076923078,0.4444444444444444,0.3333333333333333,0.0,0.011152416356877323,0.3333333333333333,0.0,0.16666666666666666,0.17391304347826086,0.003032600454890068
2016greenironhack-ankitbatheja,0.3333333333333333,0.1,0.2222222222222222,0.038461538461538464,0.11538461538461539,0.06976744186046512,0.09090909090909091,0.42857142857142855,0.14634146341463414,0.14285714285714285,0.047619047619047616,0.13636363636363635,1,0.0072992700729927005,0.1,0.24,0.24,0.12,0.19230769230769232,0.0,0.01773049645390071,0.2857142857142857,0.0,0.11538461538461539,0.2,0.007530120481927711
2016greenironhack-patrickherrod,0.0037174721189591076,0.001876172607879925,0.003683241252302026,0.0423572744014733,0.0037105751391465678,0.02952029520295203,0.001869158878504673,0.003703703703703704,0.03136531365313653,0.003745318352059925,0.001876172607879925,0.003738317757009346,0.0072992700729927005,1,0.001876172607879925,0.02867383512544803,0.0036968576709796672,0.009345794392523364,0.0036968576709796672,0.0,0.46605504587155966,0.0037243947858473,0.0,0.0150093808630394,0.02973977695167286,0.35431918008784774
2016greenironhack-pjt90,0.25,0.3333333333333333,0.15384615384615385,0.02857142857142857,0.2222222222222222,0.037037037037037035,0.5,0.2,0.07407407407407407,0.5,0.3333333333333333,0.4,0.1,0.001876172607879925,1,0.047619047619047616,0.18181818181818182,0.25,0.18181818181818182,0.0,0.00749063670411985,0.2857142857142857,0.0,0.1,0.09090909090909091,0.0015174506828528073
2016greenironhack-cgrieger12,0.16279069767441862,0.047619047619047616,0.30952380952380953,0.3103448275862069,0.13333333333333333,0.4166666666666667,0.09523809523809523,0.23809523809523808,0.5681818181818182,0.09523809523809523,0.047619047619047616,0.09302325581395349,0.24,0.02867383512544803,0.047619047619047616,1,0.23255813953488372,0.08695652173913043,0.23255813953488372,0.0,0.08041958041958042,0.13953488372093023,0.0,0.18604651162790697,0.5238095238095238,0.024868123587038434
2016greenironhack-wluan,0.35714285714285715,0.18181818181818182,0.6,0.022727272727272728,0.3333333333333333,0.12121212121212122,0.25,0.4,0.35714285714285715,0.25,0.08333333333333333,0.23076923076923078,0.24,0.0036968576709796672,0.18181818181818182,0.23255813953488372,1,0.1875,0.375,0.0,0.025830258302583026,0.5,0.0,0.17647058823529413,0.2222222222222222,0.006818181818181818
2016greenironhack-MegamindHenry,0.23076923076923078,0.25,0.23529411764705882,0.07692307692307693,0.3076923076923077,0.0967741935483871,0.3333333333333333,0.2857142857142857,0.12903225806451613,0.5,0.25,0.4444444444444444,0.12,0.009345794392523364,0.25,0.08695652173913043,0.1875,1,0.26666666666666666,0.0,0.014760147601476014,0.25,0.0,0.13333333333333333,0.1111111111111111,0.00530705079605762
2016greenironhack-abelal16,0.35714285714285715,0.18181818181818182,0.6,0.0975609756097561,0.3333333333333333,0.15625,0.25,0.4,0.22580645161290322,0.36363636363636365,0.18181818181818182,0.3333333333333333,0.19230769230769232,0.0036968576709796672,0.18181818181818182,0.23255813953488372,0.375,0.26666666666666666,1,0.0,0.025830258302583026,0.38461538461538464,0.0,0.1111111111111111,0.2692307692307692,0.00834597875569044
2016greenironhack-jeffkeilmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0
