,2016greenironhack-ankitbatheja,2016greenironhack-taycurt17,2016greenironhack-crloflin,2016greenironhack-pjt90,2016greenironhack-tanmayee123,2016greenironhack-shiboo18,2016greenironhack-prachitamane,2016greenironhack-sabrina-hsu,2016greenironhack-cgrieger12,2016greenironhack-lheston,2016greenironhack-sauravn,2016greenironhack-lostkuma,2016greenironhack-abelal16,2016greenironhack-dengc,2016greenironhack-ishwetasingh,2016greenironhack-jeffkeilmann,2016greenironhack-huayifang,2016greenironhack-patrickherrod,2016greenironhack-MegamindHenry,2016greenironhack-mgogte,2016greenironhack-pmittal115,2016greenironhack-aterriqu,2016greenironhack-ccand93,2016greenironhack-Christyyy,2016greenironhack-wluan,2016greenironhack-meetalivaidya
2016greenironhack-ankitbatheja,0.0,0.24849215922798554,0.0874384236453202,0.013664596273291925,0.1354642313546423,0.0,0.15906288532675708,0.04176904176904177,0.13484002031488065,0.0,0.1550884388618303,0.1818778726198293,0.2680763983628922,0.3083475298126065,0.010680419231409083,0.0,0.3060263653483992,0.037776067262715374,0.2853846153846154,0.0,0.24185463659147868,0.17689530685920576,0.0,0.05795314426633785,0.1578313253012048,0.3470790378006873
2016greenironhack-taycurt17,0.0,0.7558139534883721,0.2754237288135593,0.044642857142857144,0.057577403585008145,0.0,0.497907949790795,0.17180616740088106,0.0573993471164309,0.0,0.058823529411764705,0.07555238774055595,0.2024482109227872,0.2874493927125506,0.0035692841417039162,0.0,0.34840871021775544,0.012609059400023903,0.24173318129988597,0.0,0.18143459915611815,0.6032388663967612,0.0,0.2052401746724891,0.5596707818930041,0.5037974683544304
2016greenironhack-crloflin,0.0,0.21666666666666667,0.7283950617283951,0.140625,0.014677901603696657,0.0,0.3401360544217687,0.4788732394366197,0.014982293652955598,0.0,0.016477579686655863,0.02035714285714286,0.04985888993414864,0.07452574525745258,0.0009841534612176814,0.0,0.09523809523809523,0.00328770398708829,0.06666666666666667,0.0,0.04468802698145025,0.28415300546448086,0.0,0.6428571428571429,0.2823529411764706,0.14854111405835543
2016greenironhack-pjt90,0.0,0.3756260434056761,0.11074380165289256,0.018518518518518517,0.13703012529992,0.0,0.215,0.06700167504187604,0.14063755692472543,0.0,0.1499330655957162,0.19752650176678446,0.5387488328664799,0.7118863049095607,0.00925215883706198,0.0,0.7526080476900149,0.03496503496503497,0.5732758620689655,0.0,0.49451476793248944,0.2762063227953411,0.0,0.08375209380234507,0.25418060200668896,0.5196850393700787
2016greenironhack-tanmayee123,0.0,0.3704974271012007,0.11359724612736662,0.019332161687170474,0.14193374629679503,0.0,0.2264808362369338,0.07368421052631578,0.14374493380167522,0.0,0.14661654135338345,0.19333096842852074,0.523943661971831,0.7264276228419655,0.008936312104034679,0.0,0.7545731707317073,0.03303859481419524,0.5717415115005476,0.0,0.4696969696969697,0.2926829268292683,0.0,0.08362369337979095,0.26306620209059234,0.5359477124183006
2016greenironhack-shiboo18,0.0,0.30648330058939094,0.15022421524663676,0.022935779816513763,0.11424694708276797,0.0,0.29545454545454547,0.08390022675736962,0.11476747348381833,0.0,0.1109320440504969,0.15151515151515152,0.19887278582930756,0.2510729613733906,0.007206005004170141,0.0,0.24632352941176472,0.023870621232917586,0.22851746931067043,0.0,0.18529411764705883,0.31601731601731603,0.0,0.11161731207289294,0.2875816993464052,0.29790660225442833
2016greenironhack-prachitamane,0.0,0.05385456533624931,0.0189873417721519,0.0024813895781637717,0.9777717538628354,0.0,0.037241379310344824,0.009633911368015413,0.9796306355241716,0.0,0.6791198716479486,0.7216411906677394,0.24740069314849372,0.18241042345276873,0.06038163864424873,0.0,0.1503964998632759,0.2036083998816918,0.22437295528898582,0.0,0.2740780047758026,0.039978094194961664,0.0,0.013223140495867768,0.035606683100520405,0.09001636661211129
2016greenironhack-sabrina-hsu,0.0,0.5203252032520326,0.47019867549668876,0.0763888888888889,0.03191777116581011,0.0,0.650887573964497,0.2808219178082192,0.034220532319391636,0.0,0.03694714131607336,0.04814550641940086,0.11962616822429907,0.1697860962566845,0.0023519599666388656,0.0,0.21608040201005024,0.008189371749656286,0.15560640732265446,0.0,0.10636515912897822,0.592964824120603,0.0,0.3310810810810811,0.6129032258064516,0.35170603674540685
2016greenironhack-cgrieger12,0.0,0.12596259625962597,0.03778751369112815,0.006053935057787562,0.4079014879425346,0.0,0.0731170973062122,0.0231023102310231,0.411537471027556,0.0,0.4675531914893617,0.5549561699258261,0.5757409440175631,0.3840304182509506,0.02900554787331523,0.0,0.31308155446086483,0.10594762274055956,0.4613289760348584,0.0,0.5799472295514512,0.09400769653655855,0.0,0.028037383177570093,0.08466190214403518,0.18655097613882862
2016greenironhack-lheston,0.0,0.03862660944206009,0.125,0.5333333333333333,0.0029956427015250544,0.0,0.05755395683453238,0.1702127659574468,0.0030013642564802184,0.0,0.0027005130974885228,0.0032165832737669764,0.00946969696969697,0.013642564802182811,0.00020017682286019317,0.0,0.017123287671232876,0.0004782972617481765,0.010356731875719217,0.0,0.008481764206955046,0.05714285714285714,0.0,0.14035087719298245,0.05660377358490566,0.021333333333333333
2016greenironhack-sauravn,0.0,0.0008972878499422615,0.00029649280224710336,4.291376673636903e-05,0.01391802831181999,0.0,0.0005227656644390608,0.00016775381542398802,0.013890730413758141,0.0,0.01403501930351363,0.010801469842483442,0.004100167361731511,0.002828341148657611,0.22984764704509927,0.0,0.0022627082276752623,0.06083740301719951,0.0033706550150197014,0.0,0.004536907724836351,0.000663204996664469,0.0,0.00020676633063886895,0.0006007880466586042,0.0014356437574854386
2016greenironhack-lostkuma,0.0,0.0512275731822474,0.01606425702811245,0.0023674242424242425,0.7707492148945716,0.0,0.030991246747101964,0.009704142011834319,0.7644295302013423,0.0,0.5759745425616547,0.6237852845904673,0.23409728718428438,0.16073102155576383,0.07012423913949804,0.0,0.1332547169811321,0.24413424413424414,0.19853980216674516,0.0,0.25435540069686413,0.03581526861451461,0.0,0.012071005917159764,0.032296086751532296,0.07992477668077104
2016greenironhack-abelal16,0.0,0.19148936170212766,0.5238095238095238,0.17307692307692307,0.013068336509665124,0.0,0.32142857142857145,0.603448275862069,0.013369713506139155,0.0,0.013509862199405566,0.016434440871739908,0.046445497630331754,0.06693989071038252,0.0007839866555462886,0.0,0.07849829351535836,0.00269026125425958,0.05408515535097814,0.0,0.03983050847457627,0.26704545454545453,0.0,0.8070175438596491,0.2795031055900621,0.12266666666666666
2016greenironhack-dengc,0.0,0.15941011235955055,0.04971988795518207,0.007741027445460943,0.3438902084982845,0.0,0.09192982456140351,0.02881236823612087,0.34701986754966885,0.0,0.3676902536715621,0.46694502435629787,0.6986959505833905,0.5133614627285513,0.0231239892632667,0.0,0.3987430167597765,0.08368175845179787,0.5870922970159611,0.0,0.7494949494949495,0.1209563994374121,0.0,0.035839775122979624,0.10822206605762473,0.23586206896551723
2016greenironhack-ishwetasingh,0.0,0.01396018530111431,0.004507606586114068,0.0006889208993549195,0.21552364446645209,0.0,0.008265497808390733,0.002504696305572949,0.21524080723040734,0.0,0.21715452688904016,0.16824408468244084,0.06441123131761615,0.04382071638432206,0.23582079833300776,0.0,0.03554220637006445,0.9535648120480488,0.053774884186803554,0.0,0.07042957042957043,0.010012515644555695,0.0,0.003068060860309311,0.00907497809488046,0.022339027595269383
2016greenironhack-jeffkeilmann,0.0,0.1581196581196581,0.3522727272727273,0.20930232558139536,0.011168618904930537,0.0,0.23076923076923078,0.5555555555555556,0.01118995633187773,0.0,0.011078087003512564,0.013943510904540579,0.036931818181818184,0.051771117166212535,0.00068393747810566,0.0,0.06495726495726496,0.00233197799569481,0.044930875576036866,0.0,0.03307888040712468,0.18888888888888888,0.0,0.46875,0.18674698795180722,0.09574468085106383
