,2016greenironhack-ankitbatheja,2016greenironhack-taycurt17,2016greenironhack-crloflin,2016greenironhack-pjt90,2016greenironhack-tanmayee123,2016greenironhack-shiboo18,2016greenironhack-prachitamane,2016greenironhack-sabrina-hsu,2016greenironhack-cgrieger12,2016greenironhack-lheston,2016greenironhack-sauravn,2016greenironhack-lostkuma,2016greenironhack-abelal16,2016greenironhack-dengc,2016greenironhack-ishwetasingh,2016greenironhack-jeffkeilmann,2016greenironhack-huayifang,2016greenironhack-patrickherrod,2016greenironhack-MegamindHenry,2016greenironhack-mgogte,2016greenironhack-pmittal115,2016greenironhack-aterriqu,2016greenironhack-ccand93,2016greenironhack-Christyyy,2016greenironhack-wluan,2016greenironhack-meetalivaidya
2016greenironhack-ankitbatheja,0.3596953719976567,0.062111801242236024,0.10807453416149068,0.24635922330097088,0.0,0.0,0.062111801242236024,0.016149068322981366,0.07204968944099378,0.0,0.04208270165716974,0.15230383651436283,0.05093167701863354,0.5333333333333333,0.0,0.13669950738916256,0.48118811881188117,0.5161036920659858,0.0,0.0,0.2868217054263566,0.19662243667068757,0.0,0.12469135802469136,0.4256410256410256,0.6260504201680672
2016greenironhack-taycurt17,0.14595660749506903,0.2096069868995633,0.3652173913043478,0.7335907335907336,0.0,0.0,0.2149122807017544,0.05726872246696035,0.2555066079295154,0.0,0.011866799100841654,0.043285024154589374,0.18061674008810572,0.2820838627700127,0.0,0.4495798319327731,0.15453915453915454,0.19434628975265017,0.0,0.0,0.08345752608047691,0.6299212598425197,0.0,0.36475409836065575,0.1875,0.30551816958277256
2016greenironhack-crloflin,0.047963206307490146,0.573170731707317,0.8651685393258427,0.30303030303030304,0.0,0.0,0.6329113924050633,0.16455696202531644,0.691358024691358,0.0,0.004129855193684981,0.014489953632148377,0.5189873417721519,0.1010230179028133,0.0,0.5038167938931297,0.05124653739612189,0.06266548984995587,0.0,0.0,0.027932960893854747,0.35714285714285715,0.0,0.6228070175438597,0.0673665791776028,0.1063257065948856
2016greenironhack-pjt90,0.2473435655253837,0.08375209380234507,0.13432835820895522,0.37185929648241206,0.0,0.0,0.07119205298013245,0.020066889632107024,0.09166666666666666,0.0,0.02916471017895341,0.1077188940092166,0.06333333333333334,0.6674727932285369,0.0,0.19765494137353434,0.3840924541128484,0.525243578387954,0.0,0.0,0.20692194403534608,0.30666666666666664,0.0,0.16777408637873753,0.43636363636363634,0.7157490396927016
2016greenironhack-tanmayee123,0.4427658338175479,0.05170630816959669,0.08884297520661157,0.2182377049180328,0.0,0.0,0.04953560371517028,0.01344364012409514,0.05997931747673216,0.0,0.04961871931473937,0.18307959144343805,0.04239917269906929,0.5785198555956679,0.0,0.12202688728024819,0.4953387197016781,0.5670411985018726,0.0,0.0,0.3526140155728587,0.18480492813141683,0.0,0.10961737331954498,0.4558011049723757,0.6666666666666666
2016greenironhack-shiboo18,0.2869393139841689,0.11494252873563218,0.18636363636363637,0.37160751565762007,0.0,0.0,0.09977324263038549,0.029885057471264367,0.12814645308924486,0.0,0.022526524852349343,0.0836876691148048,0.08924485125858124,0.2743455497382199,0.0,0.2625570776255708,0.2783083219645293,0.28819157720891825,0.0,0.0,0.16181953765846382,0.3610503282275711,0.0,0.22954545454545455,0.23317683881064163,0.3447488584474886
2016greenironhack-prachitamane,0.3931847968545216,0.08019639934533551,0.14262295081967213,0.2919254658385093,0.0,0.0,0.08196721311475409,0.021311475409836064,0.09508196721311475,0.0,0.031780879201296325,0.11621621621621622,0.06721311475409836,0.3346116970278044,0.0,0.183739837398374,0.3270725388601036,0.3544106167056987,0.0,0.0,0.2238750464856824,0.2610759493670886,0.0,0.16802610114192496,0.2827838827838828,0.40207253886010363
2016greenironhack-sabrina-hsu,0.11235216819973719,0.2824858757062147,0.4585635359116022,0.7577092511013216,0.0,0.0,0.24725274725274726,0.07344632768361582,0.3202247191011236,0.0,0.008409506398537478,0.031430775163902816,0.2247191011235955,0.22321428571428573,0.0,0.6666666666666666,0.11525189786059352,0.15425531914893617,0.0,0.0,0.06087602078693393,0.82,0.0,0.5297297297297298,0.13327601031814273,0.23655913978494625
2016greenironhack-cgrieger12,0.41020301926080166,0.041911148365465216,0.07292539815590947,0.1781848459616986,0.0,0.0,0.041911148365465216,0.010896898575020955,0.04861693210393965,0.0,0.0615890926187118,0.2228626320845341,0.03436714165968147,0.6268533772652389,0.0,0.0989103101424979,0.5980570734669095,0.684593023255814,0.0,0.0,0.4279395503133063,0.14713216957605985,0.0,0.08885163453478626,0.5706594885598923,0.6200836820083682
2016greenironhack-lheston,0.0079155672823219,0.21568627450980393,0.13793103448275862,0.044642857142857144,0.0,0.0,0.24,0.9230769230769231,0.20689655172413793,0.0,0.0006273197762559464,0.002320185614849188,0.2926829268292683,0.015345268542199489,0.0,0.1016949152542373,0.008339124391938846,0.009769094138543518,0.0,0.0,0.004475941812756434,0.06417112299465241,0.0,0.11320754716981132,0.010517090271691499,0.016150740242261104
2016greenironhack-sauravn,0.005867395317694687,0.00019351567670496987,0.0003367172774666476,0.0008592096045700662,0.0,0.0,0.00019351567670496987,5.031407594329217e-05,0.00022447818497776505,0.0,0.07403522759378738,0.020017261598362084,0.0001586828548980753,0.003026585183665729,0.0,0.0004566969970237289,0.005569381175569033,0.004354102725861822,0.0,0.0,0.010376310584920485,0.0007237486308765873,0.0,0.00041025323461453615,0.004416027742407413,0.002875642955835852
2016greenironhack-lostkuma,0.2699586043761088,0.017992083483267363,0.03130622526088521,0.07331902718168813,0.0,0.0,0.017992083483267363,0.004677941705649514,0.02087081684059014,0.0,0.14515707490460508,0.5358315626810894,0.014753508456279237,0.26276595744680853,0.0,0.04058908045977012,0.5156306144448437,0.37999293036408627,0.0,0.0,0.9640287769784173,0.05890753302392003,0.0,0.03702372393961179,0.41007194244604317,0.26055833929849676
2016greenironhack-abelal16,0.170059093893631,0.18796992481203006,0.32706766917293234,0.6486486486486487,0.0,0.0,0.18796992481203006,0.04887218045112782,0.21804511278195488,0.0,0.013746602550700397,0.050212437234453455,0.15413533834586465,0.3299492385786802,0.0,0.4222222222222222,0.17993079584775087,0.22663139329805995,0.0,0.0,0.09717051377513031,0.5460750853242321,0.0,0.3726937269372694,0.22135416666666666,0.35800807537012114
2016greenironhack-dengc,0.2548780487804878,0.031826861871419476,0.05537873965626989,0.1413112667091025,0.0,0.0,0.031826861871419476,0.008274984086569064,0.036919159770846595,0.0,0.08015028177833437,0.2939934753406256,0.026098026734563972,0.491128010139417,0.0,0.07511139401654997,0.8511685116851169,0.6977329974811083,0.0,0.0,0.5638102243471864,0.11903246339910885,0.0,0.0674729471674093,0.7262889879057924,0.4692063492063492
2016greenironhack-ishwetasingh,0.07053459265807473,0.0023263388079839947,0.004047829525892151,0.010093962229044563,0.0,0.0,0.0023263388079839947,0.0006048480900758387,0.002698553017261434,0.0,0.5898399279871629,0.2406364862978644,0.0019075978225468757,0.035179849428385535,0.0,0.005490159586842228,0.06695203089377937,0.05048534670939576,0.0,0.0,0.1247382868841018,0.008231409570757568,0.0,0.004931838272926069,0.05308705159819476,0.03452126174746441
2016greenironhack-jeffkeilmann,0.017150395778364115,0.46153846153846156,0.2988505747126437,0.11711711711711711,0.0,0.0,0.4339622641509434,0.3448275862068966,0.423728813559322,0.0,0.0013591928485545506,0.005027068832173241,0.5227272727272727,0.03324808184143223,0.0,0.2,0.018068102849200834,0.02311111111111111,0.0,0.0,0.00969787392763894,0.13297872340425532,0.0,0.21100917431192662,0.022787028921998246,0.034993270524899055
2016greenironhack-huayifang,0.23567631423508564,0.08680555555555555,0.14904679376083188,0.32558139534883723,0.0,0.0,0.08304498269896193,0.022569444444444444,0.10069444444444445,0.0,0.029734531772575252,0.10986676964664993,0.07118055555555555,0.6683046683046683,0.0,0.2048611111111111,0.3963963963963964,0.5039787798408488,0.0,0.0,0.21213248976553778,0.2866779089376054,0.0,0.1840277777777778,0.4904513888888889,0.775235531628533
2016greenironhack-patrickherrod,0.020109034474525462,0.0006632267306901537,0.0011540145114008675,0.0029447266842642828,0.0,0.0,0.0006632267306901537,0.00017243894997943997,0.0007693430076005783,0.0,0.25338814480838084,0.0686041730225895,0.000543845919165926,0.010305859882749291,0.0,0.0015652150844287628,0.019087665309262626,0.014720704471911305,0.0,0.0,0.03556221729960604,0.002480467972781175,0.0,0.001406040669063126,0.015134833994349308,0.009855549218055685
2016greenironhack-MegamindHenry,0.2278048780487805,0.04995004995004995,0.08258706467661692,0.20374015748031496,0.0,0.0,0.04473161033797217,0.012987012987012988,0.05688622754491018,0.0,0.05210892175821878,0.19308078855817548,0.03992015968063872,0.6647992530345471,0.0,0.1145418326693227,0.6956219596942321,0.8698328935795955,0.0,0.0,0.37285607755406414,0.162426614481409,0.0,0.10149253731343283,0.7969798657718121,0.6641221374045801
2016greenironhack-mgogte,0.00922874093605801,0.22641509433962265,0.1724137931034483,0.048672566371681415,0.0,0.0,0.3,0.8666666666666667,0.25862068965517243,0.0,0.0007841497203199331,0.002900232018561485,0.36585365853658536,0.01918158567774936,0.0,0.10833333333333334,0.010423905489923557,0.010638297872340425,0.0,0.0,0.005594927265945543,0.08021390374331551,0.0,0.14150943396226415,0.013146362839614373,0.020188425302826378
2016greenironhack-pmittal115,0.24247948951686418,0.04132231404958678,0.06748971193415639,0.1834710743801653,0.0,0.0,0.03618421052631579,0.010743801652892562,0.0462046204620462,0.0,0.05993016832560321,0.2202676864244742,0.03217821782178218,0.6261224489795918,0.0,0.09752066115702479,0.7381889763779528,0.8502377179080824,0.0,0.0,0.42111029948867784,0.15264026402640263,0.0,0.08401976935749589,0.812644564379337,0.530564263322884
2016greenironhack-aterriqu,0.15220207253886012,0.15925925925925927,0.2962962962962963,0.6724137931034483,0.0,0.0,0.19011406844106463,0.049429657794676805,0.22053231939163498,0.0,0.012055738218255832,0.04378720952563856,0.155893536121673,0.33631713554987214,0.0,0.42696629213483145,0.15703602991162474,0.2239858906525573,0.0,0.0,0.0843462246777164,0.6917293233082706,0.0,0.33212996389891697,0.1969309462915601,0.3236842105263158
2016greenironhack-ccand93,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
2016greenironhack-Christyyy,0.04551451187335093,0.5866666666666667,0.6774193548387096,0.29910714285714285,0.0,0.0,0.5063291139240507,0.17142857142857143,0.6075949367088608,0.0,0.003449717750365879,0.013145176879953605,0.4666666666666667,0.08684546615581099,0.0,0.5327868852459017,0.04794996525364837,0.06039076376554174,0.0,0.0,0.025736665423349497,0.3333333333333333,0.0,0.6509433962264151,0.057692307692307696,0.09286675639300135
2016greenironhack-wluan,0.19153094462540718,0.1597444089456869,0.2779552715654952,0.671875,0.0,0.0,0.1597444089456869,0.04153354632587859,0.1853035143769968,0.0,0.01519502898020991,0.05521354367064255,0.13099041533546327,0.3790931989924433,0.0,0.3769968051118211,0.19835841313269495,0.2669603524229075,0.0,0.0,0.10643015521064302,0.5873015873015873,0.0,0.33865814696485624,0.23850085178875638,0.408
2016greenironhack-meetalivaidya,0.4634296250768285,0.057803468208092484,0.10057803468208093,0.24513172966781213,0.0,0.0,0.057803468208092484,0.015028901734104046,0.06705202312138728,0.0,0.04461859979101358,0.1636468774094063,0.047398843930635835,0.49049773755656106,0.0,0.13641618497109825,0.44360902255639095,0.49849397590361444,0.0,0.0,0.31528189910979226,0.19817767653758542,0.0,0.12254335260115606,0.39305555555555555,0.5826771653543307
