,2016greenironhack-ankitbatheja,2016greenironhack-taycurt17,2016greenironhack-crloflin,2016greenironhack-pjt90,2016greenironhack-tanmayee123,2016greenironhack-shiboo18,2016greenironhack-prachitamane,2016greenironhack-sabrina-hsu,2016greenironhack-cgrieger12,2016greenironhack-lheston,2016greenironhack-sauravn,2016greenironhack-lostkuma,2016greenironhack-abelal16,2016greenironhack-dengc,2016greenironhack-ishwetasingh,2016greenironhack-jeffkeilmann,2016greenironhack-huayifang,2016greenironhack-patrickherrod,2016greenironhack-MegamindHenry,2016greenironhack-mgogte,2016greenironhack-pmittal115,2016greenironhack-aterriqu,2016greenironhack-ccand93,2016greenironhack-Christyyy,2016greenironhack-wluan,2016greenironhack-meetalivaidya
2016greenironhack-ankitbatheja,1,0.3621683967704729,0.08866995073891626,0.3403441682600382,0.12353616532721011,0.39325842696629215,0.13439233484619265,0.1774580335731415,0.10015898251192369,0.012391573729863693,0.0027669339828049313,0.14753668763102726,0.26207809397749837,0.20628930817610064,0.008545435422801851,0.04702970297029703,0.322262118491921,0.00946605141727093,0.12020244622522143,0.017369727047146403,0.23771498771498772,0.2714285714285714,0.0,0.07635467980295567,0.3215130023640662,0.10710827038543483
2016greenironhack-taycurt17,0.3621683967704729,1,0.17571059431524547,0.5898692810457516,0.08692476260043827,0.28322784810126583,0.0891089108910891,0.4071246819338422,0.06834929992630803,0.026455026455026454,0.0014456047832171067,0.10058512120367791,0.329136690647482,0.17635752042287361,0.004873872093789106,0.10610079575596817,0.5152394775036284,0.004870001319783555,0.08030973451327433,0.03713527851458886,0.2978723404255319,0.6015037593984962,0.0,0.15885416666666666,0.6887254901960784,0.07263136538851694
2016greenironhack-crloflin,0.08866995073891626,0.17571059431524547,1,0.1118421052631579,0.01658941205171993,0.15246636771300448,0.01890359168241966,0.391304347826087,0.013073098876818266,0.12345679012345678,0.0003045419149904011,0.02010611561016476,0.061096136567834684,0.03463203463203463,0.0010011592370112762,0.34831460674157305,0.103397341211226,0.0009502441599577669,0.016400709219858155,0.189873417721519,0.05482815057283143,0.24363636363636362,0.0,0.5913978494623656,0.225,0.015052888527257934
2016greenironhack-pjt90,0.3403441682600382,0.5898692810457516,0.1118421052631579,1,0.13301088270858524,0.2478839177750907,0.13578613022763367,0.2647058823529412,0.10885982685577454,0.015,0.0023014116866996136,0.15668330560177482,0.5183199285075961,0.281940441882805,0.007652288442541982,0.06333333333333334,0.7352537722908093,0.0078000237564175325,0.12422907488986784,0.021702838063439065,0.48236259228876127,0.40522875816993464,0.0,0.10082644628099173,0.456,0.1102600282201169
2016greenironhack-tanmayee123,0.12353616532721011,0.08692476260043827,0.01658941205171993,0.13301088270858524,1,0.10343986338131252,0.898511832154184,0.03872381880175353,0.7531797235023041,0.002690144289557349,0.015406788543946727,0.8190883190883191,0.24759615384615385,0.45454545454545453,0.05375678381368881,0.010029354207436399,0.15774099318403115,0.05383255028242623,0.7850467289719626,0.0034238200048911714,0.26807084729535663,0.060960741282613994,0.0,0.015636452479843636,0.06924198250728864,0.7763521515988946
2016greenironhack-shiboo18,0.39325842696629215,0.28322784810126583,0.15246636771300448,0.2478839177750907,0.10343986338131252,1,0.11323806956052844,0.2966101694915254,0.07862272141410422,0.02054794520547945,0.0016769080129218291,0.11889478090985207,0.19517884914463451,0.15903837263060563,0.0057172967988407325,0.0867579908675799,0.2663605051664753,0.0057283142389525366,0.08663148636763413,0.029748283752860413,0.18260244428468728,0.30467289719626167,0.0,0.14027149321266968,0.2830188679245283,0.08835504885993485
2016greenironhack-prachitamane,0.13439233484619265,0.0891089108910891,0.01890359168241966,0.13578613022763367,0.898511832154184,0.11323806956052844,1,0.038358369098712444,0.680243273129377,0.002976995940460081,0.013876739409400422,0.8316532258064516,0.25418410041841005,0.4803594351732991,0.048635902570115006,0.011099079588521927,0.16724645437516725,0.04859122401847575,0.7221755564888702,0.004060638873849486,0.27741599374837195,0.05943775100401606,0.0,0.017027027027027027,0.07110398289227479,0.7489837398373984
2016greenironhack-sabrina-hsu,0.1774580335731415,0.4071246819338422,0.391304347826087,0.2647058823529412,0.03872381880175353,0.2966101694915254,0.038358369098712444,1,0.03016924208977189,0.05,0.0006823280880164684,0.046595982142857144,0.1440071556350626,0.07865707434052757,0.002278924558376036,0.1912568306010929,0.23718887262079064,0.0022700876359412945,0.03766061143110323,0.07865168539325842,0.13039934800325997,0.543859649122807,0.0,0.3225806451612903,0.5408805031446541,0.03414634146341464
2016greenironhack-cgrieger12,0.10015898251192369,0.06834929992630803,0.013073098876818266,0.10885982685577454,0.7531797235023041,0.07862272141410422,0.680243273129377,0.03016924208977189,1,0.002028023598820059,0.020488455254477636,0.6444891244745019,0.20165745856353592,0.3674511950374019,0.07089060936430189,0.007560390927530887,0.12111172464568379,0.07106953917597858,0.8183482878593664,0.0027659966808039832,0.21639464514945903,0.04772434125667956,0.0,0.012350230414746545,0.054217974637015255,0.6789601949634444
2016greenironhack-lheston,0.012391573729863693,0.026455026455026454,0.12345679012345678,0.015,0.002690144289557349,0.02054794520547945,0.002976995940460081,0.05,0.002028023598820059,1,4.240440697436846e-05,0.002516074923119933,0.009057971014492754,0.0048216007714561235,0.00015808402165751098,0.17777777777777778,0.014925373134328358,0.00014518768808405048,0.0024401064773735583,0.5882352941176471,0.00825082508250825,0.03773584905660377,0.0,0.1095890410958904,0.031746031746031744,0.0020354162426216163
2016greenironhack-sauravn,0.0027669339828049313,0.0014456047832171067,0.0003045419149904011,0.0023014116866996136,0.015406788543946727,0.0016769080129218291,0.013876739409400422,0.0006823280880164684,0.020488455254477636,4.240440697436846e-05,1,0.013719012724490307,0.004240424350829581,0.007925310883425461,0.28322241654452424,0.00015805339891906896,0.002559654600824949,0.23121145220716535,0.01714296725955331,5.782441423868376e-05,0.004621902188368534,0.0009984194903820208,0.0,0.0002659923054979453,0.0011950240739527155,0.018546920278685493
2016greenironhack-lostkuma,0.14753668763102726,0.10058512120367791,0.02010611561016476,0.15668330560177482,0.8190883190883191,0.11889478090985207,0.8316532258064516,0.046595982142857144,0.6444891244745019,0.002516074923119933,0.013719012724490307,1,0.2967276760953966,0.5181500403334229,0.04687582319161267,0.010906040268456376,0.18128654970760233,0.046993771114864864,0.7449794860721226,0.003635346756152125,0.3179063360881543,0.06583333333333333,0.0,0.01873601789709172,0.07972222222222222,0.6959824105536678
2016greenironhack-abelal16,0.26207809397749837,0.329136690647482,0.061096136567834684,0.5183199285075961,0.24759615384615385,0.19517884914463451,0.25418410041841005,0.1440071556350626,0.20165745856353592,0.009057971014492754,0.004240424350829581,0.2967276760953966,1,0.5049786628733998,0.014303589068159367,0.035326086956521736,0.5803571428571429,0.01431776194246503,0.2319349879200527,0.013611615245009074,0.8585209003215434,0.2308385933273219,0.0,0.05590622182146077,0.2577777777777778,0.20767222333801968
2016greenironhack-dengc,0.20628930817610064,0.17635752042287361,0.03463203463203463,0.281940441882805,0.45454545454545453,0.15903837263060563,0.4803594351732991,0.07865707434052757,0.3674511950374019,0.0048216007714561235,0.007925310883425461,0.5181500403334229,0.5049786628733998,1,0.026646655344471214,0.018804243008678882,0.3154104656745079,0.02673860278598565,0.41911130284728215,0.00723938223938224,0.5665871121718377,0.12475915221579961,0.0,0.030813673567645642,0.14114832535885166,0.3918676499900339
2016greenironhack-ishwetasingh,0.008545435422801851,0.004873872093789106,0.0010011592370112762,0.007652288442541982,0.05375678381368881,0.0057172967988407325,0.048635902570115006,0.002278924558376036,0.07089060936430189,0.00015808402165751098,0.28322241654452424,0.04687582319161267,0.014303589068159367,0.026646655344471214,1,0.0005401204073298291,0.00862727536155528,0.557223380116839,0.05927604194109279,0.0001976050270718887,0.015445184736523319,0.003266424319055898,0.0,0.0008957976551179028,0.003991095773126622,0.0645836900825902
2016greenironhack-jeffkeilmann,0.04702970297029703,0.10610079575596817,0.34831460674157305,0.06333333333333334,0.010029354207436399,0.0867579908675799,0.011099079588521927,0.1912568306010929,0.007560390927530887,0.17777777777777778,0.00015805339891906896,0.010906040268456376,0.035326086956521736,0.018804243008678882,0.0005401204073298291,1,0.05663189269746647,0.0005411612528542956,0.009096960284002663,0.24444444444444444,0.03217821782178218,0.14285714285714285,0.0,0.375,0.11320754716981132,0.008348605172062717
