,2016greenironhack-ankitbatheja,2016greenironhack-taycurt17,2016greenironhack-crloflin,2016greenironhack-pjt90,2016greenironhack-tanmayee123,2016greenironhack-shiboo18,2016greenironhack-prachitamane,2016greenironhack-sabrina-hsu,2016greenironhack-cgrieger12,2016greenironhack-lheston,2016greenironhack-sauravn,2016greenironhack-lostkuma,2016greenironhack-abelal16,2016greenironhack-dengc,2016greenironhack-ishwetasingh,2016greenironhack-jeffkeilmann,2016greenironhack-huayifang,2016greenironhack-patrickherrod,2016greenironhack-MegamindHenry,2016greenironhack-mgogte,2016greenironhack-pmittal115,2016greenironhack-aterriqu,2016greenironhack-ccand93,2016greenironhack-Christyyy,2016greenironhack-wluan,2016greenironhack-meetalivaidya
2016greenironhack-ankitbatheja,1,0.2062111801242236,0.07568238213399504,0.6210892236384704,0.6131386861313869,0.5252152521525215,0.5508571428571428,0.16441717791411042,0.5906623235613464,0.014906832298136646,0.003149649430324277,0.6423529411764706,0.05816831683168317,0.5825688073394495,0.04969332832644887,0.03229813664596273,0.16273291925465838,0.01350440031021344,0.5998003992015968,0.018633540372670808,0.15867158671586715,0.1033210332103321,0.0,0.05093167701863354,0.24937965260545905,0.6067039106145251
2016greenironhack-taycurt17,0.2062111801242236,1,0.3411764705882353,0.26666666666666666,0.31861804222648754,0.3659090909090909,0.3007246376811594,0.631578947368421,0.2515151515151515,0.07228915662650602,0.0006494929260047578,0.2722689075630252,0.2781065088757396,0.18043478260869567,0.01033316633266533,0.1566265060240964,0.6229508196721312,0.002798853481706289,0.20199501246882792,0.09036144578313253,0.7215909090909091,0.4827586206896552,0.0,0.22485207100591717,0.695852534562212,0.26224328593996843
2016greenironhack-crloflin,0.07568238213399504,0.3411764705882353,1,0.09698996655518395,0.11900191938579655,0.13470319634703196,0.11231884057971014,0.410958904109589,0.09393939393939393,0.1935483870967742,0.00024258169525478903,0.09932659932659933,0.75,0.06623235613463627,0.003883008705455001,0.41935483870967744,0.4621212121212121,0.001045354914854156,0.075,0.24193548387096775,0.4316546762589928,0.5555555555555556,0.0,0.5846153846153846,0.3069306930693069,0.09621451104100946
2016greenironhack-pjt90,0.6210892236384704,0.26666666666666666,0.09698996655518395,1,0.8460264900662252,0.29760403530895335,0.3052391799544419,0.23825503355704697,0.7661971830985915,0.020202020202020204,0.002324089144860398,0.8258859784283513,0.07872696817420435,0.5803757828810021,0.03564505034081671,0.04377104377104377,0.21237458193979933,0.009453516000202214,0.6415094339622641,0.02181208053691275,0.22240802675585283,0.1490787269681742,0.0,0.06543624161073826,0.31353135313531355,0.3724832214765101
2016greenironhack-tanmayee123,0.6131386861313869,0.31861804222648754,0.11900191938579655,0.8460264900662252,1,0.31862068965517243,0.33957553058676654,0.2763915547024952,0.7626865671641792,0.023032629558541268,0.002038468761737824,0.8051948051948052,0.09596928982725528,0.5362473347547975,0.03211267605633803,0.04990403071017274,0.24904214559386972,0.008580290617308924,0.6085365853658536,0.028790786948176585,0.2629558541266795,0.1765834932821497,0.0,0.07869481765834933,0.3745247148288973,0.412484700122399
2016greenironhack-shiboo18,0.5252152521525215,0.3659090909090909,0.13470319634703196,0.29760403530895335,0.31862068965517243,1,0.7815884476534296,0.2982062780269058,0.29279811097992914,0.027586206896551724,0.0017019844747715037,0.3411764705882353,0.10983981693363844,0.30288461538461536,0.027243690110853636,0.059770114942528735,0.27191011235955054,0.007334344967121902,0.33876221498371334,0.03211009174311927,0.29411764705882354,0.19501133786848074,0.0,0.09174311926605505,0.3582089552238806,0.6845425867507886
2016greenironhack-prachitamane,0.5508571428571428,0.3007246376811594,0.11231884057971014,0.3052391799544419,0.33957553058676654,0.7815884476534296,1,0.23404255319148937,0.31453362255965295,0.021739130434782608,0.0021597596093652187,0.34946871310507677,0.08860759493670886,0.3201793721973094,0.03418268327803168,0.04710144927536232,0.22182468694096602,0.009307030854830551,0.34462151394422313,0.02717391304347826,0.23476702508960573,0.15412186379928317,0.0,0.07427536231884058,0.3416370106761566,0.8661417322834646
2016greenironhack-sabrina-hsu,0.16441717791411042,0.631578947368421,0.410958904109589,0.23825503355704697,0.2763915547024952,0.2982062780269058,0.23404255319148937,1,0.21266968325791855,0.08333333333333333,0.0005634155502691875,0.22296173044925124,0.33793103448275863,0.14408602150537633,0.009018600864282583,0.18055555555555555,0.8211920529801324,0.0023434207198853576,0.1701863354037267,0.10416666666666667,0.8246753246753247,0.6054421768707483,0.0,0.2847222222222222,0.6093023255813953,0.208398133748056
2016greenironhack-cgrieger12,0.5906623235613464,0.2515151515151515,0.09393939393939393,0.7661971830985915,0.7626865671641792,0.29279811097992914,0.31453362255965295,0.21266968325791855,1,0.01818181818181818,0.0025705532754013312,0.8343108504398827,0.07575757575757576,0.6772823779193206,0.040097585387213815,0.03939393939393939,0.1984848484848485,0.010889353381430787,0.7503001200480192,0.022727272727272728,0.20574886535552195,0.13767019667170954,0.0,0.06212121212121212,0.30606060606060603,0.3769968051118211
2016greenironhack-lheston,0.014906832298136646,0.07228915662650602,0.1935483870967742,0.020202020202020204,0.023032629558541268,0.027586206896551724,0.021739130434782608,0.08333333333333333,0.01818181818181818,1,4.695129585576562e-05,0.02030456852791878,0.24,0.013043478260869565,0.0007515500720235486,0.35714285714285715,0.0916030534351145,0.00020232675771370763,0.015037593984962405,0.8,0.08759124087591241,0.13043478260869565,0.0,0.2926829268292683,0.0594059405940594,0.018957345971563982
2016greenironhack-sauravn,0.003149649430324277,0.0006494929260047578,0.00024258169525478903,0.002324089144860398,0.002038468761737824,0.0017019844747715037,0.0021597596093652187,0.0005634155502691875,0.0025705532754013312,4.695129585576562e-05,1,0.002312351320896457,0.00019563039939902343,0.003599599348942031,0.06247261174408414,0.00010172780768749218,0.0005125516464254414,0.23205677976712158,0.003122261174408414,5.8689119819707026e-05,0.0005360272943533242,0.0003599599348942031,0.0,0.0001604169275071992,0.0007903468135720546,0.0024766808563916366
2016greenironhack-lostkuma,0.6423529411764706,0.2722689075630252,0.09932659932659933,0.8258859784283513,0.8051948051948052,0.3411764705882353,0.34946871310507677,0.22296173044925124,0.8343108504398827,0.02030456852791878,0.002312351320896457,1,0.0773109243697479,0.6423913043478261,0.03701384104715977,0.043993231810490696,0.2175379426644182,0.009964592817400102,0.7319201995012469,0.025380710659898477,0.2113144758735441,0.13833333333333334,0.0,0.06937394247038917,0.31727574750830567,0.4133949191685912
2016greenironhack-abelal16,0.05816831683168317,0.2781065088757396,0.75,0.07872696817420435,0.09596928982725528,0.10983981693363844,0.08860759493670886,0.33793103448275863,0.07575757575757576,0.24,0.00019563039939902343,0.0773109243697479,1,0.050920910075839654,0.0031314586334314524,0.35714285714285715,0.35074626865671643,0.0008430281571404484,0.06132665832290363,0.3,0.36496350364963503,0.5268817204301075,0.0,0.6545454545454545,0.23529411764705882,0.07898894154818326
2016greenironhack-dengc,0.5825688073394495,0.18043478260869567,0.06623235613463627,0.5803757828810021,0.5362473347547975,0.30288461538461536,0.3201793721973094,0.14408602150537633,0.6772823779193206,0.013043478260869565,0.003599599348942031,0.6423913043478261,0.050920910075839654,1,0.05735395404170058,0.02826086956521739,0.1423913043478261,0.015511718091384252,0.797071129707113,0.016304347826086956,0.13900862068965517,0.09051724137931035,0.0,0.04456521739130435,0.21428571428571427,0.36948853615520283
2016greenironhack-ishwetasingh,0.04969332832644887,0.01033316633266533,0.003883008705455001,0.03564505034081671,0.03211267605633803,0.027243690110853636,0.03418268327803168,0.009018600864282583,0.040097585387213815,0.0007515500720235486,0.06247261174408414,0.03701384104715977,0.0031314586334314524,0.05735395404170058,1,0.0016283584893843552,0.008204421619590405,0.26902004416797315,0.04997807978956598,0.0009394375900294357,0.00858019665560218,0.005761883885513872,0.0,0.002567796079413791,0.01220733692249906,0.03931880791384924
2016greenironhack-jeffkeilmann,0.03229813664596273,0.1566265060240964,0.41935483870967744,0.04377104377104377,0.04990403071017274,0.059770114942528735,0.04710144927536232,0.18055555555555555,0.03939393939393939,0.35714285714285715,0.00010172780768749218,0.043993231810490696,0.35714285714285715,0.02826086956521739,0.0016283584893843552,1,0.1984732824427481,0.0004383746417130332,0.03258145363408521,0.36666666666666664,0.1897810218978102,0.26881720430107525,0.0,0.425531914893617,0.12871287128712872,0.04107424960505529
